CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD,C_COMUN_PRI_PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,10,C,2,0,C02,70,0,2,0,15,4,0,107,3,2,2,,,,,4,1,0,1,,92,11,,,,,,,,,,,,,314,0,8,322,616,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,10,C,3,0,C03,68,0,1,0,17,2,0,112,4,0,0,,,,,1,1,0,0,,110,12,,,,,,,,,,,,,328,0,8,336,616,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,11,B,1,0,B,78,0,5,0,18,3,0,129,7,1,1,,,,,1,1,0,1,,91,14,,,,,,,,,,,,,350,1,3,354,699,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,11,C,1,0,C01,83,0,2,0,14,2,0,110,1,3,2,,,,,3,0,0,0,,116,8,,,,,,,,,,,,,344,0,9,353,698,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,12,B,1,0,B,62,0,2,0,17,2,0,94,2,0,1,,,,,0,3,0,1,,83,1,,,,,,,,,,,,,268,0,5,273,592,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,12,C,1,0,C01,61,0,1,0,16,3,0,86,5,0,0,,,,,2,1,0,1,,101,5,,,,,,,,,,,,,282,0,6,288,592,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,13,B,1,0,B,65,0,0,0,14,3,0,75,4,3,0,,,,,1,4,0,2,,74,3,,,,,,,,,,,,,248,0,8,256,565,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,13,C,1,0,C01,59,0,0,0,17,4,0,64,2,1,2,,,,,2,3,2,2,,67,5,,,,,,,,,,,,,230,0,10,240,564,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,14,B,1,0,B,62,0,4,0,14,6,0,69,3,0,6,,,,,0,0,0,0,,80,2,,,,,,,,,,,,,246,0,13,259,575,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,14,C,1,0,C01,97,0,5,0,12,1,0,71,3,0,2,,,,,1,0,0,1,,80,5,,,,,,,,,,,,,278,0,1,279,575,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,14,C,2,0,C02,58,0,1,0,11,6,0,63,6,0,3,,,,,1,2,0,0,,76,0,,,,,,,,,,,,,227,0,5,232,574,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,14,S,1,0,S01,4,0,0,0,0,0,0,7,0,0,1,,,,,0,1,0,0,,85,0,,,,,,,,,,,,,98,1,2,101,0,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,15,B,1,0,B,77,0,2,0,10,0,0,40,5,1,1,,,,,2,0,0,0,,104,0,,,,,,,,,,,,,242,0,8,250,550,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,15,C,1,0,C01,72,0,2,0,18,4,0,56,0,0,0,,,,,0,0,0,0,,104,1,,,,,,,,,,,,,257,1,4,262,549,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,16,B,1,0,B,109,0,4,0,10,1,0,52,1,0,1,,,,,0,0,0,0,,118,4,,,,,,,,,,,,,300,0,11,311,632,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,B,1,0,B,65,0,3,0,14,5,0,106,5,3,1,,,,,1,2,0,0,,75,3,,,,,,,,,,,,,283,0,6,289,674,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,1,0,C01,65,0,3,0,14,5,0,106,5,3,1,,,,,1,2,0,0,,75,3,,,,,,,,,,,,,283,0,6,289,674,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,2,0,C02,70,0,1,0,19,4,0,98,3,0,2,,,,,1,2,0,1,,83,4,,,,,,,,,,,,,288,0,7,295,673,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,3,0,C03,75,0,3,0,18,3,0,103,2,0,0,,,,,2,0,0,2,,92,5,,,,,,,,,,,,,305,0,3,308,673,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,4,0,C04,48,0,4,0,18,5,0,109,5,4,0,,,,,4,2,0,0,,78,5,,,,,,,,,,,,,282,0,7,289,673,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,5,0,C05,54,0,3,0,18,2,0,127,4,0,1,,,,,3,5,0,0,,90,5,,,,,,,,,,,,,312,0,4,316,673,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,6,0,C06,62,0,7,0,10,6,0,100,5,1,0,,,,,3,0,0,1,,93,1,,,,,,,,,,,,,289,2,8,299,673,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,18,B,1,0,B,43,0,2,0,7,2,0,69,1,4,2,,,,,2,3,0,0,,123,0,,,,,,,,,,,,,258,0,11,269,561,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,18,C,1,0,C01,56,0,1,0,12,1,0,68,3,2,1,,,,,3,0,0,1,,125,0,,,,,,,,,,,,,273,0,12,285,560,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,18,C,2,0,C02,43,0,1,0,13,5,0,51,3,2,0,,,,,3,1,0,0,,126,2,,,,,,,,,,,,,250,0,15,265,560,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,19,B,1,0,B,78,0,20,0,5,104,0,4,5,97,1,,,,,2,2,0,0,,3,8,,,,,,,,,,,,,329,10,10,349,741,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,19,C,1,0,C01,82,0,16,0,3,3,0,104,3,5,3,,,,,1,0,0,1,,94,3,,,,,,,,,,,,,318,0,12,330,741,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,19,C,2,0,C02,85,0,3,0,19,4,0,110,4,0,2,,,,,2,3,0,1,,107,5,,,,,,,,,,,,,345,0,8,353,740,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,19,C,3,0,C03,78,0,2,0,28,2,0,95,8,5,0,,,,,2,3,1,0,,114,0,,,,,,,,,,,,,338,0,13,351,740,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,B,1,0,B,72,0,3,0,21,2,0,89,4,2,0,,,,,4,4,0,1,,83,5,,,,,,,,,,,,,290,0,8,298,691,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,1,0,C01,88,0,4,0,17,2,0,119,3,2,1,,,,,0,0,1,0,,68,0,,,,,,,,,,,,,305,0,16,321,691,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,2,0,C02,70,0,0,0,18,6,0,134,1,2,0,,,,,2,4,0,1,,79,3,,,,,,,,,,,,,320,0,9,329,691,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,3,0,C03,57,0,6,0,15,3,0,117,4,4,1,,,,,1,2,0,0,,103,4,,,,,,,,,,,,,317,0,10,327,690,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,4,0,C04,61,0,0,0,20,1,0,119,6,3,0,,,,,1,0,0,1,,109,0,,,,,,,,,,,,,321,0,0,321,690,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,5,0,C05,75,0,1,0,13,5,0,106,4,0,0,,,,,1,3,0,0,,84,0,,,,,,,,,,,,,292,0,6,298,690,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,6,0,C06,68,0,3,0,17,1,0,125,5,0,1,,,,,2,7,0,0,,87,4,,,,,,,,,,,,,320,0,9,329,690,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,21,B,1,0,B,84,0,5,0,14,2,0,86,4,0,1,,,,,1,1,2,0,,91,3,,,,,,,,,,,,,294,0,9,303,620,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,21,C,1,0,C01,57,0,1,0,12,4,0,88,4,0,0,,,,,0,6,1,1,,100,1,,,,,,,,,,,,,275,0,11,286,620,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,21,C,2,0,C02,69,0,6,0,19,3,0,93,5,0,1,,,,,0,0,0,0,,107,5,,,,,,,,,,,,,308,0,7,315,619,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,B,1,0,B,68,0,3,0,18,1,0,100,3,4,0,,,,,2,0,1,1,,89,9,,,,,,,,,,,,,299,3,3,305,707,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,1,0,C01,77,0,2,0,16,3,0,106,4,6,0,,,,,0,1,1,0,,87,4,,,,,,,,,,,,,307,0,5,312,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,2,0,C02,68,0,0,0,22,1,0,93,3,1,2,,,,,0,1,0,0,,127,10,,,,,,,,,,,,,328,0,7,335,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,3,0,C03,63,0,2,0,18,4,0,117,2,6,0,,,,,2,0,0,0,,97,5,,,,,,,,,,,,,316,0,8,324,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,4,0,C04,63,0,3,0,27,2,0,98,2,4,2,,,,,3,2,0,2,,98,9,,,,,,,,,,,,,315,0,4,319,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,5,0,C05,67,0,3,0,17,2,0,104,3,2,0,,,,,3,1,2,0,,102,11,,,,,,,,,,,,,317,0,12,329,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,6,0,C06,82,0,4,0,17,3,0,91,5,2,1,,,,,3,3,0,0,,106,7,,,,,,,,,,,,,324,0,9,333,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,7,0,C07,80,0,3,0,13,5,0,90,3,3,1,,,,,4,3,1,1,,73,8,,,,,,,,,,,,,288,0,7,295,706,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,8,0,C08,73,0,1,0,15,3,0,96,3,1,3,,,,,4,2,0,1,,108,8,,,,,,,,,,,,,318,1,9,328,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,B,1,0,B,52,0,3,0,25,2,0,81,1,4,0,,,,,1,7,0,2,,108,5,,,,,,,,,,,,,291,0,5,296,627,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,1,0,C01,47,0,3,0,19,0,0,100,1,1,1,,,,,1,2,0,1,,103,4,,,,,,,,,,,,,283,0,5,288,627,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,2,0,C02,51,0,2,0,11,1,0,102,4,1,1,,,,,3,3,0,1,,113,8,,,,,,,,,,,,,301,0,7,308,626,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,3,0,C03,58,0,3,0,20,1,0,85,4,5,0,,,,,3,3,0,0,,93,6,,,,,,,,,,,,,281,0,7,288,626,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,4,0,C04,41,0,0,0,28,4,0,93,0,2,0,,,,,5,5,0,0,,91,8,,,,,,,,,,,,,277,0,9,286,626,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,5,0,C05,49,0,3,0,15,2,0,100,1,4,0,,,,,3,1,0,0,,80,4,,,,,,,,,,,,,262,0,5,267,626,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,B,1,0,B,63,0,4,0,18,3,0,114,2,0,4,,,,,3,1,0,1,,75,7,,,,,,,,,,,,,295,0,5,300,690,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,1,0,C01,75,0,5,0,27,3,0,91,5,0,1,,,,,0,2,0,0,,88,5,,,,,,,,,,,,,302,0,6,308,689,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,2,0,C02,55,0,1,0,18,1,0,115,0,1,0,,,,,3,3,0,1,,81,3,,,,,,,,,,,,,282,0,3,285,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,3,0,C03,54,0,3,0,8,4,0,120,5,1,1,,,,,1,3,0,3,,71,1,,,,,,,,,,,,,275,0,12,287,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,4,0,C04,82,0,0,0,22,6,0,109,2,1,1,,,,,1,2,0,0,,67,5,,,,,,,,,,,,,298,0,8,306,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,5,0,C05,43,0,2,0,23,8,0,109,1,0,0,,,,,1,4,0,1,,72,8,,,,,,,,,,,,,272,0,10,282,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,6,0,C06,60,0,3,0,20,3,0,127,4,0,3,,,,,4,2,0,1,,81,0,,,,,,,,,,,,,308,4,13,325,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,7,0,C07,61,0,3,0,17,3,0,105,4,3,3,,,,,0,0,0,0,,64,2,,,,,,,,,,,,,265,0,10,275,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,8,0,C08,75,0,1,0,15,3,0,110,4,1,0,,,,,0,4,0,0,,74,0,,,,,,,,,,,,,287,0,8,295,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,9,0,C09,66,0,1,0,18,3,0,117,5,2,4,,,,,1,7,1,1,,88,1,,,,,,,,,,,,,315,0,8,323,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,10,0,C10,63,0,3,0,12,4,0,106,0,2,3,,,,,3,1,0,2,,79,4,,,,,,,,,,,,,282,0,7,289,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,25,B,1,0,B,59,0,3,0,14,2,0,61,3,0,3,,,,,0,0,0,0,,111,1,,,,,,,,,,,,,257,0,15,272,567,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,25,C,1,0,C01,57,0,2,0,18,7,0,63,2,1,1,,,,,3,1,0,0,,98,3,,,,,,,,,,,,,256,0,11,267,567,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,25,C,2,0,C02,68,0,1,0,14,5,0,56,4,2,0,,,,,0,0,0,0,,108,3,,,,,,,,,,,,,261,1,16,278,567,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,25,C,3,0,C03,80,0,4,0,8,0,0,66,5,0,1,,,,,2,1,0,0,,104,3,,,,,,,,,,,,,274,0,0,274,567,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,B,1,0,B,64,0,6,0,15,2,0,105,0,1,0,,,,,1,2,0,0,,96,6,,,,,,,,,,,,,298,0,14,312,681,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,C,1,0,C01,67,0,1,0,32,0,0,110,6,3,0,,,,,2,1,0,1,,80,5,,,,,,,,,,,,,308,0,14,322,681,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,C,2,0,C02,68,0,3,0,20,3,0,111,0,1,1,,,,,2,0,0,0,,100,2,,,,,,,,,,,,,311,0,15,326,680,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,C,3,0,C03,55,0,6,0,12,2,0,78,2,2,1,,,,,0,4,0,1,,117,2,,,,,,,,,,,,,282,0,16,298,680,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,C,4,0,C04,75,0,2,0,18,5,0,95,1,0,1,,,,,3,1,0,1,,102,7,,,,,,,,,,,,,311,0,11,322,680,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,C,5,0,C05,53,0,4,0,18,1,0,79,7,1,1,,,,,0,2,0,0,,116,3,,,,,,,,,,,,,285,1,11,297,680,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,S,1,0,S01,13,0,1,0,2,1,0,18,1,0,0,,,,,1,0,0,0,,210,0,,,,,,,,,,,,,247,0,6,253,0,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,27,B,1,0,B,28,0,4,0,5,1,0,28,3,1,0,,,,,0,0,0,0,,27,0,,,,,,,,,,,,,97,0,2,99,128,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,28,B,1,0,B,8,0,0,0,0,2,0,35,0,0,0,,,,,0,0,0,0,,25,3,,,,,,,,,,,,,73,0,4,77,126,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,30,B,1,0,B,51,0,0,0,4,3,0,21,1,0,0,,,,,0,1,0,0,,73,0,,,,,,,,,,,,,154,2,3,159,296,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,B,1,0,B,73,0,5,0,12,1,0,107,2,1,2,,,,,4,2,2,0,,82,8,,,,,,,,,,,,,301,0,11,312,664,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,1,0,C01,80,0,6,0,18,3,0,109,4,1,0,,,,,2,2,0,1,,109,2,,,,,,,,,,,,,337,0,5,342,664,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,2,0,C02,61,0,7,0,23,0,0,122,5,0,0,,,,,4,2,0,0,,100,9,,,,,,,,,,,,,333,0,5,338,664,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,3,0,C03,84,0,0,0,19,1,0,104,1,2,1,,,,,5,1,0,0,,117,7,,,,,,,,,,,,,342,0,8,350,664,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,4,0,C04,71,0,3,0,15,2,0,109,5,1,3,,,,,2,4,0,1,,95,4,,,,,,,,,,,,,315,0,8,323,664,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,5,0,C05,72,0,3,0,15,7,0,102,2,1,2,,,,,2,2,3,0,,71,9,,,,,,,,,,,,,291,0,8,299,663,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,32,B,1,0,B,28,0,0,0,15,1,0,41,2,0,1,,,,,1,2,0,1,,78,3,,,,,,,,,,,,,173,0,12,185,327,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,B,1,0,B,145,0,3,0,2,37,0,10,0,3,6,,,,,1,0,0,0,,216,,,,,,,,,,,,,,423,0,13,436,645,Acta Casilla,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,C,1,0,C01,188,0,3,0,2,30,0,11,0,2,7,,,,,0,0,0,0,,181,,,,,,,,,,,,,,424,0,23,447,645,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,C,2,0,C02,171,0,3,0,1,28,0,6,0,3,5,,,,,0,0,1,0,,194,,,,,,,,,,,,,,412,0,19,431,645,Acta Casilla,,,
