ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_AVE,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PVEM_NVA_ALIANZA,PVEM_AVE,NVA_ALIANZA_AVE,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,210,TATAHUICAPAN DE JUAREZ,8,19,738,1855,1357,150,49,41,103,30,61,1047,53,201,10,0,5,1,7,81,14,5,1,1,2,,,,,,,,,,,,,,,,3,5812,458,6273,10763,0.5828
30,VERACRUZ,157,TATATILA,4,7,1188,559,22,13,8,16,15,25,121,137,13,33,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,2150,42,2192,3555,0.6166
30,VERACRUZ,158,TECOLUTLA,28,42,2391,2655,791,2144,100,115,155,92,77,911,72,167,5,3,6,0,0,88,1,3,7,3,3,,,,,76,16,,,,,,,,,,4,9881,281,10166,18562,0.5477
30,VERACRUZ,159,TEHUIPANGO,7,24,3891,2277,503,415,778,55,161,39,64,467,22,94,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,8766,739,9506,14611,0.6506
30,VERACRUZ,160,TEMPOAL,30,49,2525,4414,558,5935,105,80,160,47,32,742,28,99,19,9,20,0,0,275,2,2,12,3,0,113,,,,,,,,,,,,,,,15,15180,423,15618,24833,0.6289
30,VERACRUZ,161,TENAMPA,3,8,758,715,74,229,20,119,69,11,76,153,15,51,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,2290,125,2416,4619,0.5231
30,VERACRUZ,162,TENOCHTITLAN,6,10,279,277,576,35,77,218,25,133,36,406,7,48,1,0,0,0,0,4,0,7,0,1,1,,,,,,,,,,,,,,,,1,2131,73,2205,3823,0.5768
30,VERACRUZ,163,TEOCELO,9,21,918,1001,318,628,102,50,85,806,108,2427,69,60,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,84,,,,,,,7,6656,302,6965,12070,0.5771
30,VERACRUZ,161,TEPATLAXCO,3,10,1592,1338,112,278,15,28,22,12,17,211,27,132,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,3784,169,3954,6074,0.6510
30,VERACRUZ,165,TEPETLAN,6,13,964,304,191,103,309,52,115,879,151,516,37,58,0,1,0,0,0,4,0,4,1,5,5,,,,,,,,,,,,,,,,0,3699,132,3831,6878,0.5570
30,VERACRUZ,166,TEPETZINTLA,9,19,1246,2413,245,1183,68,45,42,32,34,1059,28,67,1,4,0,0,0,88,3,0,2,0,0,,,,,,,,,,,,,,,,0,6560,187,6747,10108,0.6675
30,VERACRUZ,167,TEQUILA,8,17,1497,2032,315,1132,112,46,221,43,38,371,140,84,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,6031,314,6345,9121,0.6956
30,VERACRUZ,169,TEXCATEPEC,5,14,276,2188,833,142,61,13,70,28,26,687,13,42,9,0,1,0,0,30,0,0,0,0,1,,25,,,,,,,,,,,,,,3,4445,184,4632,6618,0.6999
30,VERACRUZ,170,TEXHUACAN,4,7,418,227,140,386,44,14,86,39,34,549,17,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,1974,144,2118,3735,0.5671
30,VERACRUZ,171,TEXISTEPEC,16,31,901,1969,857,530,52,374,429,451,71,1832,31,102,4,0,3,0,0,25,6,9,1,2,2,,,,,,,,,,,,,,,,2,7651,164,7817,14416,0.5422
30,VERACRUZ,172,TEZONAPA,35,73,4664,4396,1004,3695,139,276,160,159,122,3742,86,429,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,8,18872,961,19841,37118,0.5345
30,VERACRUZ,173,TIERRA BLANCA,67,134,15376,10325,635,705,1509,161,928,156,166,6442,219,637,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,21,37259,1384,38664,73988,0.5226
30,VERACRUZ,174,TIHUATLAN,49,113,6674,5985,8792,1168,567,171,424,96,176,5356,188,1071,41,18,13,2,2,204,12,3,14,1,3,,,,,,,,,,,,,,,,12,30981,966,31959,63686,0.5018
30,VERACRUZ,179,TLACHICHILCO,9,14,2449,2157,206,138,41,7,41,20,9,175,6,95,0,1,2,0,0,33,1,1,0,0,0,,11,,,,,,,,,,,,,,0,5393,136,5529,7772,0.7114
30,VERACRUZ,175,TLACOJALPAN,4,7,684,716,59,20,15,23,10,13,13,281,3,33,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,1870,65,1935,3617,0.5350
30,VERACRUZ,176,TLACOLULAN,6,14,1220,578,885,63,223,251,35,89,64,606,52,118,2,0,1,0,0,7,0,1,0,0,0,,,,,,,,,,,,,,,,0,4195,111,4306,7014,0.6139
30,VERACRUZ,177,TLACOTALPAN,13,21,1561,1602,608,454,72,59,44,40,16,745,32,261,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,93,,0,5587,274,5861,10439,0.5615
30,VERACRUZ,178,TLACOTEPEC DE MEJIA,2,5,522,714,56,89,7,22,70,62,9,111,4,41,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,1707,74,1781,2948,0.6041
30,VERACRUZ,180,TLALIXCOYAN,27,52,7040,3953,271,196,148,325,168,81,75,1508,117,326,18,16,16,2,0,139,8,5,3,1,1,,,,,,,,,,,,,,,,11,14417,490,14918,27214,0.5482
30,VERACRUZ,181,TLALNELHUAYOCAN,5,18,1577,1216,133,238,111,100,36,328,77,1695,265,56,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,58,,,,,,,3,5890,211,6104,11515,0.5301
30,VERACRUZ,25,TLALTETELA,6,20,2081,3090,343,77,42,42,41,27,294,505,37,229,4,3,8,0,0,90,2,4,0,0,0,,,,,,,,,,27,,,,,,2,6946,177,7125,10660,0.6684
30,VERACRUZ,182,TLAPACOYAN,32,78,4517,3127,566,258,872,176,331,161,295,4588,350,251,9,2,8,1,0,57,15,4,0,1,3,,,,,187,362,,,,,,,,,,14,16141,645,16800,41054,0.4092
30,VERACRUZ,183,TLAQUILPA,3,8,816,407,530,272,67,35,32,14,18,227,9,94,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,2521,161,2682,4913,0.5459
30,VERACRUZ,183,TLILAPAN,2,5,464,220,87,455,26,8,428,10,22,266,25,15,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,2026,82,2108,3435,0.6137
30,VERACRUZ,185,TOMATLAN,4,9,797,601,92,103,37,51,17,20,42,772,37,34,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2,2603,134,2739,5200,0.5267
30,VERACRUZ,186,TONAYAN,3,7,469,685,54,87,287,32,11,100,84,468,13,4,1,0,0,1,0,6,1,2,0,2,2,,,,,,,,,,,,,,,,0,2309,40,2349,3753,0.6259
30,VERACRUZ,187,TOTUTLA,10,21,2599,1292,120,1456,33,191,448,58,106,325,99,188,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5,6915,407,7327,11814,0.6202
30,VERACRUZ,204,TRES VALLES,33,70,4347,5429,528,249,182,127,242,93,126,3766,143,194,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,15426,553,15985,33154,0.4821
30,VERACRUZ,188,TUXPAN,75,189,11677,10700,1385,1234,1108,565,551,611,790,15011,856,523,65,17,35,4,2,259,12,13,6,6,3,,,,,,,,,,,,,,,,47,45433,1858,47338,106459,0.4447
30,VERACRUZ,189,TUXTILLA,2,4,537,567,52,30,5,3,7,4,7,81,8,16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,1317,41,1358,1948,0.6971
30,VERACRUZ,190,URSULO GALVAN,23,46,3460,2577,353,305,108,1171,160,139,190,2606,199,213,13,3,3,0,3,49,0,5,0,2,2,,,,,,,,,,107,,,,,,6,11668,370,12044,23329,0.5163
30,VERACRUZ,209,UXPANAPA,17,40,2994,3820,670,288,107,93,68,56,53,1299,28,289,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,9765,324,10090,18578,0.5431
30,VERACRUZ,191,VEGA DE ALATORRE,21,32,1488,1404,247,276,409,61,301,308,58,1429,145,62,6,1,11,0,0,20,1,10,2,2,2,,,,,,,,,,,,,,,,2,6243,186,6431,14932,0.4307
30,VERACRUZ,192,VERACRUZ,363,778,111802,36335,4519,4264,2808,5020,3950,1442,1927,39645,4242,5298,414,138,201,26,17,1408,93,44,36,14,29,,,,,,,,,,,990,,,,,247,224662,7386,232295,444745,0.5223
30,VERACRUZ,193,VILLA ALDAMA,5,12,1147,1047,157,24,52,223,19,123,173,446,41,69,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,3521,108,3630,7145,0.5080
30,VERACRUZ,89,XALAPA,254,618,46788,29256,6723,4194,2941,7153,2470,2692,4784,73951,6926,2394,143,44,89,8,6,347,23,18,8,8,12,,,,,,,1942,1918,,,,,,,,1973,194838,7283,204094,361507,0.5646
30,VERACRUZ,194,XICO,19,46,1614,2046,1503,1025,123,107,213,1061,106,3790,144,208,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,253,,,,,,,45,12193,659,12897,24792,0.5202
30,VERACRUZ,195,XOXOCOTLA,2,5,799,307,81,645,16,7,38,12,10,196,14,21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,2146,123,2269,3532,0.6424
30,VERACRUZ,196,YANGA,14,24,1931,2666,344,168,91,266,109,75,42,2120,51,71,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2,7934,321,8257,13390,0.6167
30,VERACRUZ,197,YECUATLA,10,18,530,376,607,784,745,87,49,289,81,799,47,85,1,0,4,0,1,15,0,7,1,2,1,,,,,,,,,,,,,,,,2,4511,108,4621,8564,0.5396
30,VERACRUZ,198,ZACUALPAN,6,11,250,871,1323,442,31,4,21,6,7,43,7,101,0,0,0,0,0,31,3,0,1,1,0,,6,,,,,,,,,,,,,,0,3148,120,3268,4592,0.7117
30,VERACRUZ,199,ZARAGOZA,4,13,260,843,500,91,47,13,79,14,21,1027,38,52,2,4,2,0,0,17,3,1,0,0,0,,,,,,,,,,,,,,,,1,3014,94,3109,7672,0.4052
30,VERACRUZ,200,ZENTLA,9,18,2188,1718,72,403,62,94,56,31,55,433,46,72,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,7,5230,253,5490,9454,0.5807
30,VERACRUZ,201,ZONGOLICA,28,57,3894,1910,1730,3711,161,198,235,294,243,1677,226,483,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,4,14762,1132,15898,29942,0.5310
30,VERACRUZ,202,ZONTECOMATLAN,8,20,2746,1723,295,93,91,9,66,12,25,183,4,141,1,0,0,0,0,37,4,0,2,1,0,,17,,,,,,,,,,,,,,0,5450,339,5789,8657,0.6687
30,VERACRUZ,203,ZOZOCOLCO DE HIDALGO,8,15,1631,2197,205,172,491,20,30,100,10,238,4,115,0,0,0,0,0,0,0,0,0,0,0,,,,21,,,,,,,,,,,,0,5234,196,5430,8459,0.6419
