CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0785,1,21,5,1,0,0,0,1,1,0,0,0,0,0,0,0,29,1,30,195
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0786,1,92,111,1,3,1,7,2,4,4,1,1,0,0,0,0,227,1,228,496
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0787,1,153,103,1,1,2,6,0,2,3,0,0,0,0,8,0,279,3,282,660
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0788,2,168,143,5,1,6,15,3,15,0,0,3,1,0,4,0,364,1,376,919
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0789,1,81,85,3,1,1,6,1,5,1,0,0,0,0,2,1,186,1,188,516
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0790,1,98,86,4,1,1,6,1,6,1,0,1,0,0,1,1,206,1,208,461
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0791,2,183,169,1,4,0,20,2,9,4,3,0,0,0,1,0,396,8,404,936
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0792,1,124,125,1,5,2,6,2,9,1,1,3,0,0,2,0,281,11,292,717
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0793,1,188,106,4,2,0,9,1,5,3,0,0,0,0,0,0,318,8,226,700
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0794,1,178,107,3,2,5,5,4,1,4,0,2,0,0,0,0,311,3,314,712
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0795,1,110,0,2,0,0,4,0,4,4,85,0,0,0,3,0,212,5,217,455
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0796,2,212,144,8,9,4,11,2,4,8,0,2,0,1,2,1,407,8,415,896
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0797,1,154,117,8,1,0,6,4,9,4,0,1,0,0,2,0,306,7,330,720
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0798,2,209,129,6,2,4,8,6,4,5,0,0,0,0,2,0,375,10,385,874
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0799,1,137,95,3,2,3,7,3,8,2,0,2,0,1,2,0,265,5,270,680
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0800,2,177,110,5,4,0,9,2,12,9,0,1,0,0,5,1,334,10,345,803
