ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,12,GONZALEZ,37,67,11770,7466,73,45,30,88,106,142,42,12,56,9,0,20,8,19859,305,20172,30954,0.6517
28,TAMAULIPAS,13,GÜEMEZ,15,27,4662,4515,28,11,14,105,24,15,24,7,28,1,1,5,1,9440,110,9551,12465,0.7662
28,TAMAULIPAS,14,GUERRERO,3,6,600,875,5,1,11,6,17,25,3,0,5,1,0,0,0,1549,38,1588,2742,0.5791
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,26,2448,2273,12,22,18,43,102,189,2580,17,19,9,2,4,0,7738,159,8197,13362,0.6135
28,TAMAULIPAS,16,HIDALGO,21,34,7849,1169,24,23,32,103,59,121,83,0,5,0,2,11,2,9481,217,9706,15574,0.6232
28,TAMAULIPAS,17,JAUMAVE,12,24,3891,3261,26,22,18,83,107,99,499,7,17,6,5,245,0,8286,356,8652,11085,0.7805
28,TAMAULIPAS,18,JIMENEZ,8,13,2251,2006,16,3,1,15,17,5,17,160,17,4,2,2,0,4516,58,4580,6094,0.7516
28,TAMAULIPAS,19,LLERA,18,30,4020,4074,49,81,19,192,230,113,113,35,51,21,6,60,1,9064,313,9368,12872,0.7278
28,TAMAULIPAS,20,MAINERO,4,6,1336,59,7,2,1,3,1,5,0,0,2,0,1,1,0,1418,47,1465,2308,0.6347
28,TAMAULIPAS,21,EL MANTE,86,164,31089,18918,429,455,336,808,324,1176,374,159,186,14,6,194,24,54468,896,55388,87221,0.6350
28,TAMAULIPAS,22,MATAMOROS,224,639,72092,79922,1600,1219,1030,21184,1185,3978,2085,734,1000,361,140,1505,185,188035,4345,191681,385211,0.4976
28,TAMAULIPAS,23,MENDEZ,6,10,1651,1361,9,5,1,15,7,19,17,2,6,0,0,2,0,3095,34,3125,3968,0.7876
28,TAMAULIPAS,24,MIER,6,8,1330,961,2,4,15,349,26,19,12,0,6,1,0,2,0,2727,52,2779,4405,0.6309
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,39,6811,4566,42,42,33,129,154,86,113,17,40,8,3,128,9,12172,210,12485,20156,0.6194
28,TAMAULIPAS,26,MIQUIHUANA,4,6,1136,1129,2,0,0,16,8,72,0,0,4,0,0,1,0,2368,33,2401,2817,0.8523
28,TAMAULIPAS,27,NUEVO LAREDO,206,508,77450,49485,2213,1035,571,4677,1338,2290,1578,212,335,61,20,1011,87,142276,2397,145328,299617,0.4850
28,TAMAULIPAS,28,NUEVO MORELOS,3,5,1279,1228,0,2,0,1,17,5,0,4,5,1,0,0,0,2542,18,2560,2995,0.8548
28,TAMAULIPAS,29,OCAMPO,14,22,4020,3917,9,11,3,18,36,32,29,11,18,8,0,15,0,8127,82,8300,10466,0.7930
28,TAMAULIPAS,30,PADILLA,9,21,4413,3571,26,15,25,151,58,52,149,10,13,3,1,5,1,8492,95,8588,11449,0.7501
28,TAMAULIPAS,31,PALMILLAS,4,5,502,687,4,3,0,4,6,0,8,0,2,0,0,0,1,1216,64,1382,1612,0.8573
28,TAMAULIPAS,32,REYNOSA,400,855,117941,67891,3044,2213,1793,15882,2681,9812,3773,746,695,257,44,2736,456,229508,4965,235077,488143,0.4816
28,TAMAULIPAS,33,RIO BRAVO,72,170,21862,17079,598,650,382,3303,761,1848,1823,363,190,16,9,397,40,49281,1041,53865,99017,0.5440
28,TAMAULIPAS,34,SAN CARLOS,12,19,3133,2509,36,3,2,16,8,11,38,2,4,0,0,0,0,5762,52,5811,7537,0.7710
28,TAMAULIPAS,35,SAN FERNANDO,52,82,14005,9611,1239,35,48,262,146,365,173,11,61,15,2,22,3,25995,512,26508,38302,0.6921
28,TAMAULIPAS,36,SAN NICOLAS,2,3,124,723,7,0,0,5,1,0,20,0,2,0,0,0,0,882,6,888,1108,0.8014
28,TAMAULIPAS,37,SOTO LA MARINA,24,44,6759,5268,500,26,37,62,429,66,38,290,150,157,10,14,2,13806,136,13686,18264,0.7493
28,TAMAULIPAS,38,TAMPICO,192,430,77611,43742,3442,1032,967,6747,726,3998,1143,418,573,199,165,822,94,141585,2413,144061,245533,0.5867
28,TAMAULIPAS,39,TULA,19,41,7696,6423,23,24,48,35,124,24,19,17,53,10,1,6,2,14503,246,14759,20898,0.7062
28,TAMAULIPAS,40,VALLE HERMOSO,46,86,12068,10880,164,103,130,874,237,369,924,28,58,10,11,255,14,26111,556,26716,46525,0.5742
28,TAMAULIPAS,41,VICTORIA,149,396,76218,53335,892,391,820,18556,995,1631,1213,430,616,255,26,718,35,156096,1835,157864,237628,0.6643
28,TAMAULIPAS,42,VILLAGRAN,7,13,3007,242,4,7,12,7,3,11,1,0,0,2,0,4,0,3300,85,3385,4897,0.6912
28,TAMAULIPAS,43,XICOTENCATL,21,36,8494,5343,47,23,22,102,28,94,67,10,22,7,0,17,0,14276,171,14384,17998,0.7992
