Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PMC,CC_1,CC_2
10,11,CIUDAD FERNANDEZ ,228,C01,643,80,54,3,237,0,0,8,0,0,0,382,10,392,88,3,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,228,C02,642,71,59,7,248,0,0,0,0,0,0,385,16,401,71,7,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,229,B01,712,72,75,2,291,3,1,5,12,1,0,462,21,483,89,4,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,230,B01,726,63,48,4,294,0,1,5,6,3,0,424,22,446,74,8,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,230,C01,725,60,41,5,282,0,1,3,13,2,0,407,24,431,76,8,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,231,B01,547,42,58,1,218,0,2,5,8,3,0,337,6,343,55,6,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,231,C01,546,44,51,4,209,1,1,6,7,0,0,323,12,335,57,5,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,232,B01,695,73,63,16,234,1,2,0,0,0,12,401,0,401,73,18,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,232,C01,694,54,48,3,274,0,4,4,11,0,0,398,13,411,69,7,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,233,B01,538,40,70,2,215,1,1,3,5,0,0,337,13,350,48,3,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,233,C01,537,45,76,2,188,2,3,0,6,2,1,325,9,334,51,7,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,234,B01,517,46,56,5,179,1,0,6,0,0,0,293,19,312,52,5,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,234,C01,517,34,48,1,180,1,2,2,8,2,0,278,23,301,44,5,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,234,C02,516,44,54,3,154,0,0,2,9,1,0,267,13,280,55,4,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,235,B01,198,39,30,1,19,26,1,1,3,0,0,120,7,127,43,2,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,236,B01,360,68,56,2,61,12,1,5,8,0,0,213,12,225,81,3,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,237,B01,239,15,34,2,45,16,1,4,2,0,0,119,9,128,21,3,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,238,B01,238,19,65,3,23,3,0,3,5,0,0,121,5,126,27,3,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,239,B01,126,15,22,0,20,3,0,0,1,0,0,61,2,63,16,0,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,240,B01,182,19,29,3,31,12,1,0,2,0,0,97,14,111,21,4,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,241,B01,749,96,197,4,112,3,0,8,18,2,0,440,26,466,122,6,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,242,B01,473,53,126,1,75,3,0,1,13,0,0,272,21,293,67,1,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,243,B01,742,115,150,2,132,1,2,1,17,0,0,420,21,441,133,4,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,243,C01,742,76,120,0,189,0,0,4,20,1,0,410,15,425,100,1,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,244,B01,299,53,114,1,20,2,1,1,7,0,0,199,7,206,61,2,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,245,B01,654,54,212,5,107,0,1,0,0,0,0,379,37,416,54,6,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,246,B01,674,144,169,0,82,0,0,3,0,0,0,398,19,417,147,0,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,246,C01,674,126,188,2,79,2,0,0,0,0,0,397,21,418,126,2,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,247,B01,504,59,129,3,85,2,2,1,7,0,0,288,17,305,67,5,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,247,C01,504,58,130,3,65,2,0,1,9,0,0,268,13,281,68,3,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,248,B01,726,113,172,1,94,2,0,5,17,0,0,404,30,434,135,1,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,249,B01,494,86,138,0,25,1,1,0,1,0,0,252,21,273,87,1,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,250,B01,460,73,92,9,34,6,0,10,15,0,0,239,26,265,98,9,PAN_PNA,PRD_PMC
