Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC,CC_1,CC_2,CC_3
4,21,MEXQUITIC DE CARMONA ,559,B01,627,31,122,15,2,7,1,47,1,22,76,38,0,362,10,372,54,205,103,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,559,C01,627,43,137,9,4,3,5,65,2,28,59,40,0,395,12,407,73,199,123,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,559,C02,627,53,121,15,2,5,4,49,3,26,66,36,0,380,12,392,82,192,106,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,560,B01,551,39,84,17,12,6,0,51,2,19,53,68,0,351,8,359,60,143,148,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,560,C01,550,19,96,18,7,6,8,50,1,19,51,67,0,342,15,357,39,153,150,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,561,B01,627,41,105,22,2,6,4,87,3,10,58,83,0,421,7,428,54,169,198,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,561,C01,627,44,87,20,8,4,4,96,4,20,57,72,0,416,12,428,68,148,200,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,562,B01,444,42,72,27,4,4,1,50,0,23,37,47,0,307,10,317,65,113,129,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,562,C01,443,30,88,17,8,5,2,55,0,15,35,43,0,298,0,298,45,128,125,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,563,B01,251,19,47,5,3,2,0,27,0,11,16,29,0,159,2,161,30,65,64,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,564,B01,345,21,53,10,2,5,0,24,2,10,22,21,0,170,6,176,33,80,57,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,565,B01,720,46,89,32,5,8,2,46,5,16,80,63,0,392,11,403,67,177,148,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,565,C01,719,37,93,37,8,5,3,59,2,18,80,61,0,403,8,411,57,178,168,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,566,B01,533,21,107,17,4,4,2,53,2,6,52,46,0,314,10,324,29,163,122,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,566,C01,532,21,102,15,4,7,0,44,1,5,73,59,0,331,6,337,27,182,122,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,567,B01,413,25,103,20,10,4,4,26,1,16,52,32,0,293,10,303,42,159,92,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,568,B01,442,18,95,9,4,4,1,45,3,11,55,32,1,278,8,286,32,154,91,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,568,C01,442,29,81,13,5,3,0,54,1,13,51,36,2,288,5,293,43,135,108,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,569,B01,269,14,73,9,7,4,3,49,1,4,21,41,0,226,4,230,19,98,109,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,570,B01,609,26,133,12,4,6,4,106,3,20,72,51,0,437,9,446,49,211,177,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,571,B01,575,28,128,20,12,8,7,72,2,13,56,64,0,410,15,425,43,192,175,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,572,B01,455,33,82,15,5,4,2,51,4,28,62,49,0,335,12,347,65,148,122,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,572,C01,455,38,91,16,6,3,4,49,3,26,71,52,0,359,6,365,67,165,127,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,572,E01,729,29,125,20,7,6,3,87,3,21,87,91,0,479,17,496,53,218,208,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,573,B01,625,20,124,17,4,8,2,55,3,17,75,69,0,394,7,401,40,207,147,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,573,C01,625,31,131,27,8,9,3,47,2,14,82,55,0,409,0,409,47,222,140,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,573,C02,625,19,114,24,4,5,2,54,0,16,87,60,0,385,10,395,35,206,144,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,574,B01,644,43,91,20,5,7,6,113,1,33,44,77,0,440,16,456,77,142,221,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,575,B01,331,46,73,10,4,8,2,24,3,19,26,18,0,233,7,240,68,107,58,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,576,B01,247,16,47,8,5,5,6,41,1,12,19,20,0,180,2,182,29,71,80,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,577,B01,391,28,113,10,1,4,1,22,0,18,60,19,1,277,8,285,46,177,53,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,577,C01,390,16,87,9,5,6,1,39,2,0,0,0,0,165,6,171,18,93,54,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,578,B01,487,46,107,4,6,4,3,58,0,32,40,58,0,358,13,371,78,151,129,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,578,C01,487,43,109,12,2,5,2,60,1,15,55,55,0,359,16,375,59,169,131,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,579,B01,666,39,156,29,4,12,3,46,2,12,91,50,0,444,6,450,53,259,132,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,579,E01,436,21,62,22,12,2,1,36,3,15,71,52,0,297,7,304,39,135,123,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,580,B01,513,25,127,22,4,6,3,64,1,8,58,50,0,368,9,377,34,191,143,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,580,C01,513,23,91,27,10,11,3,62,1,21,71,59,0,379,7,386,45,173,161,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,580,C02,513,32,96,25,7,7,2,54,1,15,75,43,0,357,3,360,48,178,131,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,581,B01,391,23,85,8,1,5,2,26,2,29,63,41,0,285,9,294,54,153,78,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,581,C01,390,25,98,7,4,4,3,27,2,30,41,28,0,269,10,279,57,143,69,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,581,E01,353,35,71,17,5,0,1,34,5,9,38,43,0,258,6,264,49,109,100,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,582,B01,596,48,169,28,13,6,4,47,7,8,51,54,0,435,6,441,63,226,146,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,582,E01,447,38,120,15,8,4,1,36,3,22,56,30,0,333,6,339,63,180,90,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,583,B01,638,57,72,23,10,5,4,130,2,0,0,0,0,303,16,319,59,77,167,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,584,B01,723,26,118,48,9,5,5,138,3,12,57,108,1,530,16,546,41,180,308,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,585,B01,576,55,98,24,13,4,9,27,2,30,41,42,0,345,15,360,87,143,115,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,585,C01,576,66,95,25,12,8,2,33,5,22,38,52,1,359,21,380,93,141,124,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,586,B01,615,100,106,23,9,7,4,17,12,46,40,28,0,392,9,401,158,153,81,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,586,C01,615,128,120,17,12,8,1,35,12,18,32,41,0,424,11,435,158,160,106,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,586,C02,614,83,104,28,10,14,4,19,10,27,48,40,0,387,10,397,120,166,101,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,587,B01,564,54,143,17,8,7,2,47,4,15,77,30,0,404,9,413,73,227,104,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,587,C01,563,79,140,18,17,10,0,35,5,25,72,27,0,428,10,438,109,222,97,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,588,B01,740,80,151,24,28,8,3,49,3,35,51,53,1,486,16,502,118,210,157,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,588,C01,739,110,120,27,27,5,4,44,7,38,39,52,0,473,13,486,155,164,154,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,589,B01,539,76,143,26,10,6,0,23,2,14,53,17,0,370,6,376,92,202,76,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,589,C01,539,66,131,19,6,10,2,17,4,31,70,23,0,379,5,384,101,211,67,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,589,C02,539,90,107,20,6,10,2,14,9,31,51,16,1,357,13,370,130,168,58,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,590,B01,413,49,122,21,0,5,1,7,5,15,45,14,0,284,8,292,69,172,43,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,590,C01,412,67,123,17,5,4,0,5,5,25,41,9,0,301,2,303,97,168,36,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,590,E01,280,38,61,16,10,5,0,12,0,3,26,16,0,187,6,193,41,92,54,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
