Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC,CC_1,CC_2,CC_3
15,58,MATLAPA ,1356,B01,692,130,196,20,6,10,2,3,6,24,104,12,0,513,6,519,160,310,43,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1356,C01,691,128,218,23,2,9,4,1,4,26,70,17,0,502,17,519,158,297,47,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1357,B01,658,82,150,101,14,4,5,7,4,10,32,38,0,447,33,480,96,186,165,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1358,B01,588,94,169,8,5,9,1,1,1,30,81,7,0,406,27,433,125,259,22,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1358,C01,588,113,150,10,6,3,0,0,7,43,70,7,0,409,20,429,163,223,23,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1358,C02,588,109,156,14,2,11,0,2,6,46,54,13,0,413,22,435,161,221,31,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1358,C03,588,115,167,12,4,7,0,2,4,25,63,10,0,409,18,427,144,237,28,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1359,B01,516,80,115,33,6,9,2,1,10,27,59,18,0,360,23,383,117,183,60,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1359,C01,516,73,146,16,6,13,0,0,6,25,69,13,0,367,27,394,104,228,35,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1359,C02,515,81,136,17,5,12,0,3,13,28,70,15,1,381,22,403,122,218,40,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1360,B01,582,105,118,62,15,5,4,8,4,14,22,30,0,387,32,419,123,145,119,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1361,B01,332,81,61,22,7,3,5,0,2,19,22,17,0,239,12,251,102,86,51,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1362,B01,720,22,143,38,11,0,5,5,0,126,58,33,0,441,51,492,148,201,92,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1362,E01,547,121,137,43,6,14,2,8,4,20,32,14,0,401,26,427,145,183,73,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1363,B01,543,126,194,4,3,42,0,0,15,3,9,0,0,396,4,400,144,245,7,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1363,C01,543,127,205,7,2,5,1,2,6,0,51,2,12,420,0,420,133,261,14,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1363,C02,543,106,202,8,0,9,0,1,4,23,40,3,0,396,11,407,133,251,12,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1364,B01,513,91,144,19,2,5,2,1,3,13,45,6,0,331,24,355,107,194,30,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1364,C01,513,89,125,26,2,10,2,2,4,28,40,12,0,340,22,362,121,175,44,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1364,C02,513,129,121,32,2,10,0,2,3,19,29,19,0,366,18,384,151,160,55,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1366,B01,476,81,152,20,5,13,0,2,3,16,34,8,0,334,17,351,100,199,35,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1366,C01,475,82,148,25,4,8,2,0,6,7,41,11,0,334,24,358,95,197,42,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
