Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PT,PVEM,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PT_PMC,CC_1,CC_2,CC_3
14,55,XILITLA ,1763,B01,380,93,78,5,6,1,4,16,49,1,0,253,14,267,113,133,7,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1763,C01,380,88,82,1,6,1,2,15,40,4,0,239,21,260,105,128,6,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1764,B01,270,68,61,9,7,2,4,8,17,7,0,183,13,196,80,85,18,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1765,B01,545,114,150,9,8,1,5,13,58,3,0,361,21,382,132,216,13,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1766,B01,592,129,157,8,10,4,3,8,77,2,0,398,7,405,140,244,14,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1767,B01,459,104,101,3,3,3,5,23,43,1,0,286,14,300,132,147,7,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1767,C01,459,103,137,2,0,2,24,0,39,0,0,307,13,320,127,176,4,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1768,B01,482,116,140,4,8,3,3,4,55,0,0,333,17,350,123,203,7,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1769,B01,574,134,138,4,4,1,8,30,65,0,0,384,23,407,172,207,5,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1769,C01,573,146,111,2,9,3,7,28,77,1,0,384,22,406,181,197,6,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1770,B01,530,117,98,1,9,4,3,23,78,3,0,336,12,348,143,185,8,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1771,B01,471,104,112,5,2,1,8,15,57,1,0,305,22,327,127,171,7,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1772,B01,469,120,100,0,5,0,3,23,46,0,0,297,12,309,146,151,0,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1772,C01,469,131,80,1,6,3,3,32,55,2,0,313,14,327,166,141,6,PAN_PNA,PRI_PVEM,PT_PMC
