uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
22004,2009,PRI_PNA,ANTONIO PEREZ BARRERA,PAN,,0.103261703760553
22004,2012,PRI_PNA,RODRIGO MEJIA HERNANDEZ,MC,,0.0732661041
22004,2015,PAN,LEON ENRIQUE BOLAÑO MENDOZA,PRI_PT,,0.0896946565
22004,2018,PAN_PRD,LEON ENRIQUE BOLAÑO MENDOZA,PRI_PVEM,CARLOTA LEDESMA LEAL,0.1198646689
22004,2021,PAN,MIGUEL MARTINEZ PEÑALOZA,PRI,CARLOTA LEDESMA LEAL,0.1924636387
22005,1991,PRI,HUGO CABRERA RUIZ,PFCRN,,0.9270278987
22005,1994,PRI,LEOPOLDO BARCENAS URIBE,PAN,,0.5984209822
22005,1997,PRI,J ROBERTO ALEJANDRO DE LEON MORENO,PAN,,0.2055382793
22005,2000,PRI,JUAN GUEVARA MORENO,PAN,,0.1975934136
22005,2003,PRI_PVEM,LEOBARDO VAZQUEZ BRIONES,PAN,,0.0862501651
22005,2006,PAN,J ALEJANDRO NIEVES HERNANDEZ,PRI_PVEM,,0.2619860231
22005,2009,PRI_PNA,VICTOR ALONSO MORENO,MC,,0.0732661041366536
22005,2012,PRI_PNA,ALEJANDRO ARTEAGA CABRERA,PRI_PVEM_PNA,,0.0818919873
22005,2015,PAN,JOSE ALEJANDRO OCHOA VALENCIA,PRI,,0.0761529492
22005,2018,PAN,JOSE ALEJANDRO OCHOA VALENCIA,INDEP,LEOPOLDO BARCENAS HERNANDEZ,0.0948905109
22005,2021,PRI,MANUEL MONTES HERNANDEZ,PAN_QI,LEOPOLDO BARCENAS HERNANDEZ,0.0150123235
22006,1991,PRI,HILARIO ZUÑIGA CASTILLO,PAN,,0.4390598498
22006,1994,PRI,MIGUEL ANGEL PATIÑO ABOYTES,PAN,,0.2812642525
22006,1997,PRI,BLANCA PEREZ BUENROSTRO,PAN,,0.0180352507
22006,2000,PAN,LUIS ANTONIO ZAPATA GUERRERO,PRI,,0.2881385523
22006,2003,PAN,DAVID LOPEZ CORRO,PRI_PVEM,,0.0260529589
22006,2006,PAN,GERMAN BORJA GARCIA,PRI_PVEM,,0.1628232705
22006,2009,PAN,JOSE CARMEN MENDIETA OLVERA,PRI_PVEM_PNA,,0.0818919872926227
22006,2012,PAN,LUIS ANTONIO ZAPATA GUERRERO,PRI_PNA,,0.0723046024
22006,2015,PAN,MAURICIO KURI GONZALEZ,PRI_PNA_PVEM,,0.2592686643
22006,2018,PAN_PRD_MC,ROBERTO SOSA PICHARDO,MORENA_PT_PES,MARIA GABRIELA MORENO MAYORGA,0.2367888307
22006,2021,PAN,ROBERTO SOSA PICHARDO,MORENA,DOMITILA LIRA ARREOLA,0.4638898842
22007,1991,PRI,JUAN TREJO FEREGRINO,PFCRN,,0.7593933127
22007,1994,PRI,SERVANDO VELAZQUEZ MONTES,PFCRN,,0.7221322849
22007,1997,PAN,HIPOLITO RIGOBERTO PEREZ MONTES,PRI,,0.1993091176
22007,2000,PRI,ADOLFO VEGA MONTOTO,PAN,,0.0959085326
22007,2003,PAN,GILBERTO CARLOS MONTES GARCIA,PVEM,,0.0781310212
22007,2006,PRI,MARTIN VEGA VEGA,PAN,,0.0681908391
22007,2009,PAN,HIPOLITO FILIBERTO MARTINEZ ARTEAGA,PRI_PNA,,0.0723046023674202
22007,2012,PAN,JORGE LUIS VEGA OCAMPO,PAN,,0.1191195261
22007,2015,PRI_PNA_PT,LUZ MARIA QUINTANAR,PAN,,0.0580440258
22007,2018,MORENA_PT_PES,ELVIA MONTES TREJO,PAN_PRD_MC,MAGDA GUADALUPE PEREZ MONTES,0.0044444444
22007,2021,PAN_PRD_QI,MAGDA GUADALUPE PEREZ MONTES,INDEP,IVAN RESENDIZ RAMIREZ,0.0638541615
22008,1991,PRI,J GUADALUPE MORALES FRANCO,PAN,,0.6588382933
22008,1994,PRI,RAYMUNDO CASTROGAYOSO,PAN,,0.5273882297
22008,1997,PRI,JOSE GRANADOS GUILLEN,PAN,,0.1373094765
22008,2000,PRI,MAURICIO SERVIN HERNANDEZ,PAN,,0.1553879068
22008,2003,PRI_PVEM,ANTONIO AGUILAR LANDAVERDE,PAN,,0.0863814125
22008,2006,PAN,JOSE LUCIO FAJARDO ORTA,PRI_PVEM,,0.2506828528
22008,2009,PRI_PNA,J SAUL AYALA CABRERA,PAN,,0.119119526077361
22008,2012,PRI_PNA,MARIA GARCIA PEREZ,PRI_PVEM,,0.0513144215
22008,2015,PRI_PNA_PVEM,CELIA DURAN TERRAZAS,PAN_PRD,,0.1012394646
22008,2018,PAN_PRD,LETICIA SERVIN MOYA,PRI,CELIA  DURAN TERRAZAS,0.2303686446
22008,2021,PVEM,JUAN GUZMAN CABRERA,PAN,LETICIA SERVIN MOYA,0.0566249824
22009,1991,PRI,VICTOR MANUEL PEDRAZA RODRIGUEZ,PARM,,0.9432640672
22009,1994,PRI,RAUL PEREZ CABRERA,PAN,,0.8389440902
22009,1997,PRI,MARIO ULISES RAMIREZ ALTAMIRANO,PAN,,0.4525121015
22009,2000,PRI,LEODEGARIO RIOS ESQUIVEL,PAN,,0.2507200658
22009,2003,PRI,RIGOBERTO TORRES SAUCEDA,PAN,,0.0080315997
22009,2006,PAN,GUILLERMO ROCHA PEDRAZA,PRI,,0.091365227500000007
22009,2009,PAN,MIGUEL ANGEL TORRES OLGUIN,PRI_PVEM,,0.0513144215060152
22009,2012,PAN,SAUL GILDARDO TREJO ALTAMIRANO,PAN,,0.0655104319
22009,2015,PAN,LUZ SELENE SALAZAR PEREZ,PRI_PT,,0.086789795
22009,2018,PRI_PVEM,CELIA AMADOR ENRIQUEZ,PAN_PRD_MC,LIZ SELENE SALAZAR PEREZ,0.0573432022
22009,2021,INDEP,EFRAIN MUÑOZ COSME,PAN,MARITZA PEDRAZA MAR,0.1017005118
22010,1991,PRI,ALVARO ROBLES RUBIO,PRD,,0.7565613283
22010,1994,PRI,MAURO MARQUEZ GONZALEZ,PRD,,0.8236514523
22010,1997,PRI,J MERCED PONCE PONCE,PAN,,0.4113912232
22010,2000,PRI,ALVARO ROBLES RUBIO,PAN,,0.243234689
22010,2003,PRI_PVEM,J MERCED PONCE PONCE,PRD,,0.0377328451
22010,2006,PAN,NORBERTO JIMENEZ OTERO,PRI,,0.1572212066
22010,2009,PRI_PNA,GABINO LANDA RUBIO,PAN,,0.065510431870868
22010,2012,PRI_PNA,DOMINGO MAR BOCANEGRA,PAN,,0.2844334018
22010,2015,PAN,HONORINA MARY AMADOR COVARRUBIAS,PRI_PT,,0.0061081136
22010,2018,PAN_PRD_MC,MARINA PONCE CAMACHO,PRI_PVEM,EVA  MALDONADO HERNANDEZ,0.0616108996
22010,2021,PAN,MARINA PONCE CAMACHO,PRI,JHONATAN TREJO RAMIREZ,0.0556959466
22011,1991,PRI,JOSE LUIS ARAGON CHAVEZ,PFCRN,,0.6363705972
22011,1994,PRI,CEFERINO RAMIREZ OLVERA,PAN,,0.5516713447
22011,1997,PRI,JOSE GUTIERREZ LARA,PAN,,0.1585971156
22011,2000,PRI,JAVIER MARTINEZ GUTIERREZ,PARM,,0.095687276
22011,2003,PAN,JOSE GOMEZ GÜEMEZ,PRI_PVEM,,0.0890523547
22011,2006,PAN,ENRIQUE VEGA CARRILES,PRI_PVEM,,0.0634081902
22011,2009,PRI,MARTIN RUBEN GALICIA MEDINA,PAN,,0.284433401750027
22011,2012,PRI,ENRIQUE VEGA CARRILES,PRD,,0.0134264232
22011,2015,PRI_PNA_PVEM,MARIO CALZADA MERCADO,PAN,,0.0505849399
22011,2018,PAN,ENRIQUE VEGA CARRILES,PRI_PVEM,MARIO CALZADA MERCADO,0.0140512222
22011,2021,PAN,ENRIQUE VEGA CARRILES,PRI,MARIA GUADALUPE CARDENAS MOLINA,0.2652287637
22012,1991,PRI,SERGIO BARCENAS PEREZ,PAN,,0.6220733324
22012,1994,PRI,ALEJANDRO PIÑA SILVA,PAN,,0.2035839254
22012,1997,PRI,ALONSO LANDEROS TEJEDA,PAN,,0.0084989089
22012,2000,PAN,SALVADOR PIÑA PERRUSQUIA,PRI,,0.0214749789
22012,2003,PRI_PVEM,FRANCISCO JAVIER PERRUSQUIA NIEVES,PAN,,0.1846374807
22012,2006,PAN,EDGARDO PIÑA MANCILLA,PRD,,0.2111086621
22012,2009,PRI,ALONSO LANDEROS TEJEDA,PRD,,0.0134264232008593
22012,2012,PRI,GRACIELA JUAREZ MONTES,PAN,,0.1560340857
22012,2015,PRI_PNA_PVEM_PT,BEATRIZ MAGDALENA LEON SOTELO,PRD,,0.0418463012
22012,2018,PAN_PRD,ISIDRO AMARILDO BARCENAS RESENDIZ,PRI,ALONSO LANDEROS  TEJEIDA,0.1839385887
22012,2021,PAN,ISIDRO AMARILDO BARCENAS RESENDIZ,PRI,MARTIN FIGUEROA OLVERA,0.2767311072
22013,1991,PRI,RUPERTO ALVARADO GUDIÑO,PRD,,0.9663069808
22013,1994,PRI,ODILON HERNANDEZ GUERRERO,PRD,,0.8235718147
22013,1997,PRI,ANGEL ARIEL HERNANDEZ HURTADO,PRD,,0.4314351605
22013,2000,PRI,REGINA RAMIREZ TREJO,PRD,,0.14360398630000001
22013,2003,PRI_PVEM,RUPERTO ALVARADO GUDIÑO,PAN,,0.1742243437
22013,2006,PRI_PVEM,JOSE MANUEL GARCIA LEAL,PRD,,0.1816376413
22013,2009,PRI,ELEAZAR LANDEROS TEJEDA,PAN,,0.156034085674804
22013,2012,PRI_PVEM_PNA,ALDO GARCIA ROSALES,PAN,,0.0199171587
22013,2015,PAN,MARGARITA HERNANDEZ AGUILAR,PRI_PVEM,,0.0054498715
22013,2018,PNA,JUAN CARLOS LINARES AGUILAR,PRI,AGNOLI GARCIA ROSALES,0.0030959752
22013,2021,PAN,JUAN CARLOS LINARES AGUILAR,PVEM,AGNOLI GARCIA ROSALES,0.0926251504
22014,1991,PRI,ALFONSO BALLESTEROS NEGRETE,PAN,,0.3165202006
22014,1994,PRI,JESUS RODRIGUEZ HERNANDEZ,PAN,,0.2006898925
22014,1997,PAN,FRANCISCO GARRIDO PATRON,PRI,,0.2662794625
22014,2000,PAN,ROLANDO GARCIA ORTIZ,PRI,,0.2781332564
22014,2003,PAN,ARMANDO RIVERA CASTILLEJOS,PRI_PVEM,,0.1545627245
22014,2006,PAN,MANUEL GONZALEZ VALLE,PRI_PVEM,,0.3054346295
22014,2009,PRI_PVEM_PNA,FRANCISCO DOMINGUEZ SERVIEN,PAN,,0.0424466128953521
22014,2012,PRI_PNA,ROBERTO LOYOLA VERA,PAN,,0.0424466129
22014,2015,PAN,MARCOS AGUILAR VEGA,PRI_PNA_PVEM,,0.189649805
22014,2018,PAN_PRD_MC,LUIS BERNARDO NAVA GUERRERO,MORENA_PT_PES,JOSE ADOLFO RIOS GARCIA,0.0035239397
22014,2021,PAN_QI,LUIS BERNARDO NAVA GUERRERO,MORENA,ARTURO MAXIMILIANO GARCIA PEREZ,0.2106768477
22015,1991,PRI,J TIMOTEO MARTINEZ PEREZ,PFCRN,,0.9811653914
22015,1994,PRI,ELIAS LEDESMA GARCIA,PPS,,0.926597582
22015,1997,PRI,JOSE MARTINEZ RAMIREZ,PAN,,0.7015250545
22015,2000,PRI,J PASCUAL HERRERA LEDESMA,PAN,,0.4970367444
22015,2003,PRI_PVEM,JOSE MARTINEZ RAMIREZ,PAN,,0.4552469136
22015,2006,PRI_PVEM,J TIMOTEO MARTINEZ PEREZ,PAN,,0.1714876033
22015,2009,PRI_PNA,J BELEM LEDESMA LEDESMA,PAN,,0.17175572519084
22015,2012,PRI_PNA,J EZEQUIEL CASAS VEGA,PAN,,0.1717557252
22015,2015,PRI_PT,ANAYELY ALVAREZ SOTO,PAN,,0.0684364345
22015,2018,INDEP,J BELEM LEDESMA LEDESMA,PAN_PRD_MC,VANESA ALCANTARA  RESENDIZ,0.1109510086
22015,2021,PVEM,CARLOS MANUEL LEDESMA ROBLES,PAN_QI,MARIA GARDUÑO ERREGUIN,0.231294175
22016,1991,PAN,JESUS SALVADOR OLVERA PEREZ,PRI,,0.0016091444
22016,1994,PRI,FRANCISCO ERICK LAYSECA COELLAR,PAN,,0.0699570252
22016,1997,PAN,GILBERTO ARIEL CECILIO ORTEGA MEJIA ,PRI,,0.0823077182
22016,2000,PAN,ATILANO INZUNZA INZUNZA,PRI,,0.1697309252
22016,2003,PRI_PVEM,MARIA DE LOS ANGELES JACARANDA LOPEZ SALAS,PAN,,0.0674626767
22016,2006,PAN,JORGE RIVADENEYRA DIAZ,PRI_PVEM,,0.3726850418
22016,2009,PRI_PVEM_PNA,GUSTAVO NIETO CHAVEZ,PAN,,0.00897341323174244
22016,2012,PRI_PVEM_PNA,FABIAN PINEDA MORALES,PAN,,0.0089734132
22016,2015,PAN,GUILLERMO VEGA GUERRERO,PRI_PNA_PVEM,,0.0371354736
22016,2018,PAN,GUILLERMO VEGA GUERRERO,MORENA_PT_PES,JUAN ALVARADO NAVARRETE,0.1087586839
22016,2021,PAN,ROBERTO CARLOS CABRERA VALENCIA,MORENA,ROSA MARIA RIOS GARCIA,0.216927887
22017,1991,PRI,ORLANDO UGALDE CAMACHO,PAN,,0.6012680772
22017,1994,PRI,RODOLFO GONZALEZ OLLOQUI,PAN,,0.2177887331
22017,1997,PRI,ANTONIO MEJIA LIRA,PAN,,0.0880608705
22017,2000,PRI,ANDRES TREJO VALENCIA,PAN,,0.0135519653
22017,2003,PRD,GUILLERMO HERRERA TREJO,PAN,,0.0130475765
22017,2006,PRD,NOE ZARRAGA TREJO,PAN,,0.0180921758
22017,2009,PRI,RAUL ORIHUELA GONZALEZ,PAN,,0.305088625809405
22017,2012,PRI,LUIS ANTONIO MACIAS TREJO,PAN,,0.3050886258
22017,2015,PNA_PVEM,RAUL ORIHUELA GONZALEZ,PRI_PT,,0.1123463633
22017,2018,INDEP,JOSE ANTONIO MEJIA LIRA,MORENA,ISAAC  CASTRO SAHADE,0.0233428823
22017,2021,INDEP,JOSE ANTONIO MEJIA LIRA,PRI,LUIS ANTONIO MACIAS TREJO,0.0254203668
