ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PT_MORENA_ES,C_COMUN_PAN_PRD_MC_NA_PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,C_COMUN_PAN_PRD_MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,C_COMUN_PAN_MC_PCPP_PSI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,223,411,17240,,,6529,,4431,,,,,57948,65016,,,,,,151164,194,6901,158259,215383,
21,PUEBLA,18,CHOLULA DE RIVADAVIA,84,302,10268,,,4259,,4041,,,,,45595,59321,,,,,,123484,109,5186,128779,194178,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/18_CHOLULA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,116,312,13010,,,4761,,1484,,,,,34411,60861,,,,,,114527,86,4447,119060,194255,
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,69,270,12447,,,2436,,2400,,,,,17792,43145,,,,,,78220,482,3420,82122,176541,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/20_PUEBLA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,21,ATLIXCO,119,298,19593,,,9098,,2076,,,,,37282,41736,,,,,,109785,117,5403,115305,176367,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/21_ATLIXCO_ACTA_DE_COMPUTO_DISTRITAL_DIPUTACIONES_M_R_12.jpg
21,PUEBLA,22,IZUCAR DE MATAMOROS,141,335,26451,,,3824,,,,,,,,40392,48943,,,,,119610,21,6391,126022,182235,
21,PUEBLA,23,ACATLAN DE OSORIO,150,328,33209,5867,4702,3654,,2244,,,32557,940,,,,,,,29164,112337,54,7688,120079,171360,
21,PUEBLA,24,TEHUACAN,80,263,14689,,,7318,,4185,,,,,26982,51208,,,,,,104382,56,6586,111024,162957,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/24_TEHUACAN_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,25,TEHUACAN,81,268,11981,,,12521,,1795,,,,,22746,54699,,,,,,103742,91,5058,108891,168488,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/25_TEHUACAN_ACTA_DE_COMPUTO_DISTRITAL_DIPUTACIONES_M_R_12.jpg
21,PUEBLA,26,AJALPAN,106,284,31845,,3974,3641,,2869,,,32601,2443,41673,,,,,,,119046,59,7767,126872,161048,
