MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PC,PSN,PAS,El Barzon,Mexico Posible,PLM,FC,Nulos,No Registrados,PRD-PAS,PRD-PC,PRD-PVEM,PVEM-PAS,PRD-PVEM-PAS
EL GRULLO,557,0557 B,34,98,,11,1,0,1,,0,0,0,0,5,0,66,,,,
EL GRULLO,557,0557 C1,31,89,,6,0,0,0,,0,0,0,0,9,0,62,,,,
EL GRULLO,558,0558 B,61,111,,6,2,0,1,,0,0,0,0,5,0,73,,,,
EL GRULLO,558,0558 C1,49,121,,7,0,0,0,,0,0,0,0,8,0,82,,,,
EL GRULLO,558,0558 C2,33,137,,4,0,0,0,,0,0,0,0,8,0,89,,,,
EL GRULLO,559,0559 B,17,153,,1,3,1,0,,0,0,0,0,7,0,73,,,,
EL GRULLO,559,0559 C1,12,162,,2,1,0,0,,0,0,0,0,9,0,75,,,,
EL GRULLO,560,0560 B,6,73,,1,0,0,0,,0,0,0,0,6,0,106,,,,
,,,,,,,,,,,,,,,,,,,,,
PUERTO VALLARTA,1934,1934 B,78,62,,0,4,,0,0,0,1,0,0,3,0,,18,,,
PUERTO VALLARTA,1934,1934 C1,77,62,,1,0,,0,1,0,0,0,0,1,0,,26,,,
PUERTO VALLARTA,1935,1935 B,111,144,,1,6,,0,0,0,0,0,0,11,0,,10,,,
PUERTO VALLARTA,1935,1935 C1,129,182,,2,3,,0,1,0,0,0,0,10,0,,11,,,
PUERTO VALLARTA,1935,1935 C2,121,198,,0,3,,0,1,0,0,0,0,2,0,,6,,,
PUERTO VALLARTA,1935,1935 C3,120,153,,1,6,,0,0,0,0,0,0,7,0,,11,,,
PUERTO VALLARTA,1935,1935 C4,117,171,,0,10,,0,4,0,0,0,0,3,1,,4,,,
PUERTO VALLARTA,1935,1935 C5,124,149,,1,3,,0,0,0,0,0,0,9,1,,5,,,
PUERTO VALLARTA,1937,1937 B,101,131,,0,6,,0,0,0,0,0,0,2,0,,4,,,
PUERTO VALLARTA,1937,1937 C1,96,146,,0,2,,0,1,0,0,0,0,2,0,,3,,,
PUERTO VALLARTA,1937,1937 C2,79,173,,1,4,,0,1,0,0,0,0,2,0,,8,,,
PUERTO VALLARTA,1938,1938 B,155,192,,1,4,,0,3,1,0,0,0,5,0,,7,,,
PUERTO VALLARTA,1938,1938 C1,158,178,,0,2,,0,2,0,0,0,0,2,0,,9,,,
PUERTO VALLARTA,1938,1938 C2,132,190,,0,2,,0,0,0,0,0,0,3,0,,7,,,
PUERTO VALLARTA,1939,1939 B,109,182,,1,2,,0,0,0,0,0,0,4,0,,5,,,
PUERTO VALLARTA,1939,1939 C1,100,184,,0,0,,0,0,0,0,0,0,10,0,,17,,,
PUERTO VALLARTA,1940,1940 B,93,107,,0,1,,0,1,0,1,0,0,4,0,,9,,,
PUERTO VALLARTA,1941,1941 B,119,182,,1,6,,0,0,0,0,0,0,10,0,,13,,,
PUERTO VALLARTA,1941,1941 C1,127,167,,0,0,,0,1,0,0,0,0,7,0,,17,,,
PUERTO VALLARTA,1941,1941 C2,122,171,,1,3,,0,0,0,0,0,0,9,4,,12,,,
PUERTO VALLARTA,1941,1941 C3,127,160,,0,3,,1,1,0,0,0,1,5,5,,10,,,
PUERTO VALLARTA,1941,1941 C4,110,180,,1,5,,0,3,0,0,0,0,3,0,,11,,,
PUERTO VALLARTA,1942,1942 B,98,137,,0,0,,0,3,0,0,0,0,5,0,,2,,,
PUERTO VALLARTA,1942,1942 C1,101,138,,0,2,,0,1,0,0,0,0,4,0,,6,,,
PUERTO VALLARTA,1942,1942 C2,99,141,,0,1,,0,2,0,0,0,0,4,0,,7,,,
PUERTO VALLARTA,1942,1942 C3,104,150,,0,2,,0,3,0,0,0,0,6,0,,6,,,
PUERTO VALLARTA,1943,1943 B,152,163,,0,3,,0,2,0,0,0,0,1,0,,19,,,
PUERTO VALLARTA,1943,1943 C1,161,156,,0,0,,0,3,0,0,0,0,6,0,,16,,,
PUERTO VALLARTA,1943,1943 C2,140,156,,0,0,,0,5,0,0,0,0,7,0,,27,,,
PUERTO VALLARTA,1944,1944 B,81,180,,0,2,,0,0,0,0,0,0,1,0,,6,,,
PUERTO VALLARTA,1944,1944 C1,104,167,,0,1,,0,0,0,1,0,0,3,1,,2,,,
PUERTO VALLARTA,1944,1944 C2,92,169,,2,0,,0,1,0,0,0,0,4,0,,3,,,
PUERTO VALLARTA,1945,1945 B,116,182,,0,2,,0,2,0,0,0,1,3,0,,9,,,
PUERTO VALLARTA,1945,1945 C1,132,154,,0,1,,1,1,1,1,0,1,4,0,,8,,,
PUERTO VALLARTA,1945,1945 C2,138,198,,1,1,,0,0,0,0,0,0,4,2,,8,,,
PUERTO VALLARTA,1946,1946 B,112,155,,0,0,,0,0,0,0,0,0,8,1,,9,,,
PUERTO VALLARTA,1946,1946 C1,119,164,,0,4,,0,0,0,0,0,0,4,0,,11,,,
PUERTO VALLARTA,1946,1946 C2,125,154,,1,0,,0,0,0,0,0,0,0,0,,10,,,
PUERTO VALLARTA,1946,1946 C3,123,148,,1,1,,0,1,0,0,0,1,4,0,,7,,,
PUERTO VALLARTA,1947,1947 B,100,145,,0,0,,0,6,0,0,0,0,14,0,,1,,,
PUERTO VALLARTA,1947,1947 C1,141,157,,1,2,,0,2,0,0,0,0,1,1,,12,,,
PUERTO VALLARTA,1947,1947 C2,106,155,,2,1,,0,4,0,0,0,0,11,0,,4,,,
PUERTO VALLARTA,1948,1948 B,129,132,,3,5,,0,3,0,0,0,0,6,0,,13,,,
,,,,,,,,,,,,,,,,,,,,,
PUERTO VALLARTA,1948,1948 C1,104,154,,1,2,,0,0,0,0,0,0,5,0,,8,,,
PUERTO VALLARTA,1948,1948 C2,118,148,,2,3,,0,2,0,1,0,0,8,0,,5,,,
PUERTO VALLARTA,1948,1948 C3,121,151,,0,3,,0,1,0,0,0,0,7,0,,11,,,
PUERTO VALLARTA,1948,1948 C4,104,158,,0,3,,0,1,0,0,0,0,7,0,,13,,,
PUERTO VALLARTA,1948,1948 C5,141,158,,1,2,,0,0,0,0,0,0,2,0,,6,,,
PUERTO VALLARTA,1948,1948 C6,131,111,,0,3,,0,0,0,0,0,0,7,0,,13,,,
PUERTO VALLARTA,1949,1949 B,137,148,,3,1,,1,1,0,0,0,0,5,0,,5,,,
PUERTO VALLARTA,1949,1949 C1,142,160,,2,1,,0,0,0,0,0,0,8,0,,11,,,
PUERTO VALLARTA,1950,1950 B,127,199,,0,0,,0,3,0,0,0,0,9,0,,7,,,
PUERTO VALLARTA,1950,1950 C1,106,160,,2,1,,0,2,0,0,0,0,5,0,,6,,,
PUERTO VALLARTA,1950,1950 C2,115,192,,1,1,,0,1,0,0,0,1,8,0,,6,,,
PUERTO VALLARTA,1950,1950 C3,123,165,,3,3,,0,1,0,0,0,0,11,0,,4,,,
PUERTO VALLARTA,1951,1951 B,98,134,,1,2,,0,1,1,0,0,0,4,0,,9,,,
PUERTO VALLARTA,1951,1951 C1,92,137,,1,1,,0,1,0,0,1,0,9,0,,8,,,
PUERTO VALLARTA,1951,1951 C2,112,136,,0,3,,0,1,0,0,0,0,3,0,,7,,,
PUERTO VALLARTA,1952,1952 B,78,140,,1,1,,0,1,1,0,0,0,6,0,,2,,,
PUERTO VALLARTA,1952,1952 C1,91,167,,1,1,,0,1,0,1,0,0,8,0,,12,,,
PUERTO VALLARTA,1952,1952 C2,102,156,,0,4,,0,1,0,0,0,0,8,0,,8,,,
PUERTO VALLARTA,1953,1953 B,141,183,,0,2,,0,3,0,0,0,0,6,0,,7,,,
PUERTO VALLARTA,1953,1953 C1,144,173,,0,1,,0,3,0,0,0,0,4,0,,4,,,
PUERTO VALLARTA,1954,1954 B,192,193,,0,2,,1,1,0,0,0,0,4,3,,13,,,
PUERTO VALLARTA,1954,1954 C1,149,242,,0,0,,0,4,0,0,0,0,6,0,,14,,,
PUERTO VALLARTA,1955,1955 B,163,135,,0,1,,0,1,0,0,0,0,4,1,,12,,,
PUERTO VALLARTA,1955,1955 C1,131,157,,0,2,,0,3,0,1,0,0,5,0,,12,,,
PUERTO VALLARTA,1955,1955 C2,184,133,,0,0,,0,1,0,0,0,0,8,0,,15,,,
PUERTO VALLARTA,1956,1956 B,113,143,,0,1,,0,2,0,0,0,0,1,0,,19,,,
PUERTO VALLARTA,1956,1956 C1,116,130,,1,1,,0,2,0,0,0,0,9,1,,6,,,
PUERTO VALLARTA,1956,1956 C2,133,120,,1,2,,0,0,0,0,0,0,3,0,,7,,,
PUERTO VALLARTA,1957,1957 B,147,161,,0,0,,0,0,0,0,0,0,2,3,,14,,,
PUERTO VALLARTA,1957,1957 C1,130,167,,0,1,,0,0,0,0,0,0,1,2,,11,,,
PUERTO VALLARTA,1957,1957 C2,126,185,,0,0,,0,2,0,0,0,0,10,3,,6,,,
PUERTO VALLARTA,1958,1958 B,109,244,,0,0,,0,4,0,0,0,0,8,0,,15,,,
PUERTO VALLARTA,1958,1958 C1,122,226,,0,4,,0,0,0,0,0,0,4,0,,11,,,
PUERTO VALLARTA,1958,1958 C2,106,235,,1,3,,0,0,0,0,0,0,3,0,,8,,,
PUERTO VALLARTA,1958,1958 C3,121,222,,0,0,,0,0,0,0,0,0,12,0,,8,,,
PUERTO VALLARTA,1958,1958 C4,123,232,,2,2,,0,0,0,0,0,0,5,0,,7,,,
PUERTO VALLARTA,1959,1959 B,132,150,,2,0,,0,1,0,0,0,0,2,0,,20,,,
PUERTO VALLARTA,1959,1959 C1,114,146,,1,3,,0,1,0,0,0,0,5,1,,13,,,
PUERTO VALLARTA,1959,1959 C2,118,134,,1,2,,0,2,0,1,0,0,4,0,,15,,,
PUERTO VALLARTA,1959,1959 C3,121,130,,0,1,,0,1,0,0,0,0,1,0,,12,,,
PUERTO VALLARTA,1960,1960 B,134,155,,0,0,,0,2,0,0,0,0,5,0,,12,,,
PUERTO VALLARTA,1960,1960 C1,146,173,,0,1,,0,0,0,0,0,0,4,0,,11,,,
PUERTO VALLARTA,1960,1960 C2,114,190,,0,0,,0,0,0,0,0,0,10,0,,11,,,
,,,,,,,,,,,,,,,,,,,,,
PUERTO VALLARTA,1961,1961 B,99,126,,0,1,,0,1,0,0,0,0,3,0,,7,,,
PUERTO VALLARTA,1961,1961 C1,98,125,,0,1,,0,2,0,0,0,0,3,0,,2,,,
PUERTO VALLARTA,1962,1962 B,171,212,,0,4,,0,3,0,0,0,0,10,0,,4,,,
PUERTO VALLARTA,1962,1962 C1,139,235,,0,2,,0,0,0,2,0,0,10,0,,14,,,
PUERTO VALLARTA,1963,1963 B,114,153,,1,0,,0,5,0,1,0,0,2,0,,25,,,
PUERTO VALLARTA,1963,1963 C1,111,142,,0,2,,0,1,0,0,1,0,3,0,,16,,,
PUERTO VALLARTA,1964,1964 B,111,202,,1,4,,0,2,0,0,0,0,7,0,,3,,,
PUERTO VALLARTA,1964,1964 C1,113,165,,0,8,,0,0,0,0,0,0,6,0,,24,,,
PUERTO VALLARTA,1964,1964 C2,99,233,,1,2,,0,3,0,0,0,0,2,0,,5,,,
PUERTO VALLARTA,1965,1965 B,136,135,,0,1,,1,0,0,1,0,0,1,3,,15,,,
PUERTO VALLARTA,1965,1965 C1,119,137,,0,4,,0,2,0,0,0,0,4,0,,7,,,
PUERTO VALLARTA,1965,1965 C2,117,141,,0,0,,0,0,0,0,0,0,16,0,,15,,,
PUERTO VALLARTA,1966,1966 B,71,107,,0,2,,0,0,0,0,1,0,0,0,,7,,,
PUERTO VALLARTA,1966,1966 C1,85,112,,1,0,,0,0,0,1,0,0,1,0,,7,,,
PUERTO VALLARTA,1967,1967 B,117,202,,0,4,,0,1,0,0,0,0,5,0,,7,,,
PUERTO VALLARTA,1967,1967 C1,86,206,,1,3,,1,0,1,0,0,0,3,1,,8,,,
PUERTO VALLARTA,1967,1967 C2,106,187,,1,0,,0,0,0,0,0,0,4,0,,3,,,
PUERTO VALLARTA,1967,1967 C3,98,199,,2,2,,0,1,0,1,0,0,4,0,,7,,,
PUERTO VALLARTA,1967,1967 C4,111,175,,2,5,,0,0,0,0,0,0,11,0,,4,,,
PUERTO VALLARTA,1967,1967 C5,105,189,,0,0,,0,0,1,0,0,0,6,0,,7,,,
PUERTO VALLARTA,1968,1968 B,113,204,,2,1,,0,1,0,0,0,0,7,0,,3,,,
PUERTO VALLARTA,1968,1968 C1,94,209,,0,2,,0,1,0,0,0,0,4,0,,9,,,
PUERTO VALLARTA,1968,1968 C2,94,198,,0,2,,0,2,0,0,0,0,6,0,,6,,,
PUERTO VALLARTA,1969,1969 B,91,175,,2,2,,0,1,0,0,0,0,13,0,,10,,,
PUERTO VALLARTA,1969,1969 C1,89,147,,0,2,,1,0,0,1,0,0,6,0,,13,,,
PUERTO VALLARTA,1969,1969 C2,109,153,,0,1,,0,2,0,0,0,0,6,0,,7,,,
PUERTO VALLARTA,1969,1969 C3,69,191,,1,3,,0,1,0,0,0,0,4,0,,7,,,
PUERTO VALLARTA,1970,1970 B,103,165,,0,0,,0,1,0,0,0,0,9,0,,5,,,
PUERTO VALLARTA,1970,1970 C1,132,157,,1,0,,0,2,0,0,0,0,7,0,,6,,,
PUERTO VALLARTA,1971,1971 B,106,214,,1,0,,0,1,0,0,0,0,4,0,,9,,,
PUERTO VALLARTA,1971,1971 C1,138,183,,0,0,,0,0,0,0,0,0,7,0,,10,,,
PUERTO VALLARTA,1971,1971 C2,115,174,,0,1,,0,1,0,1,0,0,4,0,,12,,,
PUERTO VALLARTA,1972,1972 B,110,184,,0,2,,0,3,0,0,0,0,3,0,,3,,,
PUERTO VALLARTA,1972,1972 C1,97,206,,0,1,,0,0,0,0,0,0,4,0,,6,,,
PUERTO VALLARTA,1972,1972 C2,104,221,,1,2,,0,0,0,0,0,0,12,0,,5,,,
PUERTO VALLARTA,1973,1973 B,138,228,,0,0,,0,1,0,0,0,0,5,0,,8,,,
PUERTO VALLARTA,1973,1973 C1,99,249,,0,1,,1,0,0,0,0,0,3,0,,8,,,
PUERTO VALLARTA,1973,1973 C2,136,213,,0,0,,0,3,0,0,0,0,4,0,,10,,,
PUERTO VALLARTA,1974,1974 B,93,179,,0,0,,0,1,0,0,0,0,11,0,,3,,,
PUERTO VALLARTA,1974,1974 C1,84,162,,0,1,,0,2,0,0,0,0,1,0,,4,,,
PUERTO VALLARTA,1975,1975 B,122,214,,1,2,,0,0,0,0,0,0,2,0,,3,,,
PUERTO VALLARTA,1975,1975 C1,134,181,,0,0,,0,1,0,0,1,0,0,0,,6,,,
PUERTO VALLARTA,1976,1976 B1,97,146,,0,1,,0,1,0,0,0,0,2,0,,12,,,
,,,,,,,,,,,,,,,,,,,,,
PUERTO VALLARTA,1976,1976 C1,108,154,,1,1,,0,0,0,0,0,0,4,0,,4,,,
PUERTO VALLARTA,1977,1977 B,92,176,,1,1,,0,1,0,0,0,0,5,0,,4,,,
PUERTO VALLARTA,1977,1977 C1,103,174,,2,3,,0,0,0,0,0,0,7,0,,2,,,
PUERTO VALLARTA,1978,1978 B,122,185,,1,1,,0,3,0,0,0,0,5,0,,9,,,
PUERTO VALLARTA,1978,1978 C1,115,200,,1,3,,0,0,0,0,0,1,7,0,,9,,,
PUERTO VALLARTA,1979,1979 B,103,128,,1,1,,0,1,0,0,0,0,3,0,,7,,,
PUERTO VALLARTA,1979,1979 C1,93,116,,0,1,,0,1,0,0,0,0,3,0,,7,,,
PUERTO VALLARTA,1980,1980 B,100,136,,0,0,,0,0,0,0,0,0,0,2,,11,,,
PUERTO VALLARTA,1980,1980 C1,104,123,,0,2,,0,1,0,0,0,0,4,1,,9,,,
PUERTO VALLARTA,1981,1981 B,111,206,,0,0,,0,0,0,0,0,0,4,0,,7,,,
PUERTO VALLARTA,1981,1981 C1,110,197,,0,5,,0,1,0,0,0,0,5,0,,12,,,
PUERTO VALLARTA,1982,1982 B,97,163,,1,3,,0,1,0,1,0,0,6,0,,8,,,
PUERTO VALLARTA,1982,1982 C1,107,159,,0,1,,0,0,0,2,0,0,3,0,,11,,,
PUERTO VALLARTA,1983,1983 B,130,144,,0,0,,0,1,0,0,0,0,4,0,,5,,,
PUERTO VALLARTA,1983,1983 C1,115,169,,3,1,,0,0,0,0,0,0,6,0,,7,,,
PUERTO VALLARTA,1983,1983 C2,123,146,,0,3,,0,1,0,0,0,0,11,0,,5,,,
PUERTO VALLARTA,1983,1983 C3,109,142,,1,3,,0,1,0,0,0,0,8,0,,7,,,
PUERTO VALLARTA,1984,1984 B,105,197,,0,0,,0,0,0,0,0,0,7,0,,4,,,
PUERTO VALLARTA,1984,1984 C1,135,196,,1,1,,0,0,0,0,1,0,16,0,,7,,,
PUERTO VALLARTA,1985,1985 B,99,167,,1,1,,0,2,0,0,0,0,4,0,,6,,,
PUERTO VALLARTA,1985,1985 C1,111,174,,0,2,,0,2,0,0,0,0,11,0,,4,,,
PUERTO VALLARTA,1985,1985 C2,112,182,,0,2,,0,0,0,0,0,0,3,0,,11,,,
PUERTO VALLARTA,1986,1986 B,152,271,,0,4,,0,0,0,0,0,0,4,1,,7,,,
PUERTO VALLARTA,1986,1986 C1,169,249,,0,0,,0,2,0,0,0,0,11,0,,11,,,
PUERTO VALLARTA,1987,1987 B,94,91,,0,1,,0,1,0,0,0,0,2,0,,8,,,
PUERTO VALLARTA,1987,1987 C1,73,94,,0,0,,0,1,0,0,0,0,2,0,,9,,,
PUERTO VALLARTA,1988,1988 B,142,147,,1,2,,0,1,0,0,1,0,4,0,,6,,,
PUERTO VALLARTA,1988,1988 C1,120,178,,0,2,,0,0,0,1,0,1,1,1,,8,,,
PUERTO VALLARTA,1988,1988 C2,139,157,,0,5,,0,2,0,0,0,0,5,0,,5,,,
PUERTO VALLARTA,1989,1989 B,89,151,,1,1,,0,0,0,0,0,0,4,0,,3,,,
PUERTO VALLARTA,1989,1989 C1,90,158,,2,0,,1,0,0,0,0,0,10,0,,4,,,
PUERTO VALLARTA,1989,1989 C2,88,168,,2,4,,1,0,0,0,0,0,3,0,,6,,,
PUERTO VALLARTA,1990,1990 B,66,79,,0,0,,0,1,0,0,0,0,15,0,,14,,,
PUERTO VALLARTA,1990,1990 C1,88,80,,1,1,,0,1,0,0,0,0,3,0,,10,,,
PUERTO VALLARTA,1991,1991 B,86,197,,2,2,,1,0,0,0,0,0,5,0,,4,,,
PUERTO VALLARTA,1991,1991 C1,104,153,,2,1,,0,0,0,0,0,0,6,1,,1,,,
PUERTO VALLARTA,1991,1991 El,87,130,,1,1,,0,1,1,0,0,0,6,0,,1,,,
PUERTO VALLARTA,1992,1992 B,107,153,,1,1,,0,0,0,0,0,0,2,0,,4,,,
PUERTO VALLARTA,1992,1992 El,36,51,,0,1,,0,1,0,0,0,0,5,0,,0,,,
PUERTO VALLARTA,1993,1993 B,137,279,,3,9,,0,1,0,0,0,0,10,0,,2,,,
PUERTO VALLARTA,1993,1993 C1,164,259,,1,1,,0,0,0,0,0,0,3,0,,7,,,
PUERTO VALLARTA,1994,1994 B,105,109,,0,1,,0,2,0,0,0,0,4,0,,5,,,
PUERTO VALLARTA,1994,1994 C1,96,105,,1,5,,0,0,0,1,0,1,3,0,,18,,,
,,,,,,,,,,,,,,,,,,,,,
PUERTO VALLARTA,1995,1995 B,129,252,,0,4,,0,0,0,0,0,0,2,0,,7,,,
PUERTO VALLARTA,1995,1995 C1,124,254,,0,4,,0,3,0,0,0,0,4,0,,6,,,
PUERTO VALLARTA,1996,1996 B,108,200,,0,4,,0,4,0,0,0,0,3,0,,4,,,
PUERTO VALLARTA,1996,1996 C1,125,203,,0,3,,0,1,0,0,0,0,9,0,,9,,,
PUERTO VALLARTA,1996,1996 C2,133,166,,1,4,,0,0,0,0,0,0,7,0,,9,,,
PUERTO VALLARTA,1996,1996 C3,113,190,,0,3,,0,0,0,0,0,0,4,0,,9,,,
PUERTO VALLARTA,1996,1996 C4,118,206,,3,3,,0,0,0,0,0,0,1,0,,12,,,
PUERTO VALLARTA,1997,1997 B,108,230,,0,2,,0,1,0,1,0,0,5,0,,12,,,
PUERTO VALLARTA,1997,1997 C1,121,259,,4,3,,0,3,0,0,0,0,3,0,,8,,,
PUERTO VALLARTA,1997,1997 C2,126,227,,1,4,,0,2,0,0,0,0,10,0,,7,,,
PUERTO VALLARTA,1998,1998 B,147,140,,0,5,,0,0,0,0,0,0,13,0,,15,,,
PUERTO VALLARTA,1998,1998 El,117,139,,1,3,,0,1,0,0,0,0,5,0,,4,,,
PUERTO VALLARTA,1998,1998 C1,136,174,,0,3,,0,4,0,1,0,0,7,1,,13,,,
PUERTO VALLARTA,1998,1998 C2,142,183,,0,7,,0,1,0,1,0,1,2,0,,21,,,
PUERTO VALLARTA,1998,1998 C3,140,152,,0,8,,0,0,2,0,0,1,7,0,,7,,,
PUERTO VALLARTA,1998,1998 E1C1,120,129,,0,3,,0,0,0,0,0,0,5,0,,2,,,
PUERTO VALLARTA,1999,1999 B,133,192,,0,0,,0,1,0,0,0,1,5,0,,7,,,
PUERTO VALLARTA,1999,1999 C1,132,220,,0,0,,0,1,0,0,0,0,5,0,,7,,,
PUERTO VALLARTA,1999,1999 C2,114,195,,0,1,,0,0,1,0,0,0,5,0,,2,,,
PUERTO VALLARTA,2000,2000 B,111,189,,1,1,,0,0,0,0,0,0,6,3,,6,,,
PUERTO VALLARTA,2000,2000 C1,128,177,,1,0,,0,1,0,0,1,0,2,0,,8,,,
PUERTO VALLARTA,2000,2000 C2,106,203,,2,1,,0,0,0,1,0,0,8,0,,0,,,
PUERTO VALLARTA,2001,2001 B,94,104,,0,2,,1,1,0,0,1,0,29,0,,3,,,
PUERTO VALLARTA,2001,2001 C1,111,117,,4,2,,0,0,0,0,0,0,7,0,,5,,,
PUERTO VALLARTA,2002,2002 B,124,156,,1,5,,0,2,0,0,0,0,5,0,,3,,,
PUERTO VALLARTA,2002,2002 E1,54,49,,1,0,,0,0,0,1,0,0,4,0,,0,,,
,,,,,,,,,,,,,,,,,,,,,
TAMAZULA DE GORDIANO,2223,2223 B,157,158,,2,,0,0,0,0,3,0,0,12,0,,,101,,
TAMAZULA DE GORDIANO,2223,2223 Cl,181,198,,3,,0,0,0,0,1,0,0,2,0,,,89,,
TAMAZULA DE GORDIANO,2224,2224 B,72,114,,4,,0,0,0,0,1,0,0,3,0,,,58,,
TAMAZULA DE GORDIANO,2224,2224 Cl,60,114,,2,,1,0,0,0,3,0,0,8,1,,,69,,
TAMAZULA DE GORDIANO,2225,2225 B,108,155,,3,,0,0,2,0,1,0,1,3,0,,,90,,
TAMAZULA DE GORDIANO,2226,2226 B,120,120,,3,,0,0,0,0,2,0,0,11,0,,,63,,
TAMAZULA DE GORDIANO,2226,2226 Cl,108,109,,2,,0,0,0,0,0,0,0,7,0,,,63,,
TAMAZULA DE GORDIANO,2227,2227 B,121,124,,3,,0,0,2,1,0,0,0,8,0,,,59,,
TAMAZULA DE GORDIANO,2227,2227 Cl,101,102,,3,,0,0,0,1,0,1,0,12,2,,,73,,
TAMAZULA DE GORDIANO,2228,2228 B,122,103,,0,,0,0,0,0,0,0,0,7,1,,,78,,
TAMAZULA DE GORDIANO,2228,2228 Cl,123,109,,1,,0,0,0,0,0,0,0,7,0,,,70,,
TAMAZULA DE GORDIANO,2229,2229 B,91,94,,0,,0,3,0,0,0,0,0,6,0,,,34,,
TAMAZULA DE GORDIANO,2229,2229 Cl,110,70,,0,,0,0,0,0,0,0,0,5,0,,,39,,
TAMAZULA DE GORDIANO,2230,2230 B,185,155,,6,,3,0,0,1,0,0,0,9,0,,,82,,
TAMAZULA DE GORDIANO,2231,2231 B,102,60,,4,,0,0,0,1,1,0,0,6,0,,,45,,
TAMAZULA DE GORDIANO,2231,2231 Cl,112,58,,3,,1,0,0,0,1,0,0,3,0,,,52,,
TAMAZULA DE GORDIANO,2232,2232 B,118,89,,6,,0,0,0,0,3,0,0,9,0,,,35,,
TAMAZULA DE GORDIANO,2232,2232 Cl,103,108,,4,,0,1,0,0,2,0,0,9,0,,,38,,
TAMAZULA DE GORDIANO,2233,2233 B,178,112,,6,,0,0,0,1,0,1,0,22,0,,,44,,
TAMAZULA DE GORDIANO,2234,2234 B,132,87,,0,,0,0,0,0,1,0,0,12,0,,,68,,
TAMAZULA DE GORDIANO,2234,2234 Cl,142,86,,2,,0,0,0,0,0,0,0,14,0,,,60,,
TAMAZULA DE GORDIANO,2234,2234 C2,125,88,,2,,0,0,1,0,0,0,0,14,0,,,64,,
TAMAZULA DE GORDIANO,2235,2235 B,104,88,,2,,0,0,0,0,0,0,0,10,0,,,47,,
TAMAZULA DE GORDIANO,2235,2235 Cl,105,88,,1,,0,0,0,0,0,0,0,3,0,,,55,,
TAMAZULA DE GORDIANO,2236,2236 B,82,38,,3,,0,0,0,0,3,0,0,23,0,,,83,,
TAMAZULA DE GORDIANO,2236,2236 Cl,69,49,,0,,0,0,0,0,0,0,0,25,0,,,100,,
TAMAZULA DE GORDIANO,2237,2237 B,75,53,,5,,0,0,1,0,0,0,0,9,0,,,67,,
TAMAZULA DE GORDIANO,2237,2237 Cl,98,63,,2,,0,0,0,0,0,2,0,16,1,,,56,,
TAMAZULA DE GORDIANO,2237,2237 El,35,150,,7,,0,0,0,0,7,0,0,9,0,,,31,,
TAMAZULA DE GORDIANO,2238,2238 B,59,180,,4,,0,0,0,0,0,0,0,10,0,,,68,,
TAMAZULA DE GORDIANO,2238,2238 Cl,60,152,,3,,0,0,1,0,0,0,1,4,0,,,73,,
TAMAZULA DE GORDIANO,2238,2238 C2,89,126,,4,,0,0,1,0,0,0,2,10,0,,,67,,
