ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PAN_NA,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,63,SAMAHIL,3,7,105,1078,1295,4,,4,713,,,,,4,,,3,1,1,,4,1,,,,,,256,,3469,0,96,3565,3977,
31,YUCATAN,64,SANAHCAT,1,2,584,706,,0,,3,0,,,,,1,,,1,0,0,0,,,,,,,,,,1295,0,9,1304,1377,
31,YUCATAN,65,SAN FELIPE,2,3,761,860,,1,,,2,,,,,3,,,2,7,1,0,4,2,,1,,,,,,1644,0,24,1668,1756,
31,YUCATAN,66,SANTA ELENA,3,6,57,1649,,,11,748,,27,2,,,2,,,3,9,,,10,4,0,7,,,,,,2529,0,43,2572,2959,
31,YUCATAN,67,SEYE,5,13,2318,810,1144,902,12,13,153,588,84,,,10,,,6,18,1,,24,7,,10,,,,,,6100,2,141,6243,7309,
31,YUCATAN,68,SINANCHE,3,5,1048,1036,1,27,8,,1,37,0,,,1,,,5,1,0,8,2,1,0,2,,,,,,2178,0,67,2245,2533,
31,YUCATAN,69,SOTUTA,7,11,636,2192,1025,1,33,0,15,120,5,,92,,,,,,9,,1,1,0,1,,,,,,4131,0,73,4204,6002,
31,YUCATAN,70,SUCILA,2,5,1127,1269,,,,4,1,,,,,9,,,,,3,,,,,,,,,,253,2666,0,20,2686,3008,
31,YUCATAN,71,SUDZAL,2,3,20,618,,198,7,459,,48,4,,,2,,,4,7,,,9,4,1,0,,,,,,1381,0,40,1421,1555,
31,YUCATAN,72,SUMA,2,4,16,794,3,511,3,2,7,77,1,,,1,,,,5,,,2,2,0,0,,,,,,1424,0,37,1461,1705,
31,YUCATAN,73,TAHDZIU,1,4,139,1486,1152,,0,,,8,0,,,4,,,2,10,1,,3,1,0,1,,,,,,2807,0,61,2868,2960,
31,YUCATAN,74,TAHMEK,2,5,815,62,,621,8,576,276,431,3,,,7,,,4,8,,,2,4,0,4,,,,,,2821,1,73,2895,3092,
31,YUCATAN,75,TEABO,2,7,983,1682,,1414,6,3,7,16,0,,,0,,,4,12,0,,9,5,1,3,,,,,,4145,0,76,4221,4660,
31,YUCATAN,76,TECOH,10,22,5091,4194,18,149,29,41,235,272,9,,,13,,,7,36,2,1,30,8,0,10,,,,,,10145,2,255,10402,12414,
31,YUCATAN,77,TEKAL DE VENEGAS,2,4,1092,185,1,648,,2,1,,,,,5,,,4,,0,,7,4,1,3,,,,,,1953,0,52,2005,2282,
31,YUCATAN,78,TEKANTO,6,8,932,1631,,7,3,5,2,70,4,,,2,,,1,13,1,0,22,5,1,4,,,,,,2703,0,107,2810,3056,
31,YUCATAN,79,TEKAX,20,52,5506,6984,4307,3063,126,130,134,1065,31,0,4,49,4,,37,62,16,,80,38,5,22,,,,,,21663,459,601,22723,29361,
31,YUCATAN,80,TEKIT,4,13,2731,1633,4,12,6,,2499,56,4,,,8,5,,11,12,1,,9,6,0,2,,,,,,6999,0,121,7120,7763,
31,YUCATAN,81,TEKOM,4,6,999,1475,2,,0,1,,17,0,0,0,4,0,,2,6,1,,4,1,0,0,,,,,,2512,0,47,2559,2680,
31,YUCATAN,82,TELCHAC PUEBLO,4,5,655,1585,1,9,2,25,4,75,1,,,6,,,1,3,0,,3,1,0,2,,,,,,2373,0,35,2408,2872,
31,YUCATAN,83,TELCHAC PUERTO,2,4,482,783,,,28,1,223,26,3,,,8,,,1,6,,2,4,2,1,3,,,,,,1573,0,36,1609,1806,
31,YUCATAN,84,TEMAX,6,11,2906,1376,14,2,9,,95,125,5,,,13,3,,9,2,1,,18,6,0,2,,,,,,4586,1,116,4703,5345,
31,YUCATAN,85,TEMOZON,8,20,2184,2553,50,990,136,,107,3229,86,,,13,4,0,16,11,3,,14,6,0,7,,,,,,9409,1,169,9579,10746,
31,YUCATAN,86,TEPAKAN,3,4,9,228,1041,532,,30,0,,,,,5,,,3,10,0,,2,1,,5,,,,,,1866,0,38,1904,2081,
31,YUCATAN,87,TETIZ,2,6,352,1308,1363,,6,8,3,117,2,,,5,,,5,6,1,,4,4,0,15,,,,,,3199,0,81,3280,3761,
31,YUCATAN,88,TEYA,2,3,29,714,87,,0,487,11,18,0,,,1,0,,,2,,,2,2,0,0,,,,,,1353,2,59,1414,1616,
31,YUCATAN,89,TICUL,16,47,10115,8007,334,1030,82,122,55,1176,40,,32,55,,,14,27,1,3,69,18,0,17,,,,,,21197,9,511,21717,27919,
31,YUCATAN,90,TIMUCUY,3,9,1353,1556,77,4,2,1034,625,15,4,,8,7,,,8,7,1,,15,5,3,2,,,,,,4726,0,102,4828,5190,
31,YUCATAN,91,TINUM,7,16,1893,1953,18,168,11,26,2594,253,6,0,13,18,0,,21,14,2,,24,4,2,3,,,,,,7023,2,181,7206,8316,
31,YUCATAN,92,TIXCACALCUPUL,4,8,122,2399,,,46,40,,1190,51,,4,6,,,4,7,1,,4,4,0,5,,,,,,3883,0,73,3956,4576,
31,YUCATAN,93,TIXKOKOB,10,23,3334,3665,29,2232,35,31,338,830,22,,18,29,,,7,26,2,,23,6,4,12,,,,,,10643,3,251,10897,13450,
31,YUCATAN,94,TIXMEHUAC,4,7,22,2078,1419,,3,,1,4,0,,5,4,,,5,3,0,,13,4,1,4,,,,,,3566,1,75,3642,3795,
31,YUCATAN,95,TIXPEUAL,6,9,569,1619,1228,,24,7,50,183,15,,18,4,,,5,5,0,,8,4,1,7,,,,,,3747,0,128,3875,4378,
31,YUCATAN,96,TIZIMIN,41,92,5619,14691,265,166,589,436,2474,10546,157,,23,104,,,61,82,11,18,143,71,13,59,,,,,,35528,4,1141,36673,52608,
31,YUCATAN,97,TUNKAS,4,7,536,617,11,75,0,737,1,16,0,,,6,,,5,4,0,1,9,1,1,2,,,,,,2022,0,59,2081,2804,
31,YUCATAN,98,TZUCACAB,8,17,1078,1637,2966,385,26,11,987,766,21,,,30,,,6,10,1,6,19,18,1,6,,,,,,7974,0,161,8135,9866,
31,YUCATAN,99,UAYMA,3,5,569,938,876,1,8,8,0,183,1,,,7,,,2,8,0,6,15,5,0,2,,,,,,2629,1,76,2706,2771,
31,YUCATAN,100,UCU,2,4,47,676,2,582,7,7,734,82,3,0,0,3,0,,,2,,,1,0,0,4,,,,,,2150,0,123,2273,2769,
31,YUCATAN,101,UMAN,20,66,9102,8982,253,3615,324,,1836,3159,172,,0,83,,,50,55,11,15,115,28,8,35,,,,,,27843,7,724,28574,40503,
31,YUCATAN,102,VALLADOLID,33,86,6539,7667,1116,8482,400,411,137,12377,194,,,111,,,58,93,11,12,192,47,11,30,,,,,,37888,9,974,38871,53150,
31,YUCATAN,103,XOCCHEL,2,5,737,653,761,13,0,3,9,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,2194,0,51,2245,2590,
31,YUCATAN,104,YAXCABA,11,19,3448,4562,30,,0,0,,106,0,,,26,,,11,34,2,,292,8,0,6,,,,,,8525,0,221,8746,10233,
31,YUCATAN,105,YAXKUKUL,1,4,46,794,2,0,1,3,869,26,382,0,0,4,0,,11,6,1,1,2,0,,,,,,,,2148,0,40,2188,2442,
31,YUCATAN,106,YOBAIN,3,4,548,439,261,9,5,29,6,14,0,,,,,12,,3,,1,6,1,0,0,,,,,,1334,0,53,1387,2030,
