DISTRITO,MUNICIPIO,DTO_R,CAB_R,MUNI_R,SECCION,CASILLA,PAN,FIDE,PRD,PRV,NO_REG,NULOS
ACAYUCAN,ACAYUCAN,26,0,3,25,C,55,65,31,132,0,8
ACAYUCAN,ACAYUCAN,26,0,3,25,C2,98,55,15,126,0,2
ACAYUCAN,ACAYUCAN,26,0,3,26,B,91,73,17,134,1,13
ACAYUCAN,ACAYUCAN,26,0,3,26,C,114,58,17,137,0,12
ACAYUCAN,ACAYUCAN,26,0,3,27,B,88,49,15,141,0,13
ACAYUCAN,ACAYUCAN,26,0,3,27,C,88,45,10,143,0,11
ACAYUCAN,ACAYUCAN,26,0,3,27,C2,87,57,17,134,0,7
ACAYUCAN,ACAYUCAN,26,0,3,28,B,175,70,22,94,0,8
ACAYUCAN,ACAYUCAN,26,0,3,28,C,139,79,9,113,0,8
ACAYUCAN,ACAYUCAN,26,0,3,29,B,143,75,27,114,0,14
ACAYUCAN,ACAYUCAN,26,0,3,29,C,129,73,17,116,0,24
ACAYUCAN,ACAYUCAN,26,0,3,30,B,124,48,15,56,0,16
ACAYUCAN,ACAYUCAN,26,0,3,30,C,134,45,20,62,0,8
ACAYUCAN,ACAYUCAN,26,0,3,30,C2,107,49,22,63,0,13
ACAYUCAN,ACAYUCAN,26,0,3,31,B,130,76,18,109,0,9
ACAYUCAN,ACAYUCAN,26,0,3,31,C,0,0,0,0,0,0
ACAYUCAN,ACAYUCAN,26,0,3,32,B,187,46,17,116,0,27
ACAYUCAN,ACAYUCAN,26,0,3,32,C,169,40,14,141,0,31
ACAYUCAN,ACAYUCAN,26,0,3,33,B,130,48,6,68,14,14
ACAYUCAN,ACAYUCAN,26,0,3,33,C,107,59,4,46,0,11
ACAYUCAN,ACAYUCAN,26,0,3,34,B,171,143,9,51,0,19
ACAYUCAN,ACAYUCAN,26,0,3,34,C,187,147,17,39,0,15
ACAYUCAN,ACAYUCAN,26,0,3,35,B,107,164,2,50,0,10
ACAYUCAN,ACAYUCAN,26,0,3,35,C,130,163,4,31,0,15
ACAYUCAN,ACAYUCAN,26,0,3,36,B,163,145,11,35,0,12
ACAYUCAN,ACAYUCAN,26,0,3,36,C,180,95,6,36,0,8
ACAYUCAN,ACAYUCAN,26,0,3,36,C2,0,0,0,0,0,0
ACAYUCAN,ACAYUCAN,26,0,3,37,B,126,69,12,47,0,17
ACAYUCAN,ACAYUCAN,26,0,3,37,C,170,67,21,29,0,13
ACAYUCAN,ACAYUCAN,26,0,3,37,C2,158,69,10,29,0,21
ACAYUCAN,ACAYUCAN,26,0,3,38,B,156,90,27,85,0,0
ACAYUCAN,ACAYUCAN,26,0,3,38,C,145,105,24,67,0,25
ACAYUCAN,ACAYUCAN,26,0,3,39,B,172,141,43,73,0,39
ACAYUCAN,ACAYUCAN,26,0,3,39,C,214,149,35,65,0,0
ACAYUCAN,ACAYUCAN,26,0,3,40,B,230,135,34,26,0,26
ACAYUCAN,ACAYUCAN,26,0,3,41,B,179,61,21,28,0,17
ACAYUCAN,ACAYUCAN,26,0,3,41,C,179,47,14,26,0,0
ACAYUCAN,ACAYUCAN,26,0,3,42,B,135,113,10,46,0,22
ACAYUCAN,ACAYUCAN,26,0,3,42,C,138,90,20,50,0,20
ACAYUCAN,ACAYUCAN,26,0,3,42,X,133,89,1,30,0,8
ACAYUCAN,ACAYUCAN,26,0,3,43,B,235,139,11,24,0,5
ACAYUCAN,ACAYUCAN,26,0,3,43,C,195,140,10,25,0,20
ACAYUCAN,ACAYUCAN,26,0,3,44,B,190,131,2,71,0,25
ACAYUCAN,ACAYUCAN,26,0,3,44,C,187,165,6,64,0,23
ACAYUCAN,ACAYUCAN,26,0,3,45,B,201,95,4,94,0,10
ACAYUCAN,ACAYUCAN,26,0,3,45,C,214,91,6,64,6,0
ACAYUCAN,ACAYUCAN,26,0,3,45,C2,194,87,4,89,0,26
ACAYUCAN,ACAYUCAN,26,0,3,46,B,92,40,3,29,0,11
ACAYUCAN,ACAYUCAN,26,0,3,46,C,119,26,3,18,0,15
LA ANTIGUA,ACTOPAN,19,1,4,47,B,68,133,186,9,0,10
LA ANTIGUA,ACTOPAN,19,1,4,47,C,66,79,238,7,0,17
LA ANTIGUA,ACTOPAN,19,1,4,48,B,41,89,204,5,0,9
LA ANTIGUA,ACTOPAN,19,1,4,48,C,43,100,192,2,0,10
LA ANTIGUA,ACTOPAN,19,1,4,49,B,82,172,144,7,0,8
LA ANTIGUA,ACTOPAN,19,1,4,49,C,0,0,0,0,0,0
LA ANTIGUA,ACTOPAN,19,1,4,50,B,103,94,127,3,0,0
LA ANTIGUA,ACTOPAN,19,1,4,50,X,87,90,98,3,0,10
LA ANTIGUA,ACTOPAN,19,1,4,51,B,235,63,70,7,0,11
LA ANTIGUA,ACTOPAN,19,1,4,51,C,192,87,93,5,1,12
LA ANTIGUA,ACTOPAN,19,1,4,51,X,150,87,54,4,0,8
LA ANTIGUA,ACTOPAN,19,1,4,52,B,136,78,111,3,3,18
LA ANTIGUA,ACTOPAN,19,1,4,52,C,109,108,107,6,1,22
LA ANTIGUA,ACTOPAN,19,1,4,52,C2,152,69,87,3,0,18
LA ANTIGUA,ACTOPAN,19,1,4,53,B,67,135,37,62,0,14
LA ANTIGUA,ACTOPAN,19,1,4,53,C,96,109,47,74,0,11
LA ANTIGUA,ACTOPAN,19,1,4,54,B,113,47,29,11,0,11
LA ANTIGUA,ACTOPAN,19,1,4,55,B,24,149,264,7,0,23
LA ANTIGUA,ACTOPAN,19,1,4,56,B,0,0,0,0,0,0
LA ANTIGUA,ACTOPAN,19,1,4,57,B,79,79,194,6,0,28
LA ANTIGUA,ACTOPAN,19,1,4,58,B,21,28,74,2,0,1
LA ANTIGUA,ACTOPAN,19,1,4,59,B,35,21,93,2,2,1
LA ANTIGUA,ACTOPAN,19,1,4,60,B,33,21,161,2,0,6
LA ANTIGUA,ACTOPAN,19,1,4,60,C,24,15,179,1,0,9
LA ANTIGUA,ACTOPAN,19,1,4,61,B,13,46,213,3,0,9
LA ANTIGUA,ACTOPAN,19,1,4,61,C,16,33,218,1,0,8
LA ANTIGUA,ACTOPAN,19,1,4,62,B,63,119,138,3,0,8
LA ANTIGUA,ACTOPAN,19,1,4,63,B,43,17,184,9,0,7
LA ANTIGUA,ACTOPAN,19,1,4,63,C,35,36,180,4,1,7
LA ANTIGUA,ACTOPAN,19,1,4,64,B,46,53,52,7,0,7
LA ANTIGUA,ACTOPAN,19,1,4,65,B,97,102,176,2,0,18
LA ANTIGUA,ACTOPAN,19,1,4,66,B,128,120,129,5,0,0
LA ANTIGUA,ACTOPAN,19,1,4,67,B,278,64,108,7,0,23
LA ANTIGUA,ACTOPAN,19,1,4,68,B,146,48,54,3,0,8
LA ANTIGUA,ACTOPAN,19,1,4,68,C,154,62,47,1,0,7
LA ANTIGUA,ACTOPAN,19,1,4,68,X,73,13,41,3,0,3
LA ANTIGUA,ACTOPAN,19,1,4,69,B,255,77,127,3,0,16
LA ANTIGUA,ACTOPAN,19,1,4,69,C,265,61,116,5,0,24
LA ANTIGUA,ACTOPAN,19,1,4,70,B,139,74,104,11,0,0
LA ANTIGUA,ACTOPAN,19,1,4,70,C,116,78,102,36,0,0
LA ANTIGUA,ACTOPAN,19,1,4,71,B,52,73,63,44,0,13
LA ANTIGUA,ACTOPAN,19,1,4,71,C,70,48,78,28,0,8
LA ANTIGUA,ACTOPAN,19,1,4,72,B,112,147,123,2,0,12
LA ANTIGUA,ACTOPAN,19,1,4,73,B,206,46,37,1,0,2
LA ANTIGUA,ACTOPAN,19,1,4,74,B,314,41,71,1,0,9
LA ANTIGUA,ACTOPAN,19,1,4,75,B,109,73,32,0,0,2
LA ANTIGUA,ACTOPAN,19,1,4,75,C,123,55,60,0,0,5
LA ANTIGUA,ACTOPAN,19,1,4,76,B,159,86,178,2,0,7
LA ANTIGUA,ACTOPAN,19,1,4,76,C,201,95,145,2,2,14
LA ANTIGUA,ACTOPAN,19,1,4,77,B,75,65,110,2,0,14
LA ANTIGUA,ACTOPAN,19,1,4,77,C,51,71,154,4,0,15
LA ANTIGUA,ACTOPAN,19,1,4,78,B,94,53,57,4,0,3
LA ANTIGUA,ACTOPAN,19,1,4,79,B,96,117,46,22,13,0
LA ANTIGUA,ACTOPAN,19,1,4,80,B,30,81,44,2,0,4
LA ANTIGUA,ACTOPAN,19,1,4,81,B,31,89,95,8,0,8
LA ANTIGUA,ACTOPAN,19,1,4,82,B,12,41,27,2,0,8
LA ANTIGUA,ACTOPAN,19,1,4,83,B,133,114,101,2,0,6
LA ANTIGUA,ACTOPAN,19,1,4,83,X,31,64,38,2,0,7
LA ANTIGUA,ACTOPAN,19,1,4,84,B,57,278,53,7,0,19
LA ANTIGUA,ACTOPAN,19,1,4,84,C,44,288,56,7,0,0
COSAMALOAPAN,ACULA,23,1,5,85,B,152,144,96,20,0,12
COSAMALOAPAN,ACULA,23,1,5,85,C,163,91,153,27,0,12
COSAMALOAPAN,ACULA,23,1,5,86,B,86,140,104,40,0,0
COSAMALOAPAN,ACULA,23,1,5,86,C,75,152,100,42,0,12
COSAMALOAPAN,ACULA,23,1,5,87,B,79,53,43,6,0,2
COSAMALOAPAN,ACULA,23,1,5,88,B,69,54,121,3,0,6
COSAMALOAPAN,ACULA,23,1,5,89,B,114,86,35,7,0,8
COSAMALOAPAN,ACULA,23,1,5,90,B,67,34,80,21,0,8
COSAMALOAPAN,ACULA,23,1,5,91,B,192,118,87,19,0,12
ZONGOLICA,ACULTZINGO,18,1,6,92,B,158,62,100,62,0,19
ZONGOLICA,ACULTZINGO,18,1,6,92,C,145,58,117,102,0,16
ZONGOLICA,ACULTZINGO,18,1,6,92,C2,124,84,101,91,0,10
ZONGOLICA,ACULTZINGO,18,1,6,93,B,48,145,59,118,0,6
ZONGOLICA,ACULTZINGO,18,1,6,93,X,11,42,17,121,0,15
ZONGOLICA,ACULTZINGO,18,1,6,94,B,36,73,43,121,0,15
ZONGOLICA,ACULTZINGO,18,1,6,94,C,48,49,45,106,0,16
ZONGOLICA,ACULTZINGO,18,1,6,95,B,88,107,37,83,0,7
ZONGOLICA,ACULTZINGO,18,1,6,95,C,81,88,26,89,0,12
ZONGOLICA,ACULTZINGO,18,1,6,96,B,17,59,55,70,0,13
ZONGOLICA,ACULTZINGO,18,1,6,97,B,117,84,106,92,0,13
ZONGOLICA,ACULTZINGO,18,1,6,98,B,127,105,82,88,0,16
ZONGOLICA,ACULTZINGO,18,1,6,99,B,133,119,71,68,0,21
ZONGOLICA,ACULTZINGO,18,1,6,100,B,124,67,31,41,0,16
ZONGOLICA,ACULTZINGO,18,1,6,101,B,35,213,65,102,0,33
ZONGOLICA,ACULTZINGO,18,1,6,102,B,22,49,27,15,0,0
ZONGOLICA,ACULTZINGO,18,1,6,103,B,22,27,82,66,0,33
ZONGOLICA,ACULTZINGO,18,1,6,104,B,18,150,43,82,0,25
ZONGOLICA,ACULTZINGO,18,1,6,104,X,10,94,65,69,0,20
ZONGOLICA,ACULTZINGO,18,1,6,105,B,175,46,138,77,0,35
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,106,B,157,98,155,0,0,6
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,106,C,157,106,134,0,0,6
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,106,C2,132,90,152,0,0,10
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,107,B,78,200,110,0,0,0
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,107,C,116,162,103,0,0,11
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,107,X,138,112,73,0,0,6
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,107,X2,159,93,67,0,0,4
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,108,B,142,103,83,0,0,4
LA ANTIGUA,CAMARON DE TEJEDA,19,1,7,108,C,108,162,62,0,0,7
TEMAPACHE,TEMAPACHE,4,0,8,109,B,126,79,55,48,0,15
TEMAPACHE,TEMAPACHE,4,0,8,109,C,155,87,31,53,0,7
TEMAPACHE,TEMAPACHE,4,0,8,110,B,145,115,38,66,0,22
TEMAPACHE,TEMAPACHE,4,0,8,110,C,153,107,38,96,0,14
TEMAPACHE,TEMAPACHE,4,0,8,111,B,126,90,30,60,0,12
TEMAPACHE,TEMAPACHE,4,0,8,111,C,136,83,46,64,0,9
TEMAPACHE,TEMAPACHE,4,0,8,112,B,171,108,76,44,0,15
TEMAPACHE,TEMAPACHE,4,0,8,112,C,171,123,66,27,1,8
TEMAPACHE,TEMAPACHE,4,0,8,113,B,189,132,52,54,0,18
TEMAPACHE,TEMAPACHE,4,0,8,114,B,199,88,64,42,0,11
TEMAPACHE,TEMAPACHE,4,0,8,114,C,176,101,68,40,0,10
TEMAPACHE,TEMAPACHE,4,0,8,115,B,144,83,49,19,0,7
TEMAPACHE,TEMAPACHE,4,0,8,115,C,131,109,37,30,1,5
TEMAPACHE,TEMAPACHE,4,0,8,116,B,116,120,58,54,0,7
TEMAPACHE,TEMAPACHE,4,0,8,116,C,144,118,46,51,0,6
TEMAPACHE,TEMAPACHE,4,0,8,117,B,112,73,29,34,0,8
TEMAPACHE,TEMAPACHE,4,0,8,117,C,126,78,25,45,0,6
TEMAPACHE,TEMAPACHE,4,0,8,118,B,92,58,18,43,0,11
TEMAPACHE,TEMAPACHE,4,0,8,118,C,91,54,23,57,0,9
TEMAPACHE,TEMAPACHE,4,0,8,119,B,147,94,46,71,0,18
TEMAPACHE,TEMAPACHE,4,0,8,120,B,138,94,69,67,0,19
TEMAPACHE,TEMAPACHE,4,0,8,120,C,181,85,64,49,0,20
TEMAPACHE,TEMAPACHE,4,0,8,121,B,127,83,146,43,0,18
TEMAPACHE,TEMAPACHE,4,0,8,121,C,139,75,143,36,0,19
TEMAPACHE,TEMAPACHE,4,0,8,122,B,24,41,85,76,0,12
TEMAPACHE,TEMAPACHE,4,0,8,123,B,29,35,34,103,0,12
TEMAPACHE,TEMAPACHE,4,0,8,123,X,3,40,6,83,0,4
TEMAPACHE,TEMAPACHE,4,0,8,123,X2,10,34,12,92,0,7
TEMAPACHE,TEMAPACHE,4,0,8,124,B,25,36,107,102,0,11
TEMAPACHE,TEMAPACHE,4,0,8,125,B,24,56,6,267,0,21
TEMAPACHE,TEMAPACHE,4,0,8,126,B,73,58,17,119,0,23
TEMAPACHE,TEMAPACHE,4,0,8,127,B,4,5,105,2,0,0
TEMAPACHE,TEMAPACHE,4,0,8,128,B,41,46,36,121,0,0
TEMAPACHE,TEMAPACHE,4,0,8,128,C,32,54,15,120,0,15
TEMAPACHE,TEMAPACHE,4,0,8,129,B,97,56,121,37,0,20
TEMAPACHE,TEMAPACHE,4,0,8,129,C,81,62,108,70,0,14
TEMAPACHE,TEMAPACHE,4,0,8,129,C2,94,79,105,43,0,15
TEMAPACHE,TEMAPACHE,4,0,8,130,B,112,65,36,60,0,6
TEMAPACHE,TEMAPACHE,4,0,8,130,C,122,54,45,32,0,7
TEMAPACHE,TEMAPACHE,4,0,8,130,C2,123,92,31,37,1,4
TEMAPACHE,TEMAPACHE,4,0,8,131,B,80,77,65,12,0,12
TEMAPACHE,TEMAPACHE,4,0,8,131,C,58,87,51,29,0,15
TEMAPACHE,TEMAPACHE,4,0,8,132,B,78,71,30,17,0,7
TEMAPACHE,TEMAPACHE,4,0,8,132,C,82,72,22,5,0,6
TEMAPACHE,TEMAPACHE,4,0,8,133,B,82,43,19,66,0,13
TEMAPACHE,TEMAPACHE,4,0,8,133,C,75,46,24,74,0,13
TEMAPACHE,TEMAPACHE,4,0,8,134,B,32,50,62,109,0,14
TEMAPACHE,TEMAPACHE,4,0,8,135,B,66,107,34,110,0,25
TEMAPACHE,TEMAPACHE,4,0,8,135,C,88,124,22,107,0,25
TEMAPACHE,TEMAPACHE,4,0,8,136,B,133,70,75,82,0,26
TEMAPACHE,TEMAPACHE,4,0,8,136,C,125,68,84,114,0,29
TEMAPACHE,TEMAPACHE,4,0,8,137,B,16,64,169,35,0,13
TEMAPACHE,TEMAPACHE,4,0,8,137,C,5,75,191,27,0,6
TEMAPACHE,TEMAPACHE,4,0,8,138,B,34,69,118,66,0,15
TEMAPACHE,TEMAPACHE,4,0,8,139,B,45,33,117,74,1,16
TEMAPACHE,TEMAPACHE,4,0,8,139,C,52,38,79,76,0,20
TEMAPACHE,TEMAPACHE,4,0,8,140,B,145,31,140,119,0,21
TEMAPACHE,TEMAPACHE,4,0,8,140,C,108,34,146,128,1,32
TEMAPACHE,TEMAPACHE,4,0,8,141,B,29,75,26,171,0,19
TEMAPACHE,TEMAPACHE,4,0,8,141,C,28,98,31,143,0,15
TEMAPACHE,TEMAPACHE,4,0,8,142,B,98,25,14,169,0,14
TEMAPACHE,TEMAPACHE,4,0,8,142,C,94,17,9,174,0,21
TEMAPACHE,TEMAPACHE,4,0,8,143,B,117,121,19,142,0,12
TEMAPACHE,TEMAPACHE,4,0,8,144,B,23,153,17,68,0,11
TEMAPACHE,TEMAPACHE,4,0,8,145,B,80,62,82,83,1,21
TEMAPACHE,TEMAPACHE,4,0,8,145,X,35,206,30,40,0,15
TEMAPACHE,TEMAPACHE,4,0,8,146,B,45,70,207,56,0,21
TEMAPACHE,TEMAPACHE,4,0,8,146,C,67,71,193,68,0,24
TEMAPACHE,TEMAPACHE,4,0,8,147,B,82,119,33,60,0,13
TEMAPACHE,TEMAPACHE,4,0,8,147,C,106,76,34,43,0,13
TEMAPACHE,TEMAPACHE,4,0,8,148,B,62,78,48,220,0,23
TEMAPACHE,TEMAPACHE,4,0,8,149,B,126,84,134,58,0,14
TEMAPACHE,TEMAPACHE,4,0,8,150,B,47,102,27,107,0,12
TEMAPACHE,TEMAPACHE,4,0,8,150,C,52,102,31,89,0,15
TEMAPACHE,TEMAPACHE,4,0,8,151,B,42,142,80,187,0,21
TEMAPACHE,TEMAPACHE,4,0,8,152,B,136,102,45,118,0,15
TEMAPACHE,TEMAPACHE,4,0,8,152,C,131,114,53,99,0,22
TEMAPACHE,TEMAPACHE,4,0,8,153,B,136,137,31,101,0,23
TEMAPACHE,TEMAPACHE,4,0,8,153,C,144,133,20,111,0,13
TEMAPACHE,TEMAPACHE,4,0,8,154,B,111,76,93,51,0,19
TEMAPACHE,TEMAPACHE,4,0,8,155,B,46,71,162,46,0,24
TEMAPACHE,TEMAPACHE,4,0,8,155,C,41,99,187,29,0,14
TEMAPACHE,TEMAPACHE,4,0,8,156,B,49,62,247,90,0,10
TEMAPACHE,TEMAPACHE,4,0,8,157,B,73,42,6,85,0,16
TEMAPACHE,TEMAPACHE,4,0,8,157,X,88,41,108,114,1,22
TEMAPACHE,TEMAPACHE,4,0,8,157,X2,37,85,124,88,0,10
TEMAPACHE,TEMAPACHE,4,0,8,158,B,28,23,146,60,0,11
TEMAPACHE,TEMAPACHE,4,0,8,158,C,34,32,180,37,0,7
TEMAPACHE,TEMAPACHE,4,0,8,159,B,30,32,281,115,0,23
TEMAPACHE,TEMAPACHE,4,0,8,160,B,60,54,211,35,1,19
TEMAPACHE,TEMAPACHE,4,0,8,160,C,35,91,218,50,0,14
TEMAPACHE,TEMAPACHE,4,0,8,161,B,95,112,100,68,0,16
TEMAPACHE,TEMAPACHE,4,0,8,162,B,68,101,102,39,0,11
TEMAPACHE,TEMAPACHE,4,0,8,162,C,68,91,91,24,0,17
TEMAPACHE,TEMAPACHE,4,0,8,162,C2,82,80,117,28,0,6
TEMAPACHE,TEMAPACHE,4,0,8,163,B,72,108,78,33,0,9
TEMAPACHE,TEMAPACHE,4,0,8,163,C,83,113,68,39,0,4
TEMAPACHE,TEMAPACHE,4,0,8,164,B,113,63,43,108,0,33
TEMAPACHE,TEMAPACHE,4,0,8,164,X,28,168,11,121,0,9
TEMAPACHE,TEMAPACHE,4,0,8,165,B,37,70,51,80,0,18
TEMAPACHE,TEMAPACHE,4,0,8,165,C,45,61,47,86,0,12
TEMAPACHE,TEMAPACHE,4,0,8,166,B,88,69,18,125,0,12
TEMAPACHE,TEMAPACHE,4,0,8,167,B,59,82,52,70,0,17
TEMAPACHE,TEMAPACHE,4,0,8,167,C,58,72,66,89,0,5
TEMAPACHE,TEMAPACHE,4,0,8,168,B,64,123,110,117,1,20
TEMAPACHE,TEMAPACHE,4,0,8,168,C,75,101,106,133,0,24
TEMAPACHE,TEMAPACHE,4,0,8,169,B,81,49,148,64,0,22
TEMAPACHE,TEMAPACHE,4,0,8,169,C,84,42,153,63,0,21
TEMAPACHE,TEMAPACHE,4,0,8,170,B,153,51,56,188,0,34
TEMAPACHE,TEMAPACHE,4,0,8,171,B,204,55,113,67,0,19
TEMAPACHE,TEMAPACHE,4,0,8,171,C,185,49,98,83,0,19
TEMAPACHE,TEMAPACHE,4,0,8,172,B,67,55,121,100,0,27
TEMAPACHE,TEMAPACHE,4,0,8,173,B,16,27,193,46,0,14
TEMAPACHE,TEMAPACHE,4,0,8,173,C,20,27,186,33,0,18
TEMAPACHE,TEMAPACHE,4,0,8,174,B,46,201,13,92,0,20
TEMAPACHE,TEMAPACHE,4,0,8,175,B,65,79,26,12,0,0
TEMAPACHE,TEMAPACHE,4,0,8,175,C,54,101,47,89,0,21
TEMAPACHE,TEMAPACHE,4,0,8,176,B,71,102,184,98,2,23
TEMAPACHE,TEMAPACHE,4,0,8,177,B,14,103,25,85,0,13
HUATUSCO,ALPATLAHUAC,14,1,9,178,B,215,173,85,0,0,18
HUATUSCO,ALPATLAHUAC,14,1,9,178,C,247,170,77,0,0,21
HUATUSCO,ALPATLAHUAC,14,1,9,179,B,179,85,17,0,0,19
HUATUSCO,ALPATLAHUAC,14,1,9,179,C,166,102,19,0,0,17
HUATUSCO,ALPATLAHUAC,14,1,9,180,B,242,130,19,0,0,11
HUATUSCO,ALPATLAHUAC,14,1,9,180,C,177,171,22,0,0,29
HUATUSCO,ALPATLAHUAC,14,1,9,181,B,89,194,144,0,0,0
HUATUSCO,ALPATLAHUAC,14,1,9,182,B,135,89,9,0,0,22
HUATUSCO,ALPATLAHUAC,14,1,9,182,X,198,140,9,0,0,21
LA ANTIGUA,ALTO LUCERO,19,1,10,183,B,48,135,82,31,0,20
LA ANTIGUA,ALTO LUCERO,19,1,10,183,C,64,94,103,32,0,8
LA ANTIGUA,ALTO LUCERO,19,1,10,184,B,0,0,0,0,0,0
LA ANTIGUA,ALTO LUCERO,19,1,10,184,C,103,103,130,49,0,151
LA ANTIGUA,ALTO LUCERO,19,1,10,185,B,47,87,217,39,0,12
LA ANTIGUA,ALTO LUCERO,19,1,10,186,B,67,98,142,65,0,18
LA ANTIGUA,ALTO LUCERO,19,1,10,186,C,116,85,113,47,0,17
LA ANTIGUA,ALTO LUCERO,19,1,10,187,B,61,154,68,88,0,38
LA ANTIGUA,ALTO LUCERO,19,1,10,188,B,21,97,11,59,0,19
LA ANTIGUA,ALTO LUCERO,19,1,10,189,B,35,33,11,25,0,13
LA ANTIGUA,ALTO LUCERO,19,1,10,190,B,29,65,11,35,0,12
LA ANTIGUA,ALTO LUCERO,19,1,10,191,B,105,38,12,45,0,9
LA ANTIGUA,ALTO LUCERO,19,1,10,192,B,146,101,16,93,0,12
LA ANTIGUA,ALTO LUCERO,19,1,10,193,B,16,66,10,92,0,15
LA ANTIGUA,ALTO LUCERO,19,1,10,194,B,44,95,17,32,0,17
LA ANTIGUA,ALTO LUCERO,19,1,10,197,B,110,104,30,54,0,17
LA ANTIGUA,ALTO LUCERO,19,1,10,197,C,116,104,40,51,0,8
LA ANTIGUA,ALTO LUCERO,19,1,10,198,B,147,87,44,50,0,9
LA ANTIGUA,ALTO LUCERO,19,1,10,199,B,28,33,18,20,0,8
