Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 15 - COALCOMAN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 249 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,47,,,7,,7,310,5,,,,,,,,,,0,22,412,598
Total,,,14,47,0,0,7,0,7,310,5,0,0,0,0,0,0,0,0,0,0,22,412,598
Sección 250 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,17,13,,,5,,28,105,5,,,,,,,,,,0,6,179,382
Total,,,17,13,0,0,5,0,28,105,5,0,0,0,0,0,0,0,0,0,0,6,179,382
Sección 251 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,39,,,0,,9,97,3,,,,,,,,,,0,3,162,256
Total,,,11,39,0,0,0,0,9,97,3,0,0,0,0,0,0,0,0,0,0,3,162,256
Sección 252 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,10,,,2,,5,101,2,,,,,,,,,,0,10,144,266
Total,,,14,10,0,0,2,0,5,101,2,0,0,0,0,0,0,0,0,0,0,10,144,266
Sección 253 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,12,,,0,,5,51,1,,,,,,,,,,0,2,82,142
Total,,,11,12,0,0,0,0,5,51,1,0,0,0,0,0,0,0,0,0,0,2,82,142
Sección 254 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,21,,,0,,2,82,2,,,,,,,,,,0,3,116,202
Total,,,6,21,0,0,0,0,2,82,2,0,0,0,0,0,0,0,0,0,0,3,116,202
Sección 255 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,23,55,,,4,,7,45,1,,,,,,,,,,1,8,144,261
Total,,,23,55,0,0,4,0,7,45,1,0,0,0,0,0,0,0,0,0,1,8,144,261
Sección 256 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,44,,,6,,9,283,1,,,,,,,,,,0,7,364,592
Total,,,14,44,0,0,6,0,9,283,1,0,0,0,0,0,0,0,0,0,0,7,364,592
Total municipal,,,895,2389,0,0,73,0,391,4701,190,0,0,0,0,0,0,0,0,0,3,294,8936,16126
