Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 77 - SAHUAYO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
C1,AC,Urna tradicional,97,84,,,0,10,0,20,,,,0,,3,,,,,0,2,216,378
Total,,,189,178,0,0,0,14,1,55,0,0,0,0,0,3,0,0,0,0,0,9,449,756
Sección 1731 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,118,128,,,3,7,1,105,,,,4,,1,,,,,0,13,380,676
C1,AC,Urna tradicional,159,102,,,1,10,1,68,,,,1,,1,,,,,0,10,353,677
Total,,,277,230,0,0,4,17,2,173,0,0,0,5,0,2,0,0,0,0,0,23,733,1353
Sección 1732 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,166,171,,,0,13,1,76,,,,0,,0,,,,,0,6,433,644
C1,AC,Urna tradicional,172,168,,,5,3,0,87,,,,0,,0,,,,,0,8,443,645
Total,,,338,339,0,0,5,16,1,163,0,0,0,0,0,0,0,0,0,0,0,14,876,1289
Sección 1733 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,91,,,0,4,3,65,,,,1,,0,,,,,0,15,286,551
C1,AC,Urna tradicional,122,103,,,4,5,1,59,,,,1,,1,,,,,0,7,303,552
Total,,,229,194,0,0,4,9,4,124,0,0,0,2,0,1,0,0,0,0,0,22,589,1103
Sección 1734 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,127,128,,,1,4,1,36,,,,0,,0,,,,,0,5,302,453
C1,AC,Urna tradicional,129,130,,,2,8,2,31,,,,0,,1,,,,,0,2,305,454
Total,,,256,258,0,0,3,12,3,67,0,0,0,0,0,1,0,0,0,0,0,7,607,907
Sección 1735 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,225,149,,,0,5,5,57,,,,1,,0,,,,,0,12,454,719
Total,,,225,149,0,0,0,5,5,57,0,0,0,1,0,0,0,0,0,0,0,12,454,719
Sección 1736 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,180,147,,,2,6,2,39,,,,7,,0,,,,,0,8,391,605
Total,,,180,147,0,0,2,6,2,39,0,0,0,7,0,0,0,0,0,0,0,8,391,605
Sección 1737 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,121,60,,,0,6,0,82,,,,0,,0,,,,,0,7,276,488
C1,AC,Urna tradicional,114,71,,,0,6,0,76,,,,0,,0,,,,,0,10,277,489
Total,,,235,131,0,0,0,12,0,158,0,0,0,0,0,0,0,0,0,0,0,17,553,977
Sección 1738 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,90,84,,,0,4,4,102,,,,0,,0,,,,,0,8,292,502
C1,AC,Urna tradicional,124,46,,,1,5,1,80,,,,0,,0,,,,,0,12,269,502
C2,AC,Urna tradicional,116,87,,,3,1,4,66,,,,0,,0,,,,,0,7,284,503
Total,,,330,217,0,0,4,10,9,248,0,0,0,0,0,0,0,0,0,0,0,27,845,1507
Sección 1739 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,68,83,,,2,2,1,109,,,,0,,0,,,,,0,14,279,527
Total,,,68,83,0,0,2,2,1,109,0,0,0,0,0,0,0,0,0,0,0,14,279,527
Sección 1740 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,86,49,,,0,3,0,177,,,,0,,0,,,,,0,15,330,533
C1,AC,Urna tradicional,114,57,,,2,0,4,148,,,,0,,0,,,,,0,9,334,533
Total,,,200,106,0,0,2,3,4,325,0,0,0,0,0,0,0,0,0,0,0,24,664,1066
Sección 1741 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,101,117,,,0,4,0,133,,,,0,,0,,,,,0,11,366,589
Total,,,101,117,0,0,0,4,0,133,0,0,0,0,0,0,0,0,0,0,0,11,366,589
Sección 1742 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,72,85,,,2,1,3,51,,,,0,,0,,,,,0,12,226,475
C1,AC,Urna tradicional,68,83,,,1,6,1,85,,,,1,,0,,,,,0,9,254,475
Total,,,140,168,0,0,3,7,4,136,0,0,0,1,0,0,0,0,0,0,0,21,480,950
Sección 1743 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,145,139,,,1,2,0,98,,,,0,,0,,,,,0,6,391,670
Total,,,145,139,0,0,1,2,0,98,0,0,0,0,0,0,0,0,0,0,0,6,391,670
Sección 1744 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,99,52,,,1,0,2,54,,,,0,,0,,,,,0,5,213,383
C1,AC,Urna tradicional,96,71,,,0,2,0,32,,,,0,,0,,,,,0,7,208,383
Total,,,195,123,0,0,1,2,2,86,0,0,0,0,0,0,0,0,0,0,0,12,421,766
Sección 1745 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,109,81,,,0,1,0,37,,,,0,,0,,,,,0,8,236,424
C1,AC,Urna tradicional,138,71,,,0,3,2,32,,,,0,,0,,,,,0,5,251,424
Total,,,247,152,0,0,0,4,2,69,0,0,0,0,0,0,0,0,0,0,0,13,487,848
Sección 1746 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,79,,,0,9,0,57,,,,4,,5,,,,,0,19,301,510
C1,AC,Urna tradicional,143,93,,,0,8,3,40,,,,3,,0,,,,,0,15,305,511
Total,,,271,172,0,0,0,17,3,97,0,0,0,7,0,5,0,0,0,0,0,34,606,1021
Sección 1747 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,112,69,,,0,4,0,36,,,,0,,0,,,,,0,12,233,397
C1,AC,Urna tradicional,130,80,,,1,4,1,20,,,,0,,0,,,,,0,10,246,397
Total,,,242,149,0,0,1,8,1,56,0,0,0,0,0,0,0,0,0,0,0,22,479,794
Sección 1748 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,98,110,,,0,10,6,91,,,,0,,1,,,,,0,8,324,567
C1,AC,Urna tradicional,114,106,,,0,16,0,97,,,,0,,0,,,,,0,10,343,568
Total,,,212,216,0,0,0,26,6,188,0,0,0,0,0,1,0,0,0,0,0,18,667,1135
Sección 1749 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,85,75,,,2,7,1,183,,,,0,,1,,,,,0,13,367,591
C1,AC,Urna tradicional,98,74,,,3,7,0,170,,,,0,,0,,,,,0,10,362,591
Total,,,183,149,0,0,5,14,1,353,0,0,0,0,0,1,0,0,0,0,0,23,729,1182
Sección 1750 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,98,86,,,1,1,5,151,,,,1,,0,,,,,0,17,360,623
C1,AC,Urna tradicional,103,86,,,3,1,5,162,,,,0,,0,,,,,0,4,364,624
Total,,,201,172,0,0,4,2,10,313,0,0,0,1,0,0,0,0,0,0,0,21,724,1247
Sección 1751 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,103,115,,,1,7,1,211,,,,0,,0,,,,,0,11,449,676
C1,AC,Urna tradicional,102,101,,,4,3,4,205,,,,1,,0,,,,,0,7,427,677
Total,,,205,216,0,0,5,10,5,416,0,0,0,1,0,0,0,0,0,0,0,18,876,1353
Sección 1752 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,85,63,,,1,2,5,99,,,,0,,0,,,,,0,9,264,480
C1,AC,Urna tradicional,60,76,,,1,1,4,121,,,,3,,0,,,,,0,10,276,481
Total,,,145,139,0,0,2,3,9,220,0,0,0,3,0,0,0,0,0,0,0,19,540,961
Sección 1753 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,75,86,,,1,4,7,151,,,,1,,1,,,,,0,3,329,555
C1,AC,Urna tradicional,84,87,,,0,1,0,150,,,,0,,0,,,,,0,8,330,555
Total,,,159,173,0,0,1,5,7,301,0,0,0,1,0,1,0,0,0,0,0,11,659,1110
Sección 1754 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,100,70,,,0,4,0,125,,,,0,,0,,,,,0,6,305,540
C1,AC,Urna tradicional,88,101,,,0,11,1,130,,,,0,,3,,,,,0,7,341,541
Total,,,188,171,0,0,0,15,1,255,0,0,0,0,0,3,0,0,0,0,0,13,646,1081
Sección 1755 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,75,93,,,1,18,2,31,,,,0,,1,,,,,0,5,226,397
C1,AC,Urna tradicional,87,95,,,0,12,0,25,,,,0,,0,,,,,0,4,223,397
Total,,,162,188,0,0,1,30,2,56,0,0,0,0,0,1,0,0,0,0,0,9,449,794
Sección 1756 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,112,74,,,1,3,0,54,,,,1,,0,,,,,0,7,252,431
C1,AC,Urna tradicional,106,98,,,0,3,0,60,,,,0,,0,,,,,0,7,274,432
Total,,,218,172,0,0,1,6,0,114,0,0,0,1,0,0,0,0,0,0,0,14,526,863
Sección 1757 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,67,,,2,4,4,76,,,,2,,0,,,,,0,7,250,464
C1,AC,Urna tradicional,93,80,,,2,1,3,71,,,,1,,3,,,,,0,8,262,464
Total,,,181,147,0,0,4,5,7,147,0,0,0,3,0,3,0,0,0,0,0,15,512,928
Sección 1758 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,115,63,,,1,2,1,89,,,,2,,0,,,,,0,5,278,440
C1,AC,Urna tradicional,114,61,,,2,2,3,55,,,,0,,0,,,,,0,8,245,441
Total,,,229,124,0,0,3,4,4,144,0,0,0,2,0,0,0,0,0,0,0,13,523,881
Sección 1759 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,75,69,,,3,5,0,74,,,,1,,0,,,,,0,13,240,451
C1,AC,Urna tradicional,73,71,,,3,2,2,82,,,,2,,0,,,,,0,14,249,451
Total,,,148,140,0,0,6,7,2,156,0,0,0,3,0,0,0,0,0,0,0,27,489,902
Sección 1760 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,100,83,,,4,4,2,74,,,,1,,2,,,,,0,9,279,518
C1,AC,Urna tradicional,82,76,,,0,2,0,107,,,,0,,0,,,,,0,3,270,518
Total,,,182,159,0,0,4,6,2,181,0,0,0,1,0,2,0,0,0,0,0,12,549,1036
Sección 1761 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,98,68,,,1,1,2,156,,,,3,,0,,,,,0,12,341,636
C1,AC,Urna tradicional,105,75,,,3,4,4,155,,,,1,,1,,,,,0,12,360,636
C2,AC,Urna tradicional,85,79,,,1,2,0,151,,,,0,,1,,,,,0,10,329,636
C3,AC,Urna tradicional,94,82,,,1,5,0,171,,,,0,,0,,,,,0,10,363,637
Total,,,382,304,0,0,6,12,6,633,0,0,0,4,0,2,0,0,0,0,0,44,1393,2545
Sección 1762 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,101,79,,,2,2,6,185,,,,0,,0,,,,,0,23,398,672
C1,AC,Urna tradicional,90,88,,,0,2,0,187,,,,0,,0,,,,,0,14,381,672
C2,AC,Urna tradicional,121,68,,,0,4,0,190,,,,0,,0,,,,,0,14,397,673
C3,AC,Urna tradicional,97,80,,,4,2,0,165,,,,2,,1,,,,,1,16,368,673
Total,,,409,315,0,0,6,10,6,727,0,0,0,2,0,1,0,0,0,0,1,67,1544,2690
Sección 1763 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,144,130,,,2,17,4,167,,,,1,,2,,,,,0,10,477,750
C1,AC,Urna tradicional,168,131,,,3,9,5,147,,,,0,,0,,,,,0,10,473,750
Total,,,312,261,0,0,5,26,9,314,0,0,0,1,0,2,0,0,0,0,0,20,950,1500
Sección 1764 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,143,81,,,0,0,0,94,,,,0,,0,,,,,0,13,331,643
Total,,,143,81,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,13,331,643
Sección 1765 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,51,,,1,0,0,58,,,,0,,2,,,,,0,21,240,395
Total,,,107,51,0,0,1,0,0,58,0,0,0,0,0,2,0,0,0,0,0,21,240,395
Sección 1766 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,30,58,,,0,0,0,72,,,,0,,0,,,,,0,11,171,292
Total,,,30,58,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,11,171,292
Sección 1767 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,139,95,,,3,6,0,144,,,,0,,0,,,,,0,17,404,702
C1,AC,Urna tradicional,147,113,,,3,4,5,146,,,,0,,0,,,,,1,9,428,702
C2,AC,Urna tradicional,150,99,,,2,10,12,129,,,,1,,1,,,,,0,10,414,702
C3,AC,Urna tradicional,145,103,,,3,5,4,144,,,,2,,0,,,,,0,13,419,703
Total,,,581,410,0,0,11,25,21,563,0,0,0,3,0,1,0,0,0,0,1,49,1665,2809
Total municipal,,,10861,8884,0,0,119,450,160,9558,0,0,0,63,0,43,0,0,0,0,6,995,31139,53458
