Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 108 - ZACAPU,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Total,,,347,158,106,71,4,2,5,0,0,0,0,5,0,1,0,0,2,0,0,20,721,1288
Sección 2395 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,103,40,47,23,2,0,4,,,,,1,,0,,,1,,0,20,241,381
C1,AC,Urna tradicional,97,51,31,30,2,0,1,,,,,0,,2,,,1,,1,12,228,381
Total,,,200,91,78,53,4,0,5,0,0,0,0,1,0,2,0,0,2,0,1,32,469,762
Sección 2396 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,144,72,70,43,0,0,3,,,,,11,,3,,,0,,0,15,361,656
C1,AC,Urna tradicional,153,96,76,45,0,0,3,,,,,0,,0,,,0,,20,0,393,657
Total,,,297,168,146,88,0,0,6,0,0,0,0,11,0,3,0,0,0,0,20,15,754,1313
Sección 2397 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,146,68,66,53,3,2,4,,,,,3,,0,,,2,,2,4,353,555
C1,AC,Urna tradicional,137,60,44,28,1,2,1,,,,,6,,1,,,0,,0,8,288,556
Total,,,283,128,110,81,4,4,5,0,0,0,0,9,0,1,0,0,2,0,2,12,641,1111
Sección 2398 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,131,62,51,22,0,2,5,,,,,2,,0,,,0,,0,5,280,453
C1,AC,Urna tradicional,125,76,30,25,1,1,4,,,,,4,,2,,,0,,0,7,275,454
Total,,,256,138,81,47,1,3,9,0,0,0,0,6,0,2,0,0,0,0,0,12,555,907
Sección 2399 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,164,67,42,22,2,1,2,,,,,2,,0,,,0,,0,12,314,533
C1,AC,Urna tradicional,148,82,28,19,1,1,1,,,,,3,,0,,,0,,0,4,287,533
C2,AC,Urna tradicional,157,78,34,20,1,9,4,,,,,3,,1,,,0,,0,0,307,534
Total,,,469,227,104,61,4,11,7,0,0,0,0,8,0,1,0,0,0,0,0,16,908,1600
Sección 2400 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,103,64,29,20,0,0,0,,,,,2,,2,,,4,,0,2,226,382
C1,AC,Urna tradicional,107,56,33,17,1,0,1,,,,,2,,0,,,1,,0,10,228,382
Total,,,210,120,62,37,1,0,1,0,0,0,0,4,0,2,0,0,5,0,0,12,454,764
Sección 2401 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,91,56,23,25,0,0,0,,,,,3,,1,,,0,,0,8,207,423
C1,AC,Urna tradicional,106,63,23,19,2,2,1,,,,,3,,1,,,1,,0,3,224,423
Total,,,197,119,46,44,2,2,1,0,0,0,0,6,0,2,0,0,1,0,0,11,431,846
Sección 2402 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,121,59,33,17,3,1,1,,,,,0,,0,,,1,,0,3,239,447
C1,AC,Urna tradicional,83,57,48,17,0,1,1,,,,,5,,1,,,0,,0,3,216,448
Total,,,204,116,81,34,3,2,2,0,0,0,0,5,0,1,0,0,1,0,0,6,455,895
Sección 2403 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,167,97,38,19,5,3,2,,,,,3,,0,,,0,,0,10,344,652
C1,AC,Urna tradicional,184,105,32,34,3,1,3,,,,,4,,0,,,1,,0,8,375,652
Total,,,351,202,70,53,8,4,5,0,0,0,0,7,0,0,0,0,1,0,0,18,719,1304
Sección 2404 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,183,99,32,42,0,0,0,,,,,0,,0,,,0,,0,7,363,603
C1,AC,Urna tradicional,186,85,30,29,0,1,3,,,,,3,,3,,,1,,0,4,345,603
C2,AC,Urna tradicional,181,105,24,25,1,0,3,,,,,5,,2,,,0,,0,10,356,603
Total,,,550,289,86,96,1,1,6,0,0,0,0,8,0,5,0,0,1,0,0,21,1064,1809
Sección 2405 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,155,58,26,24,1,3,1,,,,,4,,0,,,1,,0,2,275,505
C1,AC,Urna tradicional,114,101,34,24,2,0,0,,,,,4,,1,,,1,,0,11,292,505
Total,,,269,159,60,48,3,3,1,0,0,0,0,8,0,1,0,0,2,0,0,13,567,1010
Sección 2406 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,158,80,37,34,2,2,1,,,,,1,,0,,,0,,0,9,324,584
C1,AC,Urna tradicional,156,105,37,25,2,2,4,,,,,0,,0,,,0,,0,25,356,584
C2,AC,Urna tradicional,146,97,40,34,0,1,3,,,,,4,,2,,,1,,0,9,337,584
Total,,,460,282,114,93,4,5,8,0,0,0,0,5,0,2,0,0,1,0,0,43,1017,1752
Sección 2407 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,132,49,67,17,0,0,0,,,,,0,,0,,,0,,0,3,268,526
C1,AC,Urna tradicional,123,71,60,11,2,0,4,,,,,4,,2,,,0,,0,9,286,526
C2,AC,Urna tradicional,132,49,43,17,2,4,4,,,,,8,,1,,,2,,0,10,272,526
Total,,,387,169,170,45,4,4,8,0,0,0,0,12,0,3,0,0,2,0,0,22,826,1578
Sección 2408 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,198,83,46,37,6,0,1,,,,,2,,5,,,2,,1,6,387,667
C1,AC,Urna tradicional,193,78,47,24,1,3,4,,,,,3,,1,,,1,,0,9,364,667
Total,,,391,161,93,61,7,3,5,0,0,0,0,5,0,6,0,0,3,0,1,15,751,1334
Sección 2409 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,161,112,45,21,0,1,0,,,,,4,,1,,,0,,0,9,354,560
C1,AC,Urna tradicional,190,125,26,18,4,0,1,,,,,1,,2,,,2,,0,3,372,561
Total,,,351,237,71,39,4,1,1,0,0,0,0,5,0,3,0,0,2,0,0,12,726,1121
Sección 2410 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,178,79,49,24,4,1,2,,,,,7,,3,,,1,,0,8,356,638
C1,AC,Urna tradicional,179,77,38,24,3,1,3,,,,,6,,0,,,0,,2,12,345,638
Total,,,357,156,87,48,7,2,5,0,0,0,0,13,0,3,0,0,1,0,2,20,701,1276
Sección 2411 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,164,80,33,26,2,0,2,,,,,2,,2,,,0,,0,9,320,651
C1,AC,Urna tradicional,189,81,41,31,0,1,0,,,,,1,,5,,,0,,0,11,360,651
C2,AC,Urna tradicional,139,93,53,20,2,0,4,,,,,3,,1,,,2,,0,6,323,651
C3,AC,Urna tradicional,176,82,40,31,4,1,2,,,,,5,,2,,,1,,0,14,358,652
Total,,,668,336,167,108,8,2,8,0,0,0,0,11,0,10,0,0,3,0,0,40,1361,2605
Sección 2412 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,155,62,36,27,3,1,1,,,,,5,,0,,,1,,0,4,295,641
C1,AC,Urna tradicional,156,54,63,23,1,1,3,,,,,1,,3,,,0,,0,1,306,641
C2,AC,Urna tradicional,146,66,41,23,2,1,4,,,,,2,,2,,,0,,0,14,301,642
Total,,,457,182,140,73,6,3,8,0,0,0,0,8,0,5,0,0,1,0,0,19,902,1924
Sección 2413 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,116,41,62,9,4,0,1,,,,,1,,2,,,3,,0,9,248,585
C1,AC,Urna tradicional,134,62,70,12,0,2,2,,,,,3,,0,,,0,,0,10,295,586
Total,,,250,103,132,21,4,2,3,0,0,0,0,4,0,2,0,0,3,0,0,19,543,1171
Sección 2414 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,66,67,17,0,0,0,,,,,6,,0,,,0,,0,14,298,644
C1,AC,Urna tradicional,115,66,59,20,3,0,2,,,,,3,,5,,,2,,0,7,282,645
Total,,,243,132,126,37,3,0,2,0,0,0,0,9,0,5,0,0,2,0,0,21,580,1289
Sección 2415 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,185,99,53,23,5,7,1,,,,,0,,0,,,0,,0,5,378,713
C1,AC,Urna tradicional,190,87,60,31,4,1,3,,,,,6,,2,,,1,,0,12,397,714
Total,,,375,186,113,54,9,8,4,0,0,0,0,6,0,2,0,0,1,0,0,17,775,1427
Sección 2416 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,131,55,57,26,0,0,2,,,,,4,,3,,,0,,1,11,290,590
C1,AC,Urna tradicional,151,60,76,33,3,0,1,,,,,1,,5,,,0,,0,14,344,591
C2,AC,Urna tradicional,152,84,56,21,5,0,1,,,,,2,,0,,,0,,0,19,340,591
E1,AC,Urna tradicional,177,94,61,33,5,1,7,,,,,1,,0,,,2,,0,7,388,681
E1C1,AC,Urna tradicional,175,92,53,36,2,2,0,,,,,9,,0,,,0,,0,8,377,682
E1C2,AC,Urna tradicional,155,92,55,39,6,2,8,,,,,0,,2,,,0,,0,12,371,682
Total,,,941,477,358,188,21,5,19,0,0,0,0,17,0,10,0,0,2,0,1,71,2110,3817
Sección 2417 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,69,31,80,6,1,2,2,,,,,1,,0,,,1,,0,5,198,418
C1,AC,Urna tradicional,90,45,65,5,1,0,1,,,,,0,,1,,,0,,0,8,216,419
Total,,,159,76,145,11,2,2,3,0,0,0,0,1,0,1,0,0,1,0,0,13,414,837
Sección 2418 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,140,50,58,13,2,2,7,,,,,3,,4,,,0,,0,6,285,641
C1,AC,Urna tradicional,132,46,83,14,0,1,5,,,,,4,,3,,,2,,0,13,303,642
Total,,,272,96,141,27,2,3,12,0,0,0,0,7,0,7,0,0,2,0,0,19,588,1283
Sección 2419 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,74,113,107,16,2,3,1,,,,,0,,0,,,0,,0,13,329,571
C1,AC,Urna tradicional,88,148,91,21,0,0,0,,,,,0,,0,,,0,,0,11,359,572
Total,,,162,261,198,37,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,24,688,1143
Sección 2420 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,77,143,115,19,3,2,2,,,,,0,,0,,,0,,0,10,371,663
C1,AC,Urna tradicional,76,173,106,17,3,2,1,,,,,2,,2,,,0,,0,22,404,664
Total,,,153,316,221,36,6,4,3,0,0,0,0,2,0,2,0,0,0,0,0,32,775,1327
Sección 2421 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,30,78,122,2,1,1,,,,,0,,0,,,3,,1,24,298,662
C1,AC,Urna tradicional,46,32,79,98,8,0,0,,,,,1,,0,,,2,,0,15,281,662
Total,,,82,62,157,220,10,1,1,0,0,0,0,1,0,0,0,0,5,0,1,39,579,1324
Sección 2422 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,147,97,12,1,0,1,,,,,1,,2,,,1,,0,5,320,678
C1,AC,Urna tradicional,52,183,93,9,3,4,4,,,,,1,,6,,,0,,1,13,369,679
E1,AC,Urna tradicional,39,51,68,9,0,2,6,,,,,2,,3,,,0,,0,3,183,363
Total,,,144,381,258,30,4,6,11,0,0,0,0,4,0,11,0,0,1,0,1,21,872,1720
Sección 2423 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,165,103,20,5,2,1,,,,,1,,3,,,0,,0,17,357,629
C1,AC,Urna tradicional,65,142,117,21,5,2,0,,,,,1,,2,,,2,,0,9,366,629
E1,AC,Urna tradicional,84,69,68,10,2,0,2,,,,,6,,5,,,0,,0,6,252,432
Total,,,189,376,288,51,12,4,3,0,0,0,0,8,0,10,0,0,2,0,0,32,975,1690
Sección 2424 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,79,88,85,13,1,1,8,,,,,1,,2,,,0,,0,8,286,524
Total,,,79,88,85,13,1,1,8,0,0,0,0,1,0,2,0,0,0,0,0,8,286,524
Sección 2425 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,74,51,112,5,0,0,0,,,,,0,,0,,,0,,0,7,249,437
C1,AC,Urna tradicional,74,59,97,18,1,0,7,,,,,0,,0,,,0,,0,10,266,437
Total,,,148,110,209,23,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,515,874
Sección 2426 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,123,120,90,23,5,2,5,,,,,8,,3,,,1,,0,9,389,701
Total,,,123,120,90,23,5,2,5,0,0,0,0,8,0,3,0,0,1,0,0,9,389,701
Sección 2427 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,83,78,41,11,0,2,3,,,,,1,,4,,,4,,0,11,238,416
C1,AC,Urna tradicional,70,50,17,11,3,2,1,,,,,2,,2,,,3,,0,11,172,416
Total,,,153,128,58,22,3,4,4,0,0,0,0,3,0,6,0,0,7,0,0,22,410,832
Sección 2428 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,76,95,34,10,1,1,3,,,,,1,,5,,,2,,0,10,238,426
C1,AC,Urna tradicional,66,112,34,24,0,0,2,,,,,2,,1,,,0,,0,10,251,427
Total,,,142,207,68,34,1,1,5,0,0,0,0,3,0,6,0,0,2,0,0,20,489,853
Sección 2429 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,59,58,154,10,1,0,0,,,,,1,,1,,,0,,0,12,296,496
Total,,,59,58,154,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,296,496
Sección 2430 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,232,197,6,1,1,0,,,,,4,,0,,,0,,0,7,460,663
Total,,,12,232,197,6,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,7,460,663
Sección 2431 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,84,27,24,14,0,0,5,,,,,4,,0,,,2,,0,7,167,389
C1,AC,Urna tradicional,75,34,51,18,1,0,2,,,,,1,,0,,,2,,0,5,189,389
Total,,,159,61,75,32,1,0,7,0,0,0,0,5,0,0,0,0,4,0,0,12,356,778
Sección 2432 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,87,121,75,36,0,0,4,,,,,0,,0,,,0,,0,14,337,635
Total,,,87,121,75,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,337,635
Sección 2433 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,83,32,34,13,2,0,2,,,,,0,,2,,,1,,0,9,178,426
C1,AC,Urna tradicional,97,30,34,8,1,1,1,,,,,2,,1,,,1,,0,13,189,426
Total,,,180,62,68,21,3,1,3,0,0,0,0,2,0,3,0,0,2,0,0,22,367,852
Sección 2434 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,69,83,36,26,0,0,0,,,,,0,,0,,,0,,0,6,220,385
C1,AC,Urna tradicional,51,86,49,18,0,0,0,,,,,0,,0,,,0,,1,7,212,385
Total,,,120,169,85,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,432,770
Sección 2435 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,37,58,75,4,1,3,2,,,,,1,,1,,,0,,0,7,189,306
Total,,,37,58,75,4,1,3,2,0,0,0,0,1,0,1,0,0,0,0,0,7,189,306
Total municipal,,,12929,8692,6219,2560,198,131,222,0,0,0,0,275,0,149,0,0,78,0,31,1031,32515,60219
