ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_PRI_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,333,SAN PEDRO Y SAN PABLO AYUTLA,4,8,172,514,81,38,367,152,13,20,10,250,,0,36,17,,,,,,,3,1670,136,1809,3703,0.4885
20,OAXACA,397,SANTA MARIA ALOTEPEC,2,5,37,88,28,6,61,17,8,7,17,118,,3,4,4,,,,,,,0,398,75,473,1955,0.2419
20,OAXACA,436,SANTA MARIA TEPANTLALI,2,4,133,430,41,37,154,10,7,22,5,96,,3,9,5,,,,,,,1,952,71,1024,2040,0.5020
20,OAXACA,438,SANTA MARIA TLAHUITOLTEPEC,4,10,111,203,88,77,723,38,20,35,24,353,,26,4,7,,,,,,,3,1709,153,1865,5628,0.3314
20,OAXACA,455,SANTIAGO ATITLAN,2,4,104,291,43,15,156,21,105,17,13,162,,2,23,10,,,,,,,0,962,57,1019,2098,0.4857
20,OAXACA,460,SANTIAGO CHOAPAM,3,5,51,751,79,12,131,4,5,9,6,143,,3,18,17,,,,,,,2,1229,57,1288,2182,0.5903
20,OAXACA,466,SANTIAGO IXCUINTEPEC,1,2,56,308,36,3,35,1,0,3,1,65,,0,2,2,,,,,,,0,512,7,519,955,0.5435
20,OAXACA,499,SANTIAGO YAVEO,5,10,211,744,137,22,1050,4,3,8,5,131,,3,37,14,,,,,,,1,2369,103,2473,4460,0.5545
20,OAXACA,503,SANTIAGO ZACATEPEC,4,7,113,371,116,35,316,5,16,24,16,240,,4,17,15,,,,,,,0,1288,95,1383,3189,0.4337
20,OAXACA,517,SANTO DOMINGO TEPUXTEPEC,3,6,106,533,37,55,167,10,11,213,4,103,,2,3,12,,,,,,,0,1256,110,1366,3416,0.3999
20,OAXACA,540,TAMAZULAPAM DEL ESPIRITU SANTO,5,9,175,224,132,41,606,16,9,53,157,253,,4,13,6,,,,,,,2,1689,116,1807,4964,0.3640
20,OAXACA,554,TOTONTEPEC VILLA DE MORELOS,5,8,281,339,95,28,236,53,11,16,7,341,,2,53,7,,,,,,,0,1469,90,1559,3613,0.4315
