ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,C_COMUN_PRI_PVEM_PT_NVA_ALIANZA,C_COMUN_PRI_PVEM_PT,C_COMUN_PRI_PT_NVA_ALIANZA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,23,GALEANA,3,8,311,1267,55,18,22,19,98,526,11,,,,,,4,2327,138,2469,3999,0.6174
8,CHIHUAHUA,24,SANTA ISABEL,7,9,1497,,13,32,,11,,54,10,,,870,,,1,2487,113,2601,4035,0.6446
8,CHIHUAHUA,25,GOMEZ FARIAS,15,16,928,1769,85,33,141,14,101,180,33,,,,,,5,3284,262,3551,7285,0.4874
8,CHIHUAHUA,26,GRAN MORELOS,13,13,912,,33,24,,13,,13,8,,,848,,,2,1851,80,1933,3243,0.5961
8,CHIHUAHUA,27,GUACHOCHI,43,67,4415,6473,417,316,378,656,1861,346,324,,,,,,22,15186,2602,17810,33832,0.5264
8,CHIHUAHUA,28,GUADALUPE,8,12,605,1159,61,21,15,20,67,287,13,,,,,,1,2248,151,2400,5296,0.4532
8,CHIHUAHUA,29,GUADALUPE Y CALVO,31,57,1645,7837,94,272,162,164,1415,240,19,,,,,,4,11848,1068,12920,29607,0.4364
8,CHIHUAHUA,30,GUAZAPARES,14,18,1195,,19,32,27,682,,105,7,,,,,1622,1,3689,361,4051,6758,0.5994
8,CHIHUAHUA,31,GUERRERO,68,82,4731,,862,224,100,103,,247,445,,,,,7359,5,14071,794,14870,30026,0.4952
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,86,157,14605,,855,1406,,4383,,2777,2478,,,18744,,,170,45248,2792,48210,83776,0.5755
8,CHIHUAHUA,33,HUEJOTITAN,2,2,593,,7,3,,10,,5,5,,,458,,,0,1081,21,1102,1402,0.786
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,14,16,1253,849,75,22,22,672,91,223,8,,,,,,0,3215,263,3478,6097,0.5704
8,CHIHUAHUA,35,JANOS,12,18,655,1196,25,29,36,1377,127,12,22,,,,,,2,3479,105,3586,7325,0.4896
8,CHIHUAHUA,36,JIMENEZ,36,58,3778,,1099,,1182,3674,434,1156,122,,,,4307,,4,15752,589,16345,29522,0.5537
8,CHIHUAHUA,37,JUAREZ,1174,1935,122749,66864,10940,12246,6015,34757,23526,48986,28809,30862,12771,,,,4015,398525,26248,428788,1023228,0.4191
8,CHIHUAHUA,38,JULIMES,6,9,1324,1095,45,31,18,26,150,53,12,,,,,,3,2754,124,2881,4656,0.6188
8,CHIHUAHUA,39,LOPEZ,6,8,669,,63,,572,57,90,171,27,,,,641,,0,2290,139,2429,3484,0.6972
8,CHIHUAHUA,40,MADERA,47,59,6648,3621,742,119,105,172,325,107,190,,,,,,2,12029,534,12565,22370,0.5617
8,CHIHUAHUA,41,MAGUARICHI,5,5,131,,2,8,1,6,,5,2,,,,,584,0,739,34,773,1414,0.5467
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,165,650,33,40,410,0,17,4,1,,,,,,0,1320,52,1372,1927,0.712
8,CHIHUAHUA,43,MATACHI,7,8,684,,22,15,7,273,,19,5,,,,,544,1,1569,86,1656,2636,0.6282
8,CHIHUAHUA,44,MATAMOROS,8,10,1262,,44,28,,211,,34,17,,,816,,,0,2412,135,2547,3959,0.6433
8,CHIHUAHUA,45,MEOQUI,35,64,5235,4025,821,215,189,2192,1303,690,482,,,,,,136,15152,680,15968,33726,0.4735
8,CHIHUAHUA,46,MORELOS,8,11,981,1608,766,14,42,6,99,6,2,,,,,,0,3524,244,3768,5331,0.7068
8,CHIHUAHUA,47,MORIS,8,11,1047,,10,14,0,219,,4,3,,,,,1107,0,2404,104,2508,4012,0.6251
8,CHIHUAHUA,48,NAMIQUIPA,44,51,3428,,896,328,34,59,,333,25,,,,,2983,2,8086,539,8627,18913,0.4561
8,CHIHUAHUA,49,NONOAVA,5,7,1073,,8,9,,8,,5,0,,,919,,,1,2022,42,2065,2547,0.8108
8,CHIHUAHUA,50,NVO. CASAS GRANDES,64,90,6730,5797,3556,603,1169,814,1608,844,586,,,,,,14,21707,923,22644,47026,0.4815
8,CHIHUAHUA,51,OCAMPO,14,16,848,,187,664,18,249,,52,22,,,,,1468,0,3508,274,3782,5813,0.6506
8,CHIHUAHUA,52,OJINAGA,26,42,5409,4525,74,104,267,71,293,142,59,,,,,,4,10944,665,11613,21390,0.5429
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,12,796,1171,454,25,29,94,81,94,63,,,,,,1,2807,171,2979,6141,0.4851
8,CHIHUAHUA,54,RIVA PALACIO,8,15,1411,,29,,,9,,18,10,1132,,,,,1,2609,80,2690,7330,0.367
8,CHIHUAHUA,55,ROSALES,16,26,3025,,783,65,75,90,,254,179,,,,,2637,1,7108,304,7413,13135,0.5644
8,CHIHUAHUA,56,ROSARIO,4,4,812,,11,7,,1,,0,3,,,737,,,0,1571,18,1589,2007,0.7917
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,805,,2,11,,32,,7,4,,,716,,,0,1577,65,1642,2358,0.6964
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,792,,232,,8,52,91,22,4,,,,584,,0,1785,38,1823,2590,0.7039
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,409,,821,38,,69,,37,76,,,1425,,,0,2875,124,2999,4295,0.6983
8,CHIHUAHUA,60,SANTA BARBARA,20,22,1091,,1751,78,,958,,170,116,,,1263,,,6,5427,237,5670,8584,0.6605
8,CHIHUAHUA,61,SATEVO,13,13,1497,,7,15,,4,,18,21,,,1188,,,0,2750,111,2861,4088,0.6999
8,CHIHUAHUA,62,SAUCILLO,32,45,5095,,1558,,124,157,655,296,194,,,,4143,,2,12222,480,12704,24234,0.5242
8,CHIHUAHUA,63,TEMOSACHIC,13,16,1284,,28,41,14,62,,44,10,,,,,1408,0,2891,165,3056,5315,0.575
8,CHIHUAHUA,64,EL TULE,6,6,836,,0,4,,9,,6,0,,,793,,,0,1648,22,1670,2210,0.7557
8,CHIHUAHUA,65,URIQUE,16,28,2915,3281,137,58,72,37,274,17,5,,,,,,0,6796,557,7353,13291,0.5532
8,CHIHUAHUA,66,URUACHI,11,15,1159,,341,42,15,8,,4,5,,,,,1418,0,2992,212,3204,5462,0.5866
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,13,15,604,,450,34,,64,,13,13,,,1455,,,1,2633,152,2786,4346,0.641
