ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,66,PARACHO,16,42,959,3040,7706,223,210,411,329,499,766,78,1,14221,736,14958,23630,0.6330
16,MICHOACAN,67,PÁTZCUARO,42,109,5480,7094,9177,665,3871,1525,837,1904,0,779,91,31332,2397,33820,63415,0.5333
16,MICHOACAN,68,PENJAMILLO,19,28,829,3526,3287,55,113,12,30,277,32,36,0,8197,234,8431,15439,0.5461
16,MICHOACAN,69,PERIBÁN,12,28,3623,2261,1936,93,1760,269,88,124,0,77,10,10231,382,10623,17592,0.6039
16,MICHOACAN,70,LA PIEDAD,61,132,10230,14541,4392,535,776,226,926,1110,266,254,12,33256,1154,34422,74177,0.4641
16,MICHOACAN,71,PURÉPERO,11,22,2092,1031,1633,427,824,66,1464,238,0,70,4,7845,408,8257,12463,0.6625
16,MICHOACAN,72,PURUÁNDIRO,45,93,2901,6409,7364,2458,820,13,1362,844,0,669,39,22840,1577,24456,54147,0.4517
16,MICHOACAN,73,QUERÉNDARO,14,23,179,866,1073,108,127,20,237,80,1,21,2,2712,160,2874,10469,0.2745
16,MICHOACAN,74,QUIROGA,14,35,3905,3785,1827,111,445,978,88,378,0,441,9,11958,681,12648,19504,0.6485
16,MICHOACAN,75,COJUMATLÁN DE RÉGULES,9,17,349,1868,2711,21,53,26,57,28,0,7,4,5120,96,5220,7859,0.6642
16,MICHOACAN,76,LOS REYES,35,83,6740,7765,6977,519,677,1230,289,451,0,164,18,24812,920,25750,47180,0.5458
16,MICHOACAN,77,SAHUAYO,49,92,11732,9389,3656,284,955,653,456,875,0,236,13,28236,964,29213,50740,0.5757
16,MICHOACAN,78,SAN LUCAS,19,27,131,2190,2686,2497,43,28,49,198,18,10,1,7850,226,8077,13072,0.6179
16,MICHOACAN,79,SANTA ANA MAYA,11,18,1088,1403,734,295,96,907,94,573,0,50,1,5240,294,5535,10472,0.5286
16,MICHOACAN,80,SALVADOR ESCALANTE,24,54,1412,4499,8390,859,1112,281,305,539,0,254,31,17651,1686,19368,32080,0.6037
16,MICHOACAN,81,SENGUIO,11,25,1519,3287,1794,58,763,1105,128,106,28,40,3,8828,383,9214,14232,0.6474
16,MICHOACAN,82,SUSUPUATO,10,15,221,1979,1717,29,22,1065,8,50,13,9,0,5113,150,5263,6773,0.7771
16,MICHOACAN,83,TACÁMBARO,38,88,6095,9746,6670,419,687,0,1202,1176,0,285,10,26280,1442,27732,50575,0.5483
16,MICHOACAN,84,TANCÍTARO,15,32,1603,1412,1229,263,866,1258,134,479,0,50,15,7294,702,8011,19282,0.4155
16,MICHOACAN,85,TANGAMANDAPIO,14,38,3194,3765,3303,102,224,208,97,383,80,140,2,11496,406,11904,20343,0.5852
16,MICHOACAN,86,TANGANCÍCUARO,27,50,3285,2924,1796,117,1403,251,190,567,154,623,5,11310,565,11880,25278,0.4700
16,MICHOACAN,87,TANHUATO,11,21,1477,1684,2008,55,101,27,34,128,21,16,0,5551,221,5772,11131,0.5186
16,MICHOACAN,88,TARETAN,9,19,2503,2230,1560,54,148,38,67,94,94,19,0,6807,248,7055,10543,0.6692
16,MICHOACAN,89,TARÍMBARO,40,97,4538,5562,5887,6355,1248,1331,496,965,0,804,31,27186,1491,28708,55484,0.5174
16,MICHOACAN,90,TEPALCATEPEC,16,28,2526,2089,2543,127,94,0,202,138,41,16,5,7776,225,8006,16097,0.4974
16,MICHOACAN,91,TINGAMBATO,7,17,151,1127,2759,25,76,28,30,490,0,30,0,4716,187,4903,9899,0.4953
16,MICHOACAN,92,TINGÜINDÍN,11,21,1965,1912,2334,59,112,50,49,57,0,38,4,6576,212,6792,10611,0.6401
16,MICHOACAN,93,TIQUICHEO DE NICOLÁS ROMERO,11,18,193,1995,2544,43,1359,16,36,47,13,2,1,6248,240,6489,9915,0.6545
16,MICHOACAN,94,TLALPUJAHUA,15,36,1329,2447,3845,743,231,1148,1636,342,485,225,0,12431,559,12990,18989,0.6841
16,MICHOACAN,95,TLAZAZALCA,12,13,298,1600,1559,29,24,11,19,220,0,13,1,3773,83,3857,7569,0.5096
16,MICHOACAN,96,TOCUMBO,12,18,768,1014,1068,556,982,250,50,40,0,158,1,4886,228,5115,8668,0.5901
16,MICHOACAN,97,TUMBISCATÍO,7,11,42,1301,1263,14,51,1155,7,11,0,0,1,3844,75,3920,5803,0.6755
16,MICHOACAN,98,TURICATO,36,49,1730,6107,5961,125,127,0,119,384,0,38,4,14591,555,15150,23784,0.6370
16,MICHOACAN,99,TÚXPAN,17,34,447,1324,2515,198,219,307,389,39,0,4,2,5442,302,5746,18365,0.3129
16,MICHOACAN,100,TUZANTLA,20,27,734,3631,4246,37,56,44,51,60,22,15,2,8896,256,9154,12649,0.7237
16,MICHOACAN,101,TZINTZUNTZAN,9,18,655,1688,2349,108,154,756,62,864,0,57,19,6693,409,7121,10456,0.6810
16,MICHOACAN,102,TZITZIO,15,20,586,1797,615,41,430,91,73,517,22,9,6,4181,213,4400,7401,0.5945
16,MICHOACAN,103,URUAPAN,142,379,25576,21789,24470,2423,4535,2303,3269,5114,3748,1323,147,94550,5317,100014,222836,0.4488
16,MICHOACAN,104,VENUSTIANO CARRANZA,22,37,3311,2846,4701,39,122,295,338,273,0,23,1,11948,255,12204,18139,0.6728
16,MICHOACAN,105,VILLAMAR,18,34,1285,2525,2118,248,112,29,760,241,40,15,1,7373,399,7773,15335,0.5069
16,MICHOACAN,106,VISTA HERMOSA,13,26,655,2317,1899,68,1939,172,118,1174,0,27,1,8369,289,8659,14275,0.6066
16,MICHOACAN,107,YURÉCUARO,19,38,1281,3506,2856,158,198,93,150,3598,106,52,16,11998,770,12784,21084,0.6063
16,MICHOACAN,108,ZACAPU,47,96,5752,5856,5618,1487,1467,4911,790,2107,0,369,51,28357,2061,30469,55807,0.5460
16,MICHOACAN,109,ZAMORA,96,238,14199,13095,7101,5592,2648,3468,1476,4280,1188,1474,109,54521,2905,57535,136998,0.4200
16,MICHOACAN,110,ZINÁPARO,7,7,345,877,779,14,8,1,1,23,3,3,0,2054,50,2104,3459,0.6083
16,MICHOACAN,111,ZINAPÉCUARO,32,67,2097,6078,4514,212,1900,1289,554,1439,0,505,11,18588,1121,19720,36982,0.5332
16,MICHOACAN,112,ZIRACUARETIRO,8,19,1290,2507,2854,60,114,25,116,386,107,24,1,7483,216,7700,11095,0.6940
16,MICHOACAN,113,ZITÁCUARO,82,188,11499,13083,14661,2461,1485,2219,2752,3096,1764,1275,63,54295,3512,57870,107222,0.5397
