ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
16,MICHOACAN,91,TINGAMBATO,5,12,105,1044,1966,91,175,52,18,1439,35,,,,10,15,0,5,16,,,,,,4971,1,289,5261,7186
16,MICHOACAN,92,TINGÜINDÍN,11,21,2370,1405,517,119,608,86,122,1234,34,,8,9,,,,,18,,,,,,6530,6,242,6778,11042
16,MICHOACAN,93,TIQUICHEO DE NICOLAS ROMERO,11,18,127,748,2337,100,1499,80,267,378,832,,,,11,15,2,7,14,,,,,,6417,0,641,7058,10019
16,MICHOACAN,94,TLALPUJAHUA,15,34,779,1365,1329,505,1702,1282,1694,2371,1020,90,,,,,,,149,,,,,,12286,18,1090,13394,19522
16,MICHOACAN,95,TLAZAZALCA,12,14,243,1001,1134,65,70,35,104,755,15,,,,17,19,1,2,,,,,,,3461,0,248,3709,7866
16,MICHOACAN,96,TOCUMBO,12,19,1111,593,290,282,1357,974,49,1263,39,,25,48,,,,,6,,,,,,6037,13,401,6451,9663
16,MICHOACAN,97,TUMBISCATIO,7,11,26,1160,504,44,43,846,9,923,,,,,27,0,4,23,10,,,,,,3619,0,116,3735,5472
16,MICHOACAN,98,TURICATO,35,49,451,1368,6527,411,2527,250,99,2409,77,,,,97,78,5,38,38,,,,,,14375,41,1252,15668,24434
16,MICHOACAN,99,TUXPAN,17,35,486,1268,4199,242,2703,193,121,3230,146,,,,77,40,3,18,48,,,,,,12774,7,798,13579,19132
16,MICHOACAN,100,TUZANTLA,20,26,131,1413,4203,155,49,59,41,2569,34,,,,34,38,3,14,63,,,,,,8806,0,364,9170,12468
16,MICHOACAN,101,TZINTZUNTZAN,9,19,259,1734,1004,159,267,427,728,1882,657,,,,24,10,3,9,12,,,,,,7175,2,617,7794,10990
16,MICHOACAN,102,TZITZIO,15,20,400,1478,1906,86,149,53,31,553,23,,,,28,42,1,7,10,,,,,,4767,1,298,5066,7622
16,MICHOACAN,103,URUAPAN,142,402,18603,10545,30816,6532,5088,2739,1806,39720,3042,,227,373,,,,,955,,,,,,120446,191,7686,128323,239846
16,MICHOACAN,104,VENUSTIANO CARRANZA,22,37,1058,1323,2244,213,153,2567,155,2775,61,,,,222,108,27,24,28,,,,,,10958,1,852,11811,18448
16,MICHOACAN,105,VILLAMAR,18,34,2188,610,1140,220,122,141,74,1950,41,,20,11,,,,,12,,,,,,6529,0,528,7057,15736
16,MICHOACAN,106,VISTA HERMOSA,13,26,688,3293,293,150,601,144,124,3071,73,,,,75,5,1,1,28,,,,,,8547,0,456,9003,14798
16,MICHOACAN,107,YURÉCUARO,19,38,1189,1339,1128,226,932,790,2158,3802,715,95,,,,,,,,,,,,,12374,5,737,13116,21968
16,MICHOACAN,108,ZACAPU,47,101,2132,2005,1855,1419,10819,2082,479,10428,628,,,,43,24,86,29,,,,,,,32029,34,2584,34647,58064
16,MICHOACAN,109,ZAMORA,96,250,11672,10381,2715,7595,8696,5480,888,19716,1337,,,380,,,,,1082,,,,,,69942,88,3807,73837,144445
16,MICHOACAN,110,ZINÁPARO,7,7,176,677,811,51,26,15,11,204,10,26,,,,,,,,,,,,,2007,0,124,2131,3597
16,MICHOACAN,111,ZINAPÉCUARO,32,70,1854,3873,4330,457,1005,681,922,5214,440,,,,449,88,16,35,144,,,,,,19508,17,1989,21514,38035
16,MICHOACAN,112,ZIRACUARETIRO,8,21,460,2179,1726,182,151,170,118,2374,119,,,,54,45,1,5,18,,,,,,7602,4,544,8150,12333
16,MICHOACAN,113,ZITÁCUARO,82,195,5661,8306,14835,3785,4013,1324,1272,19620,2417,,,,505,360,55,88,749,,,,,,62990,65,5198,68253,114030
