CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,C,3,0,C03,99,15,31,17,46,13,13,120,36,4,7,1,0,9,2,3,8,0,424,0,9,433,646,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,C,1,0,C01,78,25,35,13,36,14,7,139,34,1,8,0,0,11,2,2,5,7,417,0,12,429,646,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,C,2,0,C02,76,26,35,12,35,12,2,118,37,8,6,1,2,6,2,2,5,11,396,3,22,421,646,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,B,1,0,B,66,30,19,10,7,7,0,103,25,3,2,1,1,2,0,5,5,10,296,0,20,316,606,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,C,3,0,C03,52,23,23,17,42,14,0,99,47,6,3,4,2,11,2,1,0,12,358,0,17,375,606,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,C,4,0,C04,63,24,24,18,37,12,9,98,35,6,3,2,6,2,0,4,3,15,361,0,11,372,605,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,C,1,0,C01,54,25,26,13,39,9,10,108,31,5,0,0,4,4,1,0,0,11,340,0,8,348,606,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,C,2,0,C02,65,34,26,20,35,11,0,106,28,4,2,0,0,13,2,1,3,10,360,20,20,400,606,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,B,1,0,B,66,20,27,14,57,11,12,162,40,3,9,0,1,16,3,1,7,16,465,0,16,481,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,1,0,C01,93,26,28,18,40,14,8,145,43,3,12,3,0,0,1,1,7,22,464,0,13,477,743,Grupo de recuento,,,
