section,uniqueid,year,incumbent_party_Horacio
41,1001,2007,PRI
275,1001,2007,PRI
536,1001,2007,PRI
583,1001,2007,PRI
233,1001,2007,PRI
578,1001,2007,PRI
142,1001,2007,PRI
260,1001,2007,PRI
563,1001,2007,PRI
589,1001,2007,PRI
38,1001,2007,PRI
226,1001,2007,PRI
292,1001,2007,PRI
253,1001,2007,PRI
135,1001,2007,PRI
139,1001,2007,PRI
196,1001,2007,PRI
113,1001,2007,PRI
591,1001,2007,PRI
496,1001,2007,PRI
77,1001,2007,PRI
18,1001,2007,PRI
191,1001,2007,PRI
155,1001,2007,PRI
212,1001,2007,PRI
13,1001,2007,PRI
557,1001,2007,PRI
76,1001,2007,PRI
19,1001,2007,PRI
148,1001,2007,PRI
273,1001,2007,PRI
203,1001,2007,PRI
137,1001,2007,PRI
181,1001,2007,PRI
227,1001,2007,PRI
515,1001,2007,PRI
521,1001,2007,PRI
29,1001,2007,PRI
211,1001,2007,PRI
509,1001,2007,PRI
69,1001,2007,PRI
582,1001,2007,PRI
314,1001,2007,PRI
522,1001,2007,PRI
271,1001,2007,PRI
519,1001,2007,PRI
153,1001,2007,PRI
186,1001,2007,PRI
333,1001,2007,PRI
104,1001,2007,PRI
34,1001,2007,PRI
109,1001,2007,PRI
130,1001,2007,PRI
159,1001,2007,PRI
246,1001,2007,PRI
327,1001,2007,PRI
317,1001,2007,PRI
163,1001,2007,PRI
304,1001,2007,PRI
306,1001,2007,PRI
187,1001,2007,PRI
128,1001,2007,PRI
214,1001,2007,PRI
118,1001,2007,PRI
4,1001,2007,PRI
587,1001,2007,PRI
87,1001,2007,PRI
531,1001,2007,PRI
216,1001,2007,PRI
167,1001,2007,PRI
68,1001,2007,PRI
511,1001,2007,PRI
92,1001,2007,PRI
312,1001,2007,PRI
154,1001,2007,PRI
185,1001,2007,PRI
175,1001,2007,PRI
129,1001,2007,PRI
558,1001,2007,PRI
194,1001,2007,PRI
223,1001,2007,PRI
123,1001,2007,PRI
495,1001,2007,PRI
294,1001,2007,PRI
566,1001,2007,PRI
188,1001,2007,PRI
62,1001,2007,PRI
151,1001,2007,PRI
490,1001,2007,PRI
74,1001,2007,PRI
160,1001,2007,PRI
325,1001,2007,PRI
562,1001,2007,PRI
239,1001,2007,PRI
10,1001,2007,PRI
529,1001,2007,PRI
110,1001,2007,PRI
127,1001,2007,PRI
528,1001,2007,PRI
93,1001,2007,PRI
174,1001,2007,PRI
75,1001,2007,PRI
27,1001,2007,PRI
99,1001,2007,PRI
33,1001,2007,PRI
190,1001,2007,PRI
506,1001,2007,PRI
232,1001,2007,PRI
26,1001,2007,PRI
264,1001,2007,PRI
81,1001,2007,PRI
158,1001,2007,PRI
503,1001,2007,PRI
530,1001,2007,PRI
491,1001,2007,PRI
300,1001,2007,PRI
259,1001,2007,PRI
140,1001,2007,PRI
171,1001,2007,PRI
322,1001,2007,PRI
8,1001,2007,PRI
61,1001,2007,PRI
237,1001,2007,PRI
46,1001,2007,PRI
266,1001,2007,PRI
95,1001,2007,PRI
593,1001,2007,PRI
579,1001,2007,PRI
568,1001,2007,PRI
514,1001,2007,PRI
247,1001,2007,PRI
132,1001,2007,PRI
173,1001,2007,PRI
592,1001,2007,PRI
240,1001,2007,PRI
20,1001,2007,PRI
96,1001,2007,PRI
335,1001,2007,PRI
157,1001,2007,PRI
280,1001,2007,PRI
309,1001,2007,PRI
537,1001,2007,PRI
286,1001,2007,PRI
301,1001,2007,PRI
101,1001,2007,PRI
526,1001,2007,PRI
265,1001,2007,PRI
22,1001,2007,PRI
79,1001,2007,PRI
336,1001,2007,PRI
141,1001,2007,PRI
492,1001,2007,PRI
261,1001,2007,PRI
323,1001,2007,PRI
295,1001,2007,PRI
249,1001,2007,PRI
573,1001,2007,PRI
7,1001,2007,PRI
133,1001,2007,PRI
236,1001,2007,PRI
105,1001,2007,PRI
553,1001,2007,PRI
56,1001,2007,PRI
276,1001,2007,PRI
112,1001,2007,PRI
330,1001,2007,PRI
100,1001,2007,PRI
525,1001,2007,PRI
267,1001,2007,PRI
106,1001,2007,PRI
518,1001,2007,PRI
80,1001,2007,PRI
60,1001,2007,PRI
251,1001,2007,PRI
102,1001,2007,PRI
152,1001,2007,PRI
303,1001,2007,PRI
183,1001,2007,PRI
83,1001,2007,PRI
71,1001,2007,PRI
278,1001,2007,PRI
205,1001,2007,PRI
189,1001,2007,PRI
290,1001,2007,PRI
85,1001,2007,PRI
502,1001,2007,PRI
510,1001,2007,PRI
272,1001,2007,PRI
577,1001,2007,PRI
580,1001,2007,PRI
15,1001,2007,PRI
533,1001,2007,PRI
489,1001,2007,PRI
145,1001,2007,PRI
146,1001,2007,PRI
84,1001,2007,PRI
543,1001,2007,PRI
21,1001,2007,PRI
202,1001,2007,PRI
32,1001,2007,PRI
287,1001,2007,PRI
192,1001,2007,PRI
545,1001,2007,PRI
283,1001,2007,PRI
91,1001,2007,PRI
162,1001,2007,PRI
168,1001,2007,PRI
48,1001,2007,PRI
116,1001,2007,PRI
263,1001,2007,PRI
497,1001,2007,PRI
535,1001,2007,PRI
243,1001,2007,PRI
532,1001,2007,PRI
576,1001,2007,PRI
505,1001,2007,PRI
244,1001,2007,PRI
262,1001,2007,PRI
258,1001,2007,PRI
279,1001,2007,PRI
224,1001,2007,PRI
231,1001,2007,PRI
574,1001,2007,PRI
124,1001,2007,PRI
206,1001,2007,PRI
67,1001,2007,PRI
120,1001,2007,PRI
539,1001,2007,PRI
178,1001,2007,PRI
302,1001,2007,PRI
11,1001,2007,PRI
315,1001,2007,PRI
3,1001,2007,PRI
504,1001,2007,PRI
126,1001,2007,PRI
218,1001,2007,PRI
52,1001,2007,PRI
352,1002,2007,PRI
350,1002,2007,PRI
338,1002,2007,PRI
347,1002,2007,PRI
346,1002,2007,PRI
353,1002,2007,PRI
341,1002,2007,PRI
343,1002,2007,PRI
354,1002,2007,PRI
345,1002,2007,PRI
339,1002,2007,PRI
351,1002,2007,PRI
344,1002,2007,PRI
349,1002,2007,PRI
348,1002,2007,PRI
342,1002,2007,PRI
340,1002,2007,PRI
355,1003,2007,PAN_PANAL
381,1003,2007,PAN_PANAL
364,1003,2007,PAN_PANAL
357,1003,2007,PAN_PANAL
363,1003,2007,PAN_PANAL
373,1003,2007,PAN_PANAL
375,1003,2007,PAN_PANAL
358,1003,2007,PAN_PANAL
386,1003,2007,PAN_PANAL
360,1003,2007,PAN_PANAL
383,1003,2007,PAN_PANAL
359,1003,2007,PAN_PANAL
380,1003,2007,PAN_PANAL
362,1003,2007,PAN_PANAL
377,1003,2007,PAN_PANAL
376,1003,2007,PAN_PANAL
361,1003,2007,PAN_PANAL
372,1003,2007,PAN_PANAL
378,1003,2007,PAN_PANAL
365,1003,2007,PAN_PANAL
379,1003,2007,PAN_PANAL
487,1003,2007,NA
374,1003,2007,PAN_PANAL
356,1003,2007,PAN_PANAL
366,1003,2007,PAN_PANAL
370,1003,2007,PAN_PANAL
369,1003,2007,PAN_PANAL
368,1003,2007,PAN_PANAL
371,1003,2007,PAN_PANAL
367,1003,2007,PAN_PANAL
385,1003,2007,PAN_PANAL
382,1003,2007,PAN_PANAL
384,1003,2007,PAN_PANAL
389,1004,2007,PRI
391,1004,2007,PRI
388,1004,2007,PRI
390,1004,2007,PRI
387,1004,2007,PRI
392,1005,2007,PRI
406,1005,2007,PRI
412,1005,2007,PRI
400,1005,2007,PRI
395,1005,2007,PRI
401,1005,2007,PRI
409,1005,2007,PRI
405,1005,2007,PRI
397,1005,2007,PRI
407,1005,2007,PRI
403,1005,2007,PRI
399,1005,2007,PRI
402,1005,2007,PRI
410,1005,2007,PRI
398,1005,2007,PRI
413,1005,2007,PRI
408,1005,2007,PRI
396,1005,2007,PRI
411,1005,2007,PRI
393,1005,2007,PRI
414,1005,2007,PRI
394,1005,2007,PRI
425,1006,2007,PAN_PANAL
426,1006,2007,PAN_PANAL
415,1006,2007,PAN_PANAL
418,1006,2007,PAN_PANAL
422,1006,2007,PAN_PANAL
424,1006,2007,PAN_PANAL
488,1006,2007,PAN_PANAL
416,1006,2007,PAN_PANAL
428,1006,2007,PAN_PANAL
427,1006,2007,PAN_PANAL
430,1006,2007,PAN_PANAL
421,1006,2007,PAN_PANAL
420,1006,2007,PAN_PANAL
423,1006,2007,PAN_PANAL
417,1006,2007,PAN_PANAL
419,1006,2007,PAN_PANAL
429,1006,2007,PAN_PANAL
449,1007,2007,PVEM
437,1007,2007,PVEM
443,1007,2007,PVEM
431,1007,2007,PVEM
436,1007,2007,PVEM
450,1007,2007,PVEM
451,1007,2007,PVEM
439,1007,2007,PVEM
444,1007,2007,PVEM
448,1007,2007,PVEM
433,1007,2007,PVEM
434,1007,2007,PVEM
440,1007,2007,PVEM
446,1007,2007,PVEM
445,1007,2007,PVEM
435,1007,2007,PVEM
442,1007,2007,PVEM
432,1007,2007,PVEM
438,1007,2007,PVEM
447,1007,2007,PVEM
441,1007,2007,PVEM
458,1008,2007,PAN_PANAL
456,1008,2007,PAN_PANAL
459,1008,2007,PAN_PANAL
455,1008,2007,PAN_PANAL
454,1008,2007,PAN_PANAL
452,1008,2007,PAN_PANAL
457,1008,2007,PAN_PANAL
453,1008,2007,PAN_PANAL
468,1009,2007,PAN_PANAL
466,1009,2007,PAN_PANAL
460,1009,2007,PAN_PANAL
461,1009,2007,PAN_PANAL
462,1009,2007,PAN_PANAL
465,1009,2007,PAN_PANAL
469,1009,2007,PAN_PANAL
467,1009,2007,PAN_PANAL
464,1009,2007,PAN_PANAL
463,1009,2007,PAN_PANAL
480,1010,2007,PRI
481,1010,2007,PRI
484,1010,2007,PRI
485,1010,2007,PRI
486,1010,2007,PRI
482,1010,2007,PRI
483,1010,2007,PRI
479,1010,2007,PRI
473,1011,2007,PVEM
470,1011,2007,PVEM
472,1011,2007,PVEM
404,1011,2007,PVEM
476,1011,2007,PVEM
474,1011,2007,PVEM
477,1011,2007,PVEM
478,1011,2007,PVEM
471,1011,2007,PVEM
475,1011,2007,PVEM
298,1001,2010,PRI_PVEM_PANAL
276,1001,2010,PRI_PVEM_PANAL
96,1001,2010,PRI_PVEM_PANAL
154,1001,2010,PRI_PVEM_PANAL
223,1001,2010,PRI_PVEM_PANAL
519,1001,2010,PRI_PVEM_PANAL
523,1001,2010,PRI_PVEM_PANAL
1,1001,2010,PRI_PVEM_PANAL
525,1001,2010,PRI_PVEM_PANAL
552,1001,2010,PRI_PVEM_PANAL
530,1001,2010,PRI_PVEM_PANAL
119,1001,2010,PRI_PVEM_PANAL
21,1001,2010,PRI_PVEM_PANAL
538,1001,2010,PRI_PVEM_PANAL
539,1001,2010,PRI_PVEM_PANAL
214,1001,2010,PRI_PVEM_PANAL
124,1001,2010,PRI_PVEM_PANAL
511,1001,2010,PRI_PVEM_PANAL
507,1001,2010,PRI_PVEM_PANAL
209,1001,2010,PRI_PVEM_PANAL
312,1001,2010,PRI_PVEM_PANAL
160,1001,2010,PRI_PVEM_PANAL
