CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,169,B,19,105,13,46,11,7,13,114,27,0,,,,,2,,,,,0,357,22,379,706,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,170,B,15,48,8,33,9,4,4,74,16,0,,,,,7,,,,,3,218,8,229,379,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,171,B,23,68,7,27,7,9,9,69,18,0,,,,,0,,,,,0,237,8,245,500,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,172,B,12,79,4,15,3,8,3,67,20,1,,,,,1,,,,,0,213,8,221,461,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,173,B,25,114,24,35,9,6,7,104,21,2,,,,,1,,,,,0,348,9,357,729,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,174,B,30,91,11,21,8,21,8,73,27,0,,,,,3,,,,,1,293,9,303,623,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,175,B,46,98,15,38,11,8,15,97,16,2,,,,,1,,,,,1,347,13,361,561,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,176,B,37,75,14,38,6,13,8,76,17,2,,,,,1,,,,,0,287,18,305,533,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,177,B,54,102,12,30,6,12,10,140,24,1,,,,,2,,,,,0,393,19,412,740,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,178,B,34,100,8,18,5,12,4,112,16,4,,,,,0,,,,,0,313,8,321,524,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,179,B,33,115,16,12,15,4,7,75,17,3,,,,,2,,,,,0,299,9,308,512,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,180,B,14,78,7,17,5,3,12,74,22,0,,,,,0,,,,,1,232,5,238,443,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,181,B,20,70,15,13,9,6,6,44,10,2,,,,,0,,,,,0,195,13,208,393,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,182,B,62,120,15,35,11,0,11,138,29,2,,,,,2,,,,,3,425,24,452,738,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,183,B,48,106,15,8,5,5,3,73,14,2,,,,,1,,,,,0,280,17,297,534,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,184,B,25,62,7,17,4,7,1,64,12,2,,,,,0,,,,,0,201,9,210,354,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,185,B,27,67,23,4,4,4,5,43,15,3,,,,,1,,,,,0,196,6,202,351,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,186,B,22,100,17,29,5,11,11,110,25,1,,,,,3,,,,,4,334,9,347,647,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,187,B,16,65,6,17,6,7,8,76,19,0,,,,,0,,,,,0,220,4,224,476,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,188,B,31,71,22,12,8,7,10,51,11,0,,,,,0,,,,,1,223,4,228,374,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,189,B,26,62,6,12,4,10,4,66,18,1,,,,,0,,,,,0,209,3,212,443,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,190,B,15,102,14,16,5,11,9,92,25,0,,,,,1,,,,,0,290,12,302,594,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,191,B,19,60,7,11,0,13,2,60,13,0,,,,,0,,,,,0,185,6,191,423,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,192,B,19,43,14,9,4,16,9,58,16,0,,,,,0,,,,,0,188,7,195,380,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,193,B,27,79,19,22,10,7,9,124,25,5,,,,,1,,,,,0,328,20,348,656,GRUPO DE RECUENTO,,,
