ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,15,GENARO CODINA,16,18,329,1080,811,138,517,66,71,496,122,64,20,114,2,3,,,,,,5,3838,160,3998,5921,0.6752
32,ZACATECAS,16,GUADALUPE,106,214,4266,22585,3763,5478,2717,2216,1601,16544,3212,261,68,106,3,10,240,,1841,,,90,65001,2716,67717,117677,0.5754
32,ZACATECAS,17,HUANUSCO,13,14,703,878,119,17,61,9,14,315,25,63,,,,,25,,,,,1,2230,77,2307,3903,0.5911
32,ZACATECAS,18,JALPA,34,44,2811,2444,254,458,603,1284,244,1332,690,75,,,,,42,,,,,8,10245,419,10664,19495,0.547
32,ZACATECAS,19,JEREZ,95,115,8144,7151,966,942,687,341,1094,6229,889,227,51,30,18,5,,,,,,63,26837,1257,28094,49342,0.5694
32,ZACATECAS,20,JIMENEZ DEL TEUL,10,11,117,1062,214,61,42,9,63,605,22,36,15,3,5,2,,,,,,0,2256,58,2314,3311,0.6989
32,ZACATECAS,21,JUAN ALDAMA,23,32,278,2984,127,2699,208,48,141,2353,250,7,,,,,60,,,,,3,9158,372,9530,15609,0.6105
32,ZACATECAS,22,JUCHIPILA,20,25,1742,2053,403,135,92,57,75,1289,68,83,,,,,11,,,,,3,6011,293,6304,10931,0.5767
32,ZACATECAS,23,LUIS MOYA,12,17,630,1800,355,54,371,240,107,1464,686,41,39,35,4,3,,,,,,2,5831,177,6008,9024,0.6658
32,ZACATECAS,24,LORETO,31,61,1516,3970,1205,5960,676,136,370,3521,852,104,,,,,67,,,,,10,18387,748,19135,32455,0.5896
32,ZACATECAS,25,MAZAPIL,47,50,65,4618,933,393,61,29,2992,1091,38,30,,,,,6,,,,,5,10261,320,10581,13853,0.7638
32,ZACATECAS,26,GENERAL FRANCISCO R. MURGUIA,42,48,169,5663,366,925,158,43,85,2995,105,20,,,,,31,,,,,3,10563,455,11018,17249,0.6388
32,ZACATECAS,27,MELCHOR OCAMPO,7,8,24,869,781,70,3,3,11,210,1,17,,,,,3,,,,,0,1992,61,2053,2395,0.8572
32,ZACATECAS,28,MEZQUITAL DEL ORO,7,9,149,681,765,10,11,3,2,42,0,42,,,,,17,,,,,0,1722,24,1746,2357,0.7408
32,ZACATECAS,29,MIGUEL AUZA,21,33,858,2327,523,257,75,141,191,4551,332,106,,,,,17,,,,,1,9379,272,9651,16269,0.5932
32,ZACATECAS,30,MOMAX,6,7,241,599,12,222,22,11,214,122,6,3,,,,,4,,,,,0,1456,44,1500,2300,0.6522
32,ZACATECAS,31,MONTE ESCOBEDO,21,23,1590,1334,96,986,128,18,56,418,54,43,5,14,3,1,,,,,,1,4747,196,4943,7674,0.6441
32,ZACATECAS,32,MORELOS,9,18,869,1752,511,372,75,452,597,1116,136,75,,,,,12,97,,,,1,6065,215,6280,8799,0.7137
32,ZACATECAS,33,MOYAHUA DE ESTRADA,10,11,581,1192,259,26,30,156,12,185,16,98,,,,,5,,,,,4,2564,118,2682,4463,0.6009
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,44,59,2314,3236,533,4236,549,85,134,1856,445,196,,,,,129,,,,,5,13718,616,14334,24222,0.5918
32,ZACATECAS,35,NORIA DE ANGELES,16,23,175,2515,935,1041,86,51,37,2540,146,98,,,,,21,,,,,1,7646,247,7893,11096,0.7113
32,ZACATECAS,36,OJOCALIENTE,42,63,1169,5581,1496,3589,1020,770,470,1448,415,123,45,21,1,0,131,,,,,12,16291,747,17038,29141,0.5847
32,ZACATECAS,37,GENERAL PANFILO NATERA,24,36,241,1176,1501,3173,2142,270,1237,555,213,58,,,,,223,,,,,4,10793,560,11353,17310,0.6559
32,ZACATECAS,38,PANUCO,14,25,374,3591,315,2105,137,76,100,962,292,79,,,,,24,,,,,3,8058,265,8323,11926,0.6979
32,ZACATECAS,39,PINOS,95,114,413,14991,1577,918,462,267,292,13403,255,22,,,,,86,,,,,9,32695,986,33681,48705,0.6915
32,ZACATECAS,40,RIO GRANDE,63,97,4467,7494,3356,2871,574,604,492,3724,1007,479,,,,,73,,,,,26,25167,1235,26402,48829,0.5407
32,ZACATECAS,41,SAIN ALTO,27,34,769,3463,4509,194,98,43,94,1053,94,205,,,,,26,,,,,2,10550,366,10916,16084,0.6787
32,ZACATECAS,42,SANTA MARIA DE LA PAZ,8,8,581,555,110,55,11,6,6,114,0,29,,,,,7,,,,,0,1474,51,1525,2411,0.6325
32,ZACATECAS,43,SOMBRERETE,89,113,4690,4412,4363,2430,852,132,727,5506,674,961,95,45,25,12,,,,,,8,24932,858,25790,46398,0.5558
32,ZACATECAS,44,SUSTICACAN,3,3,108,259,10,26,7,11,16,369,32,1,1,1,0,0,,,,,,0,841,42,883,1249,0.707
32,ZACATECAS,45,TABASCO,21,26,2273,3037,327,212,364,83,136,498,199,108,,,,,90,,,,,3,7330,312,7642,12276,0.6225
32,ZACATECAS,46,TEPECHITLAN,19,21,609,1914,869,424,79,32,27,266,8,126,,,,,10,,,,,0,4364,137,4501,7104,0.6336
32,ZACATECAS,47,TEPETONGO,20,20,426,2011,460,31,46,9,76,455,39,24,15,11,1,0,,,,,,3,3607,130,3737,6270,0.596
32,ZACATECAS,48,TEUL DE GONZALEZ ORTEGA,11,14,323,1477,131,34,45,12,21,600,58,4,,,,,11,,,,,1,2717,87,2804,4377,0.6406
32,ZACATECAS,49,TLALTENANGO DE SANCHEZ ROMAN,37,49,3093,3857,505,220,1153,62,341,1694,142,164,,,,,108,,,,,24,11363,539,11902,19731,0.6032
32,ZACATECAS,50,TRANCOSO,11,23,347,1888,1857,1576,505,122,254,1174,195,89,,,,,36,,,,,4,8047,393,8440,12466,0.677
32,ZACATECAS,51,VALPARAISO,67,75,949,7770,5321,136,203,85,101,1151,335,285,22,72,9,2,,,,,,3,16444,513,16957,26737,0.6342
32,ZACATECAS,52,VETAGRANDE,8,15,258,2455,880,455,82,46,95,644,151,146,,,,,22,,,,,3,5237,169,5406,7307,0.7398
32,ZACATECAS,53,VILLA DE COS,47,62,481,5827,4185,1489,669,230,250,1696,783,302,,,,,113,,,,,28,16053,713,16766,24517,0.6839
32,ZACATECAS,54,VILLA GARCIA,16,25,278,2359,154,599,276,1811,408,2369,228,10,,,,,21,,,,,2,8515,327,8842,12340,0.7165
32,ZACATECAS,55,VILLA GONZALEZ ORTEGA,12,19,143,581,1390,949,936,46,872,944,80,75,,,,,14,,,,,1,6031,386,6417,9900,0.6482
32,ZACATECAS,56,VILLA HIDALGO,23,29,133,4159,3034,191,71,51,38,1125,139,79,,,,,29,,,,,0,9049,291,9340,13162,0.7096
32,ZACATECAS,57,VILLANUEVA,50,61,817,5132,5983,127,362,279,981,528,269,368,263,29,87,15,,,,,,1,15241,495,15736,24935,0.6311
32,ZACATECAS,58,ZACATECAS,111,197,5881,16382,3307,2006,1988,2175,1158,20337,2884,574,52,79,38,19,75,862,,2729,,83,60629,2370,62999,105842,0.5952
