CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,219,2,61,277,425,3,7,3,,5,,,2,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,0,55,840,1204
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,220,1,15,82,133,1,0,0,,3,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,0,20,254,354
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,221,1,0,64,0,0,0,0,,0,,,63,159,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,0,29,315,392
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,222,1,38,44,82,1,0,0,,0,,,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,0,5,171,201
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,223,1,27,30,136,1,4,1,,1,,,3,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,0,21,226,334
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,224,1,24,52,132,3,3,1,,1,,,0,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,0,15,233,356
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,225,2,18,38,311,6,1,2,403,49,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,0,43,871,1325
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,226,3,30,35,457,10,6,9,517,65,,,0,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137,0,111,1248,2014
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,227,1,2,3,34,3,1,1,68,2,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,0,34,148,297
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,228,2,25,76,80,5,2,1,199,21,,,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,0,32,442,791
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,229,3,33,132,244,8,2,5,430,58,,,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,0,56,971,1663
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,230,1,2,7,19,2,2,0,71,11,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,0,3,117,174
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,231,1,4,12,106,7,6,3,286,37,,,0,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,0,55,521,741
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,232,2,17,39,353,3,5,1,355,48,,,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,0,56,879,1284
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,233,2,16,24,213,2,1,1,285,33,,,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,0,56,634,966
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,234,1,5,17,109,2,5,3,268,18,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,0,40,467,668
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,235,1,7,8,44,3,1,2,178,13,,,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,0,20,277,513
5,16,MICHOACAN,21,COALCOMÁN,14,COAHUAYANA,236,1,3,5,18,0,1,0,56,3,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0,12,98,142
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,237,4,34,981,433,17,,8,5,52,,,,,,5,2,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542,0,94,1636,2604
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,238,2,13,477,231,10,,8,4,21,,,,,,9,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,0,47,823,1308
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,239,2,33,373,217,4,,7,3,31,,,,,,5,5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,0,45,727,1126
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,240,4,54,672,468,19,,12,14,69,,,,,,10,13,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336,0,72,1408,1861
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,241,2,24,310,190,5,,7,2,26,,,,,,8,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,0,21,598,916
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,242,5,34,1086,471,13,,11,7,102,,,,,,7,15,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747,0,74,1821,3106
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,244,1,1,40,39,1,,0,0,3,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,0,1,85,128
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,245,1,3,32,234,8,,3,4,72,,,,,,1,6,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,0,16,382,545
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,246,1,6,214,117,9,,2,2,21,,,,,,4,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,0,21,398,540
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,248,1,1,29,16,0,,0,0,1,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,1,1,49,105
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,249,1,3,69,139,6,,2,1,5,,,,,,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,0,17,247,495
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,250,1,2,32,15,1,,0,0,8,,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,6,65,242
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,251,1,4,84,46,1,,0,0,7,,,,,,3,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,0,9,157,262
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,252,1,6,24,62,4,,2,0,16,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,0,8,124,199
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,254,1,0,40,55,1,,3,1,5,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,0,2,107,150
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,255,1,9,56,35,0,,0,1,0,,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,0,8,110,210
5,16,MICHOACAN,21,COALCOMÁN,15,COALCOMÁN DE VAZQUEZ PALLARES,256,1,5,92,180,6,,4,1,38,,,,,,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,0,10,342,477
5,16,MICHOACAN,5,PARACHO,16,COENEO,257,2,16,234,134,4,,1,4,22,15,,,,,1,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,0,27,464,771
5,16,MICHOACAN,5,PARACHO,16,COENEO,258,2,10,237,129,3,,5,5,30,20,,,,,5,2,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,0,26,475,801
5,16,MICHOACAN,5,PARACHO,16,COENEO,259,2,20,363,209,2,,1,8,26,28,,,,,4,4,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,2,25,695,1239
5,16,MICHOACAN,5,PARACHO,16,COENEO,260,2,14,311,176,3,,2,2,40,18,,,,,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,0,24,594,1044
5,16,MICHOACAN,5,PARACHO,16,COENEO,261,1,2,70,54,4,,2,11,28,28,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,0,20,221,497
5,16,MICHOACAN,5,PARACHO,16,COENEO,262,2,9,129,149,18,,12,27,50,52,,,,,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,0,73,524,1152
5,16,MICHOACAN,5,PARACHO,16,COENEO,263,1,5,131,60,4,,3,11,143,99,,,,,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,0,25,484,681
5,16,MICHOACAN,5,PARACHO,16,COENEO,264,1,5,141,55,7,,2,8,113,43,,,,,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,1,12,390,585
5,16,MICHOACAN,5,PARACHO,16,COENEO,265,2,12,123,49,5,,1,4,23,26,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,0,24,267,498
5,16,MICHOACAN,5,PARACHO,16,COENEO,266,1,4,57,27,4,,0,0,3,6,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,0,7,109,189
5,16,MICHOACAN,5,PARACHO,16,COENEO,267,2,12,268,166,7,,2,6,44,11,,,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,0,26,545,1021
5,16,MICHOACAN,5,PARACHO,16,COENEO,268,1,6,69,48,2,,3,5,10,46,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,0,14,205,375
5,16,MICHOACAN,5,PARACHO,16,COENEO,269,1,15,110,26,3,,1,3,11,34,,,,,4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,1,11,220,431
5,16,MICHOACAN,5,PARACHO,16,COENEO,270,1,6,34,47,11,,3,4,108,40,,,,,1,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,0,20,279,590
5,16,MICHOACAN,5,PARACHO,16,COENEO,271,1,9,157,65,4,,1,8,20,6,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,0,11,283,575
5,16,MICHOACAN,5,PARACHO,16,COENEO,272,1,8,96,55,6,,3,14,8,2,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,0,9,202,398
5,16,MICHOACAN,5,PARACHO,16,COENEO,273,2,4,49,99,9,,0,4,25,3,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,0,22,217,429
5,16,MICHOACAN,5,PARACHO,16,COENEO,274,1,19,35,39,4,,0,3,90,9,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,12,212,393
5,16,MICHOACAN,5,PARACHO,16,COENEO,275,1,17,28,81,6,,3,5,81,17,,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,13,0,253,494
5,16,MICHOACAN,5,PARACHO,16,COENEO,276,1,3,41,30,3,,0,1,12,7,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0,8,105,258
5,16,MICHOACAN,5,PARACHO,16,COENEO,277,2,10,119,125,6,,4,6,59,40,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,0,13,386,789
5,16,MICHOACAN,5,PARACHO,16,COENEO,278,2,8,153,242,4,,4,7,26,339,,,,,4,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,0,40,831,1239
5,16,MICHOACAN,5,PARACHO,16,COENEO,279,1,9,54,98,5,,1,5,5,245,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,0,22,445,701
5,16,MICHOACAN,5,PARACHO,16,COENEO,280,2,9,83,228,9,,11,8,53,61,,,,,1,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,0,30,498,824
5,16,MICHOACAN,5,PARACHO,16,COENEO,281,1,5,46,108,13,,3,3,38,12,,,,,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,0,16,248,531
5,16,MICHOACAN,5,PARACHO,16,COENEO,282,2,6,49,186,13,,1,9,52,19,,,,,1,5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,0,26,369,810
