CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,C_COMUN_ PRI_PVEM,C_COMUN_MC_PAS,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1745,1,151,159,18,0,2,0,6,2,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,338,4,342,455
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1746,1,103,101,13,2,0,0,1,0,4,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,224,0,224,343
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1747,1,19,49,5,1,0,0,1,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,75,2,77,110
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1748,1,37,36,3,0,0,0,2,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,78,3,81,121
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1749,1,83,52,1,0,0,0,2,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,139,1,140,199
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1750,1,137,89,4,0,1,0,2,5,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,238,0,238,329
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1751,1,79,64,2,1,0,0,5,6,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,0,158,7,165,208
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1753,1,113,54,18,2,1,0,0,3,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,192,9,201,374
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1754,1,68,69,1,2,0,0,2,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,142,0,142,249
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1755,1,265,79,4,1,0,0,0,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,350,4,354,481
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1756,1,103,62,3,0,0,2,7,2,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,179,2,181,248
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1757,1,43,36,2,0,0,0,1,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,83,4,87,139
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1758,1,76,102,3,0,0,0,2,3,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,186,5,191,258
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1759,1,46,41,1,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,88,2,90,133
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1761,1,87,71,6,0,0,0,1,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,166,1,167,274
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1762,1,56,45,1,0,0,0,3,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,105,0,105,142
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1763,1,89,50,7,0,0,0,1,5,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,152,2,154,211
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1764,1,107,89,4,1,0,0,0,1,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,203,11,214,331
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1765,1,22,26,11,0,0,0,1,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,61,3,64,130
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1766,1,85,34,15,3,0,0,4,3,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,144,0,144,222
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1767,1,76,33,15,2,0,0,2,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,129,3,132,185
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1768,1,73,23,13,1,0,0,0,6,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,116,3,119,195
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1769,1,157,164,2,7,3,0,5,6,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,344,8,352,472
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1770,1,191,80,1,3,0,0,0,7,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,282,0,282,359
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1771,1,130,135,3,0,0,1,3,2,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,274,5,279,354
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1772,1,134,71,0,0,0,0,10,3,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,218,3,221,312
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1773,1,90,67,4,0,2,1,9,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,174,0,174,237
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1774,1,132,55,26,1,0,0,3,1,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,220,3,223,344
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1775,1,127,70,2,0,0,2,5,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,206,6,212,294
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1776,1,86,68,3,0,0,0,2,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,159,3,162,225
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1777,1,89,46,1,0,0,0,2,2,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,140,3,143,197
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1778,1,148,110,4,1,0,1,4,3,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,272,9,281,388
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1779,1,84,65,1,1,1,0,5,5,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,162,3,165,244
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1780,1,57,58,3,0,0,0,0,11,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,129,1,130,194
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1781,1,54,18,7,0,0,0,9,4,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,92,2,94,140
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1782,2,89,95,28,2,0,0,1,2,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,217,12,229,438
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1783,1,61,65,7,0,0,0,0,3,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,136,7,143,229
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1784,1,202,103,2,1,0,1,2,1,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,313,8,321,570
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1785,1,81,52,11,1,0,0,7,3,3,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,159,7,166,230
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1786,1,52,64,42,0,0,0,3,9,2,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,172,0,172,281
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1787,1,226,101,22,0,0,0,4,4,3,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,360,5,365,585
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1788,1,180,115,41,0,0,0,4,2,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,342,6,348,555
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1789,1,78,43,11,1,0,0,3,4,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,140,1,141,210
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1790,1,105,74,20,0,1,0,5,5,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,210,4,214,373
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1791,1,26,82,10,2,1,0,0,0,2,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,123,2,125,192
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1792,1,94,91,8,3,2,0,2,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,200,12,212,334
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1793,1,98,88,16,0,1,0,2,1,3,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,210,3,213,374
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1794,1,61,51,5,0,0,0,1,4,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,122,2,124,203
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1795,1,30,34,4,1,0,0,8,3,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,80,0,80,138
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1796,1,108,71,9,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,188,8,196,282
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1797,1,169,141,2,1,0,0,3,3,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,319,9,328,531
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1798,1,72,72,0,0,0,0,4,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,148,4,152,232
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1925,1,128,97,0,2,22,2,11,23,7,3,,,,,,0,,,,,,,,,,,,,,,,,,,,0,295,10,305,472
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1926,1,62,91,2,1,15,1,5,44,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,222,8,230,321
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1927,1,56,126,0,0,13,0,2,21,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,0,223,3,226,352
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1928,2,179,285,9,10,39,0,13,79,23,2,,,,,,0,,,,,,,,,,,,,,,,,,,,1,639,13,653,338
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1929,1,106,122,1,0,45,0,5,21,7,4,,,,,,1,,,,,,,,,,,,,,,,,,,,2,312,10,324,518
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1930,1,184,126,2,0,31,2,1,35,0,1,,,,,,3,,,,,,,,,,,,,,,,,,,,1,385,8,394,661
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1931,1,63,76,0,0,14,0,0,14,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,167,0,167,252
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1932,2,212,229,1,0,40,4,14,51,17,4,,,,,,0,,,,,,,,,,,,,,,,,,,,0,572,9,581,870
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1933,1,84,187,1,0,24,4,5,37,7,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,350,11,361,550
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1934,1,118,142,3,3,38,3,11,21,10,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,349,6,355,617
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1935,1,78,67,3,0,9,2,3,15,7,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,184,4,188,295
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1936,1,60,63,0,0,9,2,5,14,3,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,157,2,159,235
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1937,1,66,97,1,2,15,0,2,18,3,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,204,9,213,335
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1938,2,240,208,1,0,50,1,14,74,2,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,590,18,608,1144
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1939,1,91,87,0,1,40,1,6,23,2,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,252,8,260,404
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1940,1,141,78,1,0,13,0,5,34,2,6,,,,,,0,,,,,,,,,,,,,,,,,,,,0,280,11,291,506
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1941,2,254,195,2,2,56,2,6,49,10,7,,,,,,0,,,,,,,,,,,,,,,,,,,,0,583,8,591,1038
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1942,2,226,179,2,0,19,1,9,66,0,5,,,,,,0,,,,,,,,,,,,,,,,,,,,0,507,11,518,888
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1943,1,56,36,1,1,16,9,10,31,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,160,13,173,249
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1944,1,37,65,1,4,5,1,16,28,2,0,,,,,,2,,,,,,,,,,,,,,,,,,,,0,161,12,173,299
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1945,1,20,35,1,0,5,0,1,18,0,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,82,3,85,142
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1946,1,20,21,1,0,6,0,0,8,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,56,3,59,109
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1948,1,43,104,1,3,21,1,2,32,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,208,7,215,468
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1949,1,39,51,0,0,14,0,1,4,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,111,2,113,232
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1951,1,78,66,1,0,12,0,0,3,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,160,9,169,273
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1952,1,24,91,0,2,6,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,123,3,126,204
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1953,1,15,46,1,0,2,0,0,3,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,68,1,69,135
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1954,1,21,72,0,0,24,0,0,17,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,134,4,138,185
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1955,1,60,83,2,1,48,4,4,17,1,48,,,,,,0,,,,,,,,,,,,,,,,,,,,0,268,1,269,353
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1956,1,30,74,0,0,37,1,1,10,0,21,,,,,,0,,,,,,,,,,,,,,,,,,,,0,174,2,176,245
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1957,1,44,84,2,2,28,1,1,23,0,6,,,,,,0,,,,,,,,,,,,,,,,,,,,0,191,6,197,354
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1958,1,25,54,0,1,7,0,1,9,0,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,99,1,100,209
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1960,1,47,118,0,1,57,1,2,40,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,267,4,271,490
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1961,1,61,112,0,0,26,1,1,25,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,227,5,232,375
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1962,1,54,129,0,1,71,1,2,23,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,281,6,287,463
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1963,1,17,49,1,1,11,0,2,0,4,0,,,,,,13,,,,,,,,,,,,,,,,,,,,0,98,2,100,222
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1965,1,49,82,1,1,21,1,0,72,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,227,8,235,333
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1966,1,107,57,0,0,40,3,0,16,1,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,226,2,228,353
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1967,1,41,46,0,0,17,2,3,11,2,7,,,,,,0,,,,,,,,,,,,,,,,,,,,0,129,0,129,172
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1969,1,56,87,1,1,25,2,1,21,0,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,196,9,205,408
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1970,1,96,57,1,1,18,2,6,57,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,240,11,251,487
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1971,1,146,98,1,0,12,1,1,18,2,1,,,,,,19,,,,,,,,,,,,,,,,,,,,0,299,8,307,465
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1972,1,82,76,0,1,23,1,7,18,5,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,213,8,221,396
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1973,1,42,83,3,0,20,0,0,20,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,169,9,178,270
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1974,1,21,106,1,0,43,0,3,19,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,193,2,195,266
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1975,1,9,31,0,0,1,0,15,4,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,60,2,62,103
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1976,1,31,80,1,0,1,0,2,31,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,0,148,2,150,204
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1977,1,77,121,1,7,10,1,0,34,0,10,,,,,,0,,,,,,,,,,,,,,,,,,,,0,261,0,261,412
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1978,1,27,102,0,1,10,1,3,33,2,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,179,5,184,301
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1979,1,11,31,0,0,17,0,3,5,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,68,2,70,116
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1980,1,27,79,0,0,14,1,3,12,2,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,138,2,140,203
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1981,1,23,124,3,0,37,1,6,20,4,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,218,14,232,389
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1982,1,30,71,1,1,4,0,3,18,1,6,,,,,,0,,,,,,,,,,,,,,,,,,,,0,135,3,138,291
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1983,1,11,30,1,0,28,0,1,7,0,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,80,1,81,124
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1984,1,5,34,0,0,24,0,0,8,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,71,2,73,108
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1985,1,72,21,0,0,57,0,2,4,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,156,1,157,309
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1986,1,14,90,0,1,2,1,2,16,1,3,,,,,,0,,,,,,,,,,,,,,,,,,,,0,130,7,137,250
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1987,1,17,47,0,0,4,0,1,5,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,75,0,75,118
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1988,1,56,127,1,6,35,0,6,13,6,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,252,17,269,513
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1989,1,25,47,1,4,14,0,4,38,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,134,8,142,274
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1990,1,21,78,2,8,27,0,12,62,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,212,6,218,375
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1991,1,75,167,0,0,15,1,0,64,3,4,,,,,,0,,,,,,,,,,,,,,,,,,,,0,329,12,341,543
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1992,1,84,74,1,3,26,0,0,8,2,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,198,15,213,363
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1993,1,32,109,1,3,18,3,3,67,3,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,240,4,244,391
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1994,1,62,93,1,1,7,9,6,90,5,3,,,,,,0,,,,,,,,,,,,,,,,,,,,0,277,2,279,404
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1995,1,31,42,0,5,4,0,1,5,2,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,91,4,95,179
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1996,1,48,79,0,0,26,1,5,9,6,7,,,,,,0,,,,,,,,,,,,,,,,,,,,0,181,6,187,355
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1997,1,41,90,1,7,48,1,18,84,2,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,294,6,300,592
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1998,1,37,59,0,4,8,1,8,64,2,3,,,,,,0,,,,,,,,,,,,,,,,,,,,0,186,2,188,374
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1999,1,12,50,0,0,18,0,1,8,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,89,3,92,136
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2000,1,15,51,0,1,23,0,2,42,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,135,2,137,230
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2001,1,31,56,4,21,14,1,2,27,5,1,,,,,,1,,,,,,,,,,,,,,,,,,,,0,163,13,176,290
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2002,1,48,51,0,11,13,4,6,25,1,4,,,,,,0,,,,,,,,,,,,,,,,,,,,0,163,9,172,302
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2003,1,47,49,3,13,14,2,1,18,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,148,2,150,258
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2004,1,35,81,3,1,33,2,6,33,9,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,205,7,212,390
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2005,1,58,66,2,1,35,2,9,80,28,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,281,5,286,464
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2006,1,54,86,6,2,45,2,6,73,11,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,287,14,301,539
