id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PRI-PANAL,NoRegistrados,Nulos,TOTAL
27,18/10/2009,11,Regidores,27,6,528,3,C,Contigua,0,COMALCALCO,,5,COMALCALCO,2487,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1,200,176,0,1,2,6,0,0,7,393
27,18/10/2009,11,Regidores,27,6,536,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1393,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,278,199,1,1,0,16,1,0,1,500
27,18/10/2009,11,Regidores,27,6,537,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,817,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,6,135,109,0,0,0,1,1,0,2,254
27,18/10/2009,11,Regidores,27,6,540,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,796,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,5,194,86,1,0,0,2,2,0,6,296
27,18/10/2009,11,Regidores,27,6,541,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,813,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,171,109,1,1,11,2,0,0,6,301
27,18/10/2009,11,Regidores,27,6,544,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,740,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,229,293,0,1,0,13,0,0,11,547
27,18/10/2009,11,Regidores,27,6,545,1,E,Extraordinaria,0,COMALCALCO,,5,COMALCALCO,1371,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,4,167,141,0,0,1,0,0,0,1,314
27,18/10/2009,11,Regidores,27,6,555,2,C,Contigua,0,COMALCALCO,,5,COMALCALCO,3507,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,204,180,1,0,0,3,1,0,5,396
27,18/10/2009,11,Regidores,27,6,561,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1114,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,138,224,1,5,0,1,0,0,4,375
27,18/10/2009,11,Regidores,27,6,572,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1479,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,11,227,245,3,1,1,7,2,1,8,506
